Key,Source,en-us
Studio.9SliceEditor.TextEditor.Top,Top,Top
Studio.9SliceEditor.Plugin.Name,9-Slice Editor,9-Slice Editor
Studio.9SliceEditor.AlertDialog.OkButtonText,Ok,Ok
Studio.9SliceEditor.ImageEditor.ImageSize,Image Size,Image Size
Studio.9SliceEditor.Plugin.Toolbar,9SliceEditor,9SliceEditor
Studio.9SliceEditor.TextEditor.Right,Right,Right
Studio.9SliceEditor.Plugin.Button,Toggle,Toggle
Studio.9SliceEditor.TextEditor.Bottom,Bottom,Bottom
Studio.9SliceEditor.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.
Studio.9SliceEditor.TextEditor.Offsets,Offsets,Offsets
Studio.9SliceEditor.SliceEditor.CloseButton,Close,Close
Studio.9SliceEditor.SliceEditor.RevertButton,Revert,Revert
Studio.9SliceEditor.TextEditor.Left,Left,Left
Studio.9SliceEditor.ImageEditor.ImageSizeError,Image Size Error: isLoaded is false,Image Size Error: isLoaded is false
Studio.9SliceEditor.AlertDialog.ImageLoadedErrorMessage,Can't open the 9 Slice Editor because the image asset "{contentId}" hasn't loaded.,Can't open the 9 Slice Editor because the image asset "{contentId}" hasn't loaded.
Studio.9SliceEditor.AlertDialog.InvalidInstanceErrorMessage,Can't open the 9 Slice Editor because the selected instance must be an ImageLabel or ImageButton.,Can't open the 9 Slice Editor because the selected instance must be an ImageLabel or ImageButton.
Studio.9SliceEditor.AlertDialog.ImageContentDimensionsErrorMessage,Can't open the 9 Slice Editor because couldn't get image content size. Please make sure the image is visible on screen.,Can't open the 9 Slice Editor because couldn't get image content size. Please make sure the image is visible on screen.
Studio.9SliceEditor.Plugin.ImageLoadErrorMessage,9-Slice Editor: Couldn't load image,9-Slice Editor: Couldn't load image
Studio.9SliceEditor.AlertDialog.ErrorMessageTitle,Error,Error
Studio.9SliceEditor.SliceEditor.NoImageSelectedMessage,No image selected. Select an ImageLabel or ImageButton to use the 9-Slice Editor.,No image selected. Select an ImageLabel or ImageButton to use the 9-Slice Editor.
Studio.9SliceEditor.SliceEditor.ImageLoadingMessage,Loading...,Loading...
