Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.AnimationClipEditor.Plugin.Description,"Create, preview, and publish Animation clips", ,"Create, preview, and publish Animation clips","Crea, previsualiza y publica clips de animación","Créer, prévisualiser et publier des clips d'animation","Crea, visualizza in anteprima e pubblica le clip delle animazioni",アニメーションクリップを作成、プレビュー、公開,"애니메이션 클립 만들기, 미리보기 및 게시","Criar, visualizar e publicar clips de animação","Создавайте, просматривайте и публикуйте анимационные клипы",创建、预览和发布动画片段,创建、预览和发布动画片段,創作、預覽和發布動畫片段
Studio.AnimationClipEditor.Title.MinPBSParam,Minimum playback speed is {speed}x, ,Minimum playback speed is {speed}x,La velocidad mínima de reproducción es {speed}x,La vitesse de lecture minimale est {speed}x,Velocità di riproduzione minima: {speed}x,最小プレイバック速度は {speed}x,최소 재생 속도는 {speed}x입니다,A velocidade mínima de execução é {speed}x, ,最慢播放速度为 {speed}x,最慢播放速度为 {speed}x,最慢播放速度為 {speed}x
Studio.AnimationClipEditor.Settings.Seconds,Seconds:Frames, ,Seconds:Frames,Segundos: Fotogramas,Taux d'images,Secondi:frame,秒:フレーム,초:프레임,Segundos: Quadros,Секунды:Кадры,秒：帧,秒：帧,秒：影格
Studio.AnimationClipEditor.Plugin.Toolbar,Animations, ,Animations,Animaciones,Animations,Animazioni,アニメーション,애니메이션,Animações,Анимация,动画,动画,動畫
Studio.AnimationClipEditor.Plugin.Button,Animation Editor, ,Animation Editor,Editor de animación,Editeur d'animation,Editor animazioni,アニメーションエディタ,애니메이션 편집기,Editor de animação,Редактор анимации,动画编辑器,动画编辑器,動畫編輯器
Studio.AnimationClipEditor.Plugin.Name,Animation Editor, ,Animation Editor,Editor de animación,Éditeur d'animation,Editor animazioni,アニメーションエディタ,애니메이션 편집기,Editor de animação,Редактор анимации,动画编辑器,动画编辑器,動畫編輯器
Studio.AnimationClipEditor.FaceCapture.PanelReRecording,Re-Record, ,Re-Record,Volver a grabar,Ré-enregistrer,Ri-Registrazione,再録,다시 기록,Re-gravar, , , ,重錄
Studio.AnimationClipEditor.FaceCapture.TooltipReRecording,Re-Record, ,Re-Record,Volver a grabar,Ré-enregistrer,Ri-Registrazione,再録,다시 기록,Re-gravar, , , ,重錄
Studio.AnimationClipEditor.Settings.CustomFPS,Custom, ,Custom,Personalizar,Personnaliser,Personalizzato,カスタム,사용자 정의,Personalizar,Пользовательская,自定义,自定义,自訂
Studio.AnimationClipEditor.Settings.CustomPlaybackSpeed,Custom, ,Custom,Personalizada,Personnalisé,Personalizzato,カスタム,사용자 정의,Personalizar, ,自定义,自定义,自訂
Studio.AnimationClipEditor.ContextMenu.AddKeyframeHere,Add Keyframe Here, ,Add Keyframe Here,Añadir fotograma clave aquí,Ajouter des images-clés ici,Aggiungi key frame qui,ここにキーフレームを追加,여기에 키프레임 추가,Adicionar keyframe aqui,Добавить сюда ключевой кадр,在此处添加关键帧,在此处添加关键帧,在此增加關鍵格
Studio.AnimationClipEditor.Menu.PromoteToChannels,Promote to Channel Animation, ,Promote to Channel Animation,Promover en canal de animación,Promouvoir la chaîne d'animation,Promuovi nel canale Animazione,チャンネルアニメーションにアップグレード,채널 애니메이션으로 승격,Promover para animação de canal, ,升级至频道动画,升级至频道动画,升級成通道動畫
Studio.AnimationClipEditor.ContextMenu.AddResetKeyframe,Add Reset Keyframe Here, ,Add Reset Keyframe Here,Añadir fotograma reiniciado aquí,Ajouter l'image-clé réinitialiser ici,Aggiungi key frame di reset qui,ここにキーフレーム再設定を追加,여기에 재설정 키프레임 추가,Adicionar keyframe reiniciado aqui,Добавить сюда сброс ключевого кадра,在此处添加重置关键帧,在此处添加重置关键帧,在此增加重置關鍵格
Studio.AnimationClipEditor.ContextMenu.CutEvents,Cut Selected, ,Cut Selected,Cortar seleccionado,Couper Sélectionné,Taglia selezionato,選択済みを切り抜き,선택 항목 잘라내기,Cortar seleção,Вырезать выбранное,剪切选定项,剪切选定项,剪下選取項目
Studio.AnimationClipEditor.ContextMenu.CutSelected,Cut Selected, ,Cut Selected,Cortar seleccionado,Couper Sélectionné,Taglia selezionato,選択済みを切り抜き,선택 항목 잘라내기,Cortar seleção,Вырезать выбранное,剪切选定项,剪切选定项,剪下選取項目
Studio.AnimationClipEditor.Tooltip.CurrentFrameBox,Change scrubber time, ,Change scrubber time,Cambia la barra de tiempo,Changer la barre de temps,Modifica tempo scrubber,スクラバーの時間を変更,스크러버 시간 변경,Mudar a barra de tempo,Изменить время ползунка,更改进度条时间,更改进度条时间,變更進度條時間
Studio.AnimationClipEditor.Title.Parameter,Parameter, ,Parameter,Parámetro,Paramètre,Parametro,パラメータ,매개변수,Parâmetro,Параметр,参数,参数,參數
Studio.AnimationClipEditor.AnimationFromVideo.Processing,Your video is processing..., ,Your video is processing...,Tu video se está procesando...,Ta vidéo est en cours de traitement...,Il tuo video sta elaborando...,ビデオを処理しています...,비디오를 처리하고 있습니다...,Seu vídeo está processando..., , , ,影片處理中……
Studio.AnimationClipEditor.IKMenu.FullBody,Full Body, ,Full Body,Cuerpo entero,Corps entier,Corpo intero,全体,전신,Corpo inteiro,Все тело,全体,全体,全身
Studio.AnimationClipEditor.ContextMenu.AddKeyframe,Add Keyframe, ,Add Keyframe,Añadir fotograma clave,Ajouter une image-clé,Aggiungi key frame,キーフレームを追加,키프레임 추가,Adicionar keyframe,Добавить ключевой кадр,添加关键帧,添加关键帧,增加關鍵格
Studio.AnimationClipEditor.ContextMenu.CopyEvents,Copy Selected, ,Copy Selected,Copiar seleccionado,Copier Sélectionné,Copia selezionato,選択範囲をコピー,선택 항목 복사,Copiar seleção,Копировать выбранное,复制选定项,复制选定项,複製選取項目
Studio.AnimationClipEditor.ContextMenu.CopySelected,Copy Selected, ,Copy Selected,Copiar seleccionado,Copier Sélectionné,Copia selezionato,選択範囲をコピー,선택 항목 복사,Copiar seleção,Копировать выбранное,复制选定项,复制选定项,複製選取項目
Studio.AnimationClipEditor.ContextMenu.EasingStyle,Easing Style, ,Easing Style,Estilo de aceleración,Style allégé,Stile di scorrimento,イージングの種類,감속/가속 스타일,Estilo de aceleração,Стиль упрощения,缓动风格,缓动风格,緩動風格
Studio.AnimationClipEditor.ContextMenu.TogglePlay,Toggle Play, ,Toggle Play,Alternar reproducción,Appuyer sur Play,Attiva/disattiva riproduzione,プレイを切り換え,플레이 토글,Alternar reprodução,Переключить воспроизведение,切换播放,切换播放,切換播放狀態
Studio.AnimationClipEditor.ContextMenu.PasteKeyframes,Paste Keyframes, ,Paste Keyframes,Pegar fotogramas clave,Copier image-clés,Incolla key frame,キーフレームを貼り付け,키프레임 붙여넣기,Colar keyframes,Вставить ключевые кадры,粘贴关键帧,粘贴关键帧,貼上關鍵格
Studio.AnimationClipEditor.Menu.CreateNew,Create New, ,Create New,Crear nuevo,Créer nouveau,Crea nuovo,新規作成,새로 만들기,Criar novo,Создать,新建,新建,新建
Studio.AnimationClipEditor.Dialog.SaveLocation,Animation will be saved to Rig > AnimSaves in Explorer, ,Animation will be saved to Rig > AnimSaves in Explorer,La animación se guardará en Rig > AnimSaves en Explorador,L'animation sera sauvegardé sur la plateforme de test >AnimSaves dans Explorer,L'animazione verrà salvata in Rig > Animazioni salvate in Esploratore,アニメーションはエクスプローラの リグ > AnimSaves に保存されます,애니메이션은 탐색기의 리그 > AnimSaves에 저장됩니다,A animação será salva em Rig > AnimSaves no Explorador,Путь сохранения анимации: Скелетная анимация > AnimSaves в проводнике,动画将保存到项目管理器中的骨架 > AnimSaves,动画将保存到项目管理器中的骨架 > AnimSaves,動畫將會儲存到總管裡的 Rig > AnimSaves
Studio.AnimationClipEditor.ContextMenu.DeleteEvents,Delete Selected, ,Delete Selected,Eliminar seleccionado,Supprimer Sélectionné,Elimina selezionato,選択範囲を削除,선택 항목 삭제,Apagar seleção,Удалить выбранное,删除选定项,删除选定项,刪除選取項目
Studio.AnimationClipEditor.ContextMenu.DeleteSelected,Delete Selected, ,Delete Selected,Eliminar seleccionado,Supprimer Sélectionné,Elimina selezionato,選択範囲を削除,선택 항목 삭제,Apagar seleção,Удалить выбранное,删除选定项,删除选定项,刪除選取項目
Studio.AnimationClipEditor.AnimationFromVideo.TutorialText,"Choose a short video (15 seconds or less) containing a single person, fully in frame. Try to use a video with a stable, unmoving camera.", ,"Choose a short video (15 seconds or less) containing a single person, fully in frame. Try to use a video with a stable, unmoving camera.","Elige un video corto (15 segundos o menos) que contenga una sola persona, completamente dentro del marco. Intenta usar un video con una cámara estable e inmóvil.","Choisir une courte vidéo (15 secondes ou moins) contenant une seule personne, entièrement dans le cadre. Essayer d'utiliser une vidéo avec une caméra stable et non mobile.","Scegli un breve video (15 secondi o meno) contenente una singola persona, completamente in fotogramma. Prova a usare un video con una fotocamera stabile e non in movimento.",一人の人物を完全にフレームに収めた短いビデオ（15秒以下）を選択してください。動かない安定したカメラでビデオを使用してみてください。,한 사람이 프레임 안에 완전히 속한 짧은 비디오(15초 이하)를 선택하세요. 카메라 흔들림이 없고 안정적인 비디오를 사용하세요.,"Escolha um vídeo curto (15 segundos ou menos) que contenha uma única pessoa, totalmente enquadrada. Tente usar um vídeo com uma câmera estável e não móvel.", , , ,選擇含有全身入鏡的單一人物的短片（15 秒以內）。請使用鏡頭不搖晃的影片。
Studio.AnimationClipEditor.ContextMenu.ResetSelected,Reset Selected, ,Reset Selected,Reiniciar seleccionado,Réinitialiser Sélectionné,Reimposta selezionato,選択範囲を再設定,선택 항목 재설정,Reiniciar seleção,Сбросить выбранное,重置选定项,重置选定项,重置選取項目
Studio.AnimationClipEditor.Settings.SnapMode,Snap Mode, ,Snap Mode,Modo instantáneo,Mod snap,Modalità adesione,装着モード,맞춤 모드,Modo instantâneo, ,捕捉模式,捕捉模式,貼齊模式
Studio.AnimationClipEditor.Menu.RenamePrompt,New Animation Name:, ,New Animation Name:,Nombre de la animación nueva:,Nom de la nouvelle animation :,Nuovo nome animazione,新しいアニメーション名:,새 애니메이션 이름:,Novo nome da animação:,Название новой анимации:,新动画名称：,新动画名称：,新動畫名稱：
Studio.AnimationClipEditor.Settings.FrameRate,Frame Rate, ,Frame Rate,Velocidad del fotograma,Taux d'images,Framerate,フレームレート,프레임 속도,Velocidade dos quadros,Частота кадров,帧速率,帧速率,影格率
Studio.AnimationClipEditor.Title.MaxFPS,Maximum frame rate is 120 fps, ,Maximum frame rate is 120 fps,La velocidad máxima del fotograma es de 120 fps,Le taux maximum d'images est de 120 images par seconde,Framerate massimo: 120 fps,最大フレームレートは 120 fps,최대 프레임 속도는 120fps입니다,O máximo de quadros por segundo é de 120 fps,Максимальная частота - 120 fps,最大帧速率为120 fps,最大帧速率为120 fps,最大影格率為 120 fps
Studio.AnimationClipEditor.Title.SaveAsNew,Save As New Animation, ,Save As New Animation,Guardar como animación nueva,Sauvegarder comme une nouvelle animation,Salva come nuova animazione,新しいアニメーションとして保存,새 애니메이션으로 저장,Salvar como nova animação,Сохранить как новую анимацию,另存为新动画,另存为新动画,另存新動畫
Studio.AnimationClipEditor.ContextMenu.AddEvent,Add Animation Event Here, ,Add Animation Event Here,Añadir evento de animación aquí,Ajouter un événement animation ici,Aggiungi evento di animazione qui,ここにアニメーションイベントを追加,여기에 애니메이션 이벤트 추가,Adicionar evento de animação aqui,Добавить сюда событие анимации,在此处添加动画事件,在此处添加动画事件,在此增加動畫事件
Studio.AnimationClipEditor.ContextMenu.ZeroTangent,Set Tangent To Zero, ,Set Tangent To Zero,Establecer tangente en cero,Mettre la tangente à zéro,Imposta tangente su zero,タンジェントをゼロに設定,접선을 0으로 설정,Definir tangente como zero, ,将切线设置为零,将切线设置为零,將切線設為 0
Studio.AnimationClipEditor.Dialog.Cancel,Cancel, ,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.AnimationClipEditor.ContextMenu.EditEvents,Edit Animation Event, ,Edit Animation Event,Editar evento de animación,Modifier un événement animation,Modifica evento di animazione,アニメーションイベントを編集,애니메이션 이벤트 편집,Editar evento de animação,Изменить событие анимации,编辑动画事件,编辑动画事件,編輯動畫事件
Studio.AnimationClipEditor.ContextMenu.PasteEvents,Paste Events, ,Paste Events,Pegar eventos,Évènements passés,Incolla eventi,イベントを貼り付け,이벤트 붙여넣기,Colar eventos,Вставить события,粘贴事件,粘贴事件,貼上事件
Studio.AnimationClipEditor.ContextMenu.EasingDirection,Easing Direction, ,Easing Direction,Dirección de aceleración,Direction allégée,Direzione scorrimento,イージングの方向,감속/가속 방향,Direção de aceleração,Направление упрощения,缓动方向,缓动方向,緩動方向
Studio.AnimationClipEditor.ContextMenu.Redo,Redo, ,Redo,Rehacer,Refaire,Ripeti,やり直す,다시 실행,Refazer,Вернуть,重做,重做,重做
Studio.AnimationClipEditor.ContextMenu.DeleteTrack,Delete Track, ,Delete Track,Eliminar pista,Supprimer une piste,Elimina traccia,トラックを削除,트랙 삭제,Apagar trilha,Удалить отслеживание,删除动画轨迹,删除动画轨迹,刪除影軌
Studio.AnimationClipEditor.Settings.Frames,Frames, ,Frames,Fotogramas,Images,Frame,フレーム,프레임,Quadros,Кадры,帧,帧,影格
Studio.AnimationClipEditor.Settings.SnapFrames,Frames, ,Frames,Fotograma,Cadres,Frame,フレーム,프레임,Quadros, ,帧,帧,影格
Studio.AnimationClipEditor.Settings.PlaybackSpeed,Playback Speed, ,Playback Speed,Velocidad de reproducción,Vitesse de lecture,Velocità di riproduzione,プレイバック速度,재생 속도,Velocidade de execução, ,播放速度,播放速度,播放速度
Studio.AnimationClipEditor.Title.SelectARig,Select a rig to animate or create a new rig by selecting Build Rig under the Plugins tab, ,Select a rig to animate or create a new rig by selecting Build Rig under the Plugins tab,Selecciona un rig para animar o crea un rig nuevo eligiendo Construir rig en la pestaña Plugins,Sélectionner un rig à animer ou créer une nouvelle plate-forme en sélectionnant Construire Rig sous l'onglet Plugins,Seleziona un rig da animare o crea un nuovo rig selezionando Assembla rig nella scheda Plugin.,アニメ化するにはリグを選択するか、プラグインタブの下にある Build Rig を選択して新しいリグを作成,애니메이션화할 리그를 선택하거나 플러그인 탭에서 리그 빌드를 선택해 새 리그를 만듭니다.,Selecionar um rig para animar ou criar novo rig selecionando Construir rig na aba Plugins,Выберите скелетную анимацию,选择一个要制作动画的骨架，或选择插件标签页下的“建造骨架”来新建骨架。,选择一个要制作动画的骨架，或选择插件标签页下的“建造骨架”来新建骨架。,選擇要製作動畫的骨架，或使用外掛程式標籤底下的「建造骨架」選項建立新的骨架
