Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AssetManager.AssetItem.FailedModerationTooltip, This asset has failed moderation review, This asset has failed moderation review, Este recurso no superó la evaluación de moderación, Cette ressource a échoué à la révision de modération, Questo asset è in attesa di revisione della moderazione, このアセットは、内容審査のレビューをパスしませんでした, 이 애셋은 검열을 통과하지 못했습니다.,Este ativo não foi aprovado pela revisão da moderação, 此素材未通过审核, 此素材未通过审核,此素材未通過管理員審查
Studio.AssetManager.ContextMenu.ViewPlaceHistory,View History,View History,Ver historial,Voir historique,Visualizza cronologia,履歴を表示,기록 보기,Ver histórico,查看历史记录,查看历史记录,檢視歷史紀錄
Studio.AssetManager.ContextMenu.ViewOnWebsite,View On Website,View On Website,Ver en el sitio web,Visualiser sur le site web,Visualizza sul sito web,ウェブサイトで表示,웹사이트에서 보기,Ver na página,在网站上查看,在网站上查看,在網站上檢視
Studio.AssetManager.BulkImport.BulkImportShowLink,Check current status,Check current status,Comprobar estado actual,Vérifier statut actuel,Controlla lo stato attuale,現在の状況をチェック,현재 상태 확인,Verificar estado atual,检查当前状态,检查当前状态,檢查目前狀態
Studio.AssetManager.Main.Title,Asset Manager,Asset Manager,Gestor de recursos,Manager d'assets,Gestore risorse,アセット管理,애셋 관리자,Gerenciador de ativos,素材管理器,素材管理器,素材管理器
Studio.AssetManager.Main.ToolbarButton,Asset Manager,Asset Manager,Gestor de recursos,Manager d'assets,Gestore risorse,アセット管理,애셋 관리자,Gerenciador de ativos,素材管理器,素材管理器,素材管理器
Studio.AssetManager.Meta.ToolbarName,Asset Manager,Asset Manager,Gestor de recursos,Manager d'assets,Gestore risorse,アセット管理,애셋 관리자,Gerenciador de ativos,素材管理器,素材管理器,素材管理器
Studio.AssetManager.TopBar.GridViewButton,Grid View,Grid View,Vista de la cuadrícula,Vue de la grille,Visualizzazione griglia,グリッド表示,그리드 뷰,Visualizar grade,栅格视图,栅格视图,網格檢視
Studio.AssetManager.TopBar.ExplorerOverlayButton,Explorer Overlay,Explorer Overlay,Superponer al explorador,Superposition de l'explorateur,Overlay Esploratore,エクスプローラのオーバーレイ,탐색기 오버레이,Sobrepor o explorador,页面叠加,页面叠加,總管面板
Studio.AssetManager.Main.Tooltip,"Add, remove, and modify assets","Add, remove, and modify assets","Añade, elimina y modifica recursos","Ajouter, retirer ou modifier des assets","Aggiungi, rimuovi e modifica risorse",アセットの追加、削除、変更,"애셋 추가, 제거, 수정","Adicionar, remover e modificar ativos",添加、移除和修改素材,添加、移除和修改素材,新增、移除及修改素材
Studio.AssetManager.ContextMenu.RevertToLastPublishedVersion,Revert To Last Published Version,Revert To Last Published Version,Revertir a la última versión publicada,Retour à la dernière version publiée,Torna all'ultima versione pubblicata,最後に公開したバージョンに戻す,마지막 게시 버전으로 되돌리기,Reverter para última versão publicada,还原至上次发布版本,还原至上次发布版本,還原到最後發布的版本
Studio.AssetManager.TopBar.ForwardButton,Forward,Forward,Avanzar,Faire suivre,Avanti,次へ,앞으로,Avançar,前进,前进,前進
Studio.AssetManager.NavBar.ID,ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID : {gameId:int},ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID：{gameId:int},ID：{gameId:int},ID：{gameId:int}
Studio.AssetManager.Meta.PluginName,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager
Studio.AssetManager.MainView.SaveToRobloxButtonText,Save to Roblox,Save to Roblox,Guardar en Roblox,Sauvegarder sur Roblox,Salva su Roblox,Robloxに保存,Roblox에 저장,Salvar na Roblox,保存至 Roblox,保存至 Roblox,儲存到 Roblox
Studio.AssetManager.ContextMenu.EditAsset,Edit Asset,Edit Asset,Editar recurso,Modifier asset,Modifica risorsa,アセットを編集,애셋 편집,Editar ativo,编辑素材,编辑素材,編輯素材
