Key,Source,en-us
Studio.AssetManager.ContextMenu.ViewOnWebsite,View On Website,View On Website
Studio.AssetManager.ContextMenu.ViewPlaceHistory,View History,View History
Studio.AssetManager.Main.Title,Asset Manager,Asset Manager
Studio.AssetManager.Main.ToolbarButton,Asset Manager,Asset Manager
Studio.AssetManager.Meta.ToolbarName,Asset Manager,Asset Manager
Studio.AssetManager.BulkImport.BulkImportShowLink,Check current status,Check current status
Studio.AssetManager.TopBar.GridViewButton,Grid View,Grid View
Studio.AssetManager.TopBar.ExplorerOverlayButton,Explorer Overlay,Explorer Overlay
Studio.AssetManager.Main.Tooltip,"Add, remove, and modify assets","Add, remove, and modify assets"
Studio.AssetManager.TopBar.ForwardButton,Forward,Forward
Studio.AssetManager.ContextMenu.RevertToLastPublishedVersion,Revert To Last Published Version,Revert To Last Published Version
Studio.AssetManager.NavBar.ID,ID: {gameId:int},ID: {gameId:int}
Studio.AssetManager.Meta.PluginName,AssetManager,AssetManager
Studio.AssetManager.MainView.SaveToRobloxButtonText,Save to Roblox,Save to Roblox
Studio.AssetManager.ContextMenu.EditAsset,Edit Asset,Edit Asset
Studio.AssetManager.BulkImport.BulkImportRunning,You can import other files after the current import is finished.,You can import other files after the current import is finished.
Studio.AssetManager.ContextMenu.UpdateAll,Update All,Update All
Studio.AssetManager.ContextMenu.AddVideo,Add Video,Add Video
Studio.AssetManager.NavBar.GamePlaceholderName,Game,Game
Studio.AssetManager.ContextMenu.InsertWithLocation,Insert With Location,Insert With Location
Studio.AssetManager.SearchBar.PlaceholderText,Filter,Filter
Studio.AssetManager.Folders.IMAGES,Images,Images
Studio.AssetManager.Folders.MESHES,Meshes,Meshes
Studio.AssetManager.ContextMenu.PublishLinkedSource,Publish this LinkedSource,Publish this LinkedSource
Studio.AssetManager.Folders.PACKAGES,Packages,Packages
Studio.AssetManager.MainView.PublishText,You need to publish the game to start using Asset Manager.,You need to publish the game to start using Asset Manager.
Studio.AssetManager.Folders.PLACES,Places,Places
Studio.AssetManager.ContextMenu.AssetPreview,Asset Preview,Asset Preview
Studio.AssetManager.ContextMenu.InsertAsScript,Insert As Script,Insert As Script
Studio.AssetManager.ContextMenu.RenameAlias,Rename Alias,Rename Alias
Studio.AssetManager.Folders.SCRIPTS,Scripts,Scripts
Studio.AssetManager.ContextMenu.PackageDetails,Package Details,Package Details
Studio.AssetManager.Folders.AUDIO,Audio,Audio
Studio.AssetManager.AssetItem.PendingModerationTooltip,This asset is pending moderation review, This asset is pending moderation review
Studio.AssetManager.MainView.SaveText,Save to start using Asset Manager.,Save to start using Asset Manager.
Studio.AssetManager.Folders.VIDEO,Video,Video
Studio.AssetManager.ContextMenu.RemoveFromGame,Remove From Game,Remove From Game
Studio.AssetManager.Folders.MODELS,Models,Models
Studio.AssetManager.AssetGrid.NoResults,No {assetType} Found,No {assetType} Found
Studio.AssetManager.ContextMenu.AddAudio,Add Audio,Add Audio
Studio.AssetManager.AssetGrid.LoadButton,Load All Pages,Load All Pages
Studio.AssetManager.Callout.BadgesDevProductsDescription,Badges and Developer Products have moved to Monetization Page in Game Settings,Badges and Developer Products have moved to Monetization Page in Game Settings
Studio.AssetManager.ContextMenu.CopyMeshIdToClipboard,Copy Mesh ID to Clipboard,Copy Mesh ID to Clipboard
Studio.AssetManager.ContextMenu.OpenFolder,Open,Open
Studio.AssetManager.ContextMenu.AddImages,Add Images,Add Images
Studio.AssetManager.ContextMenu.AddMeshes,Add Meshes,Add Meshes
Studio.AssetManager.ContextMenu.AddNewPlace,Add New Place,Add New Place
Studio.AssetManager.ContextMenu.NewPlaceAdded,New Place Added,New Place Added
Studio.AssetManager.ContextMenu.CopyTextureIdToClipboard,Copy Texture ID to Clipboard,Copy Texture ID to Clipboard
Studio.AssetManager.ContextMenu.Rename,Rename,Rename
Studio.AssetManager.ContextMenu.CopyIdToClipboard,Copy ID to Clipboard,Copy ID to Clipboard
Studio.AssetManager.MainView.SaveButtonText,Save,Save
Studio.AssetManager.MainView.ButtonText,Publish,Publish
Studio.AssetManager.AssetPreview.Insert,Insert,Insert
Studio.AssetManager.ContextMenu.Insert,Insert,Insert
Studio.AssetManager.TopBar.ListViewButton,List View,List View
Studio.AssetManager.ContextMenu.InsertAsLocalScript,Insert As Local Script,Insert As Local Script
Studio.AssetManager.ContextMenu.InsertAsModuleScript,Insert As Module Script,Insert As Module Script
Studio.AssetManager.ContextMenu.RefreshScript,Refresh Script,Refresh Script
Studio.AssetManager.RecentlyImportedView.Title,Recently Added,Recently Added
Studio.AssetManager.TopBar.BackButton,Back,Back
Studio.AssetManager.TopBar.BulkImportButton,Bulk import,Bulk import
Studio.AssetManager.AssetItem.FailedModerationTooltip,This asset has failed moderation review, This asset has failed moderation review
