Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AvatarCompatibilityPreviewer.AssetPalettes.RightArm,Right Arm,Right Arm, ,Bras droit, , , , ,右臂,右臂, 
Studio.AvatarCompatibilityPreviewer.Plugin.Text,Example Text!,Example Text!,Texto de ejemplo,Exemple de texte !,Testo di esempio!,テキストの例！,예시 텍스트!,Texto de exemplo!,示例文本！,示例文本！,範例文字！
Studio.AvatarCompatibilityPreviewer.Plugin.Name,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,Aperçu de la compatibilité avatar,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,虛擬人偶兼容性預覽
Studio.AvatarCompatibilityPreviewer.Plugin.Toolbar,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,Aperçu de la compatibilité avatar,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,AvatarCompatibilityPreviewer,虛擬人偶兼容性預覽
Studio.AvatarCompatibilityPreviewer.Plugin.Button,Toggle,Toggle,Activar,Activer/désactiver,Attiva/disattiva,切り換え,토글,Alternador,切换,切换,切換
Studio.AvatarCompatibilityPreviewer.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切り換え。,템플릿 플러그인 창을 토글합니다.,Alterna a janela do plugin de modelos.,切换样板插件窗口。,切换样板插件窗口。,切換範例外掛程式視窗。
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Emotions,Emotions,Emotions, ,Émotions, , , , ,表情,表情, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Locomotion,Locomotion,Locomotion, ,Locomotion, , , , ,角色移动,角色移动, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Jackets,Jackets,Jackets, ,Vestes, , , , ,外套,外套, 
Studio.AvatarCompatibilityPreviewer.SelectScreen.CurrentPlace,Current Place,Current Place, ,Emplacement actuel, , , , ,当前场景,当前场景, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Sweaters,Sweaters,Sweaters, ,Pulls, , , , ,毛衣,毛衣, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Shoes,Shoes,Shoes, ,Chaussures, , , , ,鞋子,鞋子, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Head,Head,Head, ,Tête, , , , ,头部,头部, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Torso,Torso,Torso, ,Torse, , , , ,躯干,躯干, 
Studio.AvatarCompatibilityPreviewer.Categories.animations,Animations,Animations, ,Animations, , , , ,动画,动画, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.LeftArm,Left Arm,Left Arm, ,Bras gauche, , , , ,左臂,左臂, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.LeftLeg,Left Leg,Left Leg, ,Jambe gauche, , , , ,左腿,左腿, 
Studio.AvatarCompatibilityPreviewer.AssetPalettes.RightLeg,Right Leg,Right Leg, ,Jambe droite, , , , ,右腿,右腿, 
Studio.AvatarCompatibilityPreviewer.DummyPreview.RevertToDefault,Revert to Default,Revert to Default, ,Revenir à la valeur par défaut, , , , ,恢复至默认,恢复至默认, 
Studio.AvatarCompatibilityPreviewer.Categories.body,Body,Body, ,Corps, , , , ,身体,身体, 
Studio.AvatarCompatibilityPreviewer.Categories.accessories,Accessories,Accessories, ,Accessoires, , , , ,配饰,配饰, 
Studio.AvatarCompatibilityPreviewer.Categories.clothing,Clothing,Clothing, ,Vêtements, , , , ,服装,服装, 
Studio.AvatarCompatibilityPreviewer.Categories.face,Face,Face, ,Visage, , , , ,脸部,脸部, 
Studio.AvatarCompatibilityPreviewer.DummyPreview.Textured,Textured,Textured, ,Texturé, , , , ,纹理,纹理, 
Studio.AvatarCompatibilityPreviewer.SelectScreen.ImportCharacterFrom,Import Character From,Import Character From, ,Importer un personnage de, , , , ,导入角色来源：,导入角色来源：, 
Studio.AvatarCompatibilityPreviewer.Stages.CheckBody,Check Body,Check Body, ,Vérifier corps, , , , ,检查身体,检查身体, 
Studio.AvatarCompatibilityPreviewer.Stages.CheckFace,Check Face,Check Face, ,Vérifier visage, , , , ,检查脸部,检查脸部, 
