Key,en-us
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Emotions,Emotions
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Head,Head
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Jackets,Jackets
Studio.AvatarCompatibilityPreviewer.AssetPalettes.LeftArm,Left Arm
Studio.AvatarCompatibilityPreviewer.AssetPalettes.LeftLeg,Left Leg
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Locomotion,Locomotion
Studio.AvatarCompatibilityPreviewer.AssetPalettes.RightArm,Right Arm
Studio.AvatarCompatibilityPreviewer.AssetPalettes.RightLeg,Right Leg
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Shoes,Shoes
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Sweaters,Sweaters
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Torso,Torso
Studio.AvatarCompatibilityPreviewer.Categories.accessories,Accessories
Studio.AvatarCompatibilityPreviewer.Categories.animations,Animations
Studio.AvatarCompatibilityPreviewer.Categories.body,Body
Studio.AvatarCompatibilityPreviewer.Categories.clothing,Clothing
Studio.AvatarCompatibilityPreviewer.Categories.face,Face
Studio.AvatarCompatibilityPreviewer.DummyPreview.RevertToDefault,Revert to Default
Studio.AvatarCompatibilityPreviewer.DummyPreview.Textured,Textured
Studio.AvatarCompatibilityPreviewer.Plugin.Button,Toggle
Studio.AvatarCompatibilityPreviewer.Plugin.Description,Toggles the Template plugin window.
Studio.AvatarCompatibilityPreviewer.Plugin.Name,AvatarCompatibilityPreviewer
Studio.AvatarCompatibilityPreviewer.Plugin.Toolbar,AvatarCompatibilityPreviewer
Studio.AvatarCompatibilityPreviewer.SelectScreen.CurrentPlace,Current Place
Studio.AvatarCompatibilityPreviewer.SelectScreen.ImportCharacterFrom,Import Character From
Studio.AvatarCompatibilityPreviewer.Stages.CheckBody,Check Body
Studio.AvatarCompatibilityPreviewer.Stages.CheckFace,Check Face
