Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.LayeredClothingEditor.AssetType.Prompt,Select the asset type:,Select the asset type:,Selecciona el tipo de recurso:,Sélectionner le type d'actif :,Seleziona il tipo di risorsa:,アセットタイプを選択,애셋 유형 선택:,Selecione o tipo de ativo:, ,选择素材类型：,选择素材类型：,選擇素材類型：
Studio.LayeredClothingEditor.Meta.ToolbarName,Avatar,Avatar,Avatar,Avatar,Avatar,アバター,아바타,Avatar, ,虚拟形象,虚拟形象,虛擬人偶
Studio.LayeredClothingEditor.Main.Title,Accessory Fitting Tool,Accessory Fitting Tool,Herramienta Ajuste de accesorios,Outil de réglage des accessoires,Strumento adattamento accessori,アクセサリフィッティングツール,장신구 조정 도구,Ajuste de acessórios,Layered Clothing Editor,配饰调整工具,配饰调整工具,飾品調整工具
Studio.LayeredClothingEditor.Main.ToolbarButton,Accessory Fitting Tool,Accessory Fitting Tool,Ajuste de accesorios,Outil de réglage des accessoires,Strumento adattamento accessori,アクセサリフィッティングツール,장신구 조정 도구,Ajuste de acessórios,Layered Clothing Editor,配饰调整工具,配饰调整工具,飾品調整工具
Studio.LayeredClothingEditor.Editor.Select,Select,Select,Seleccionar,Sélectionner,Seleziona,選択,선택,Selecionar, ,选择,选择,選擇
Studio.LayeredClothingEditor.Select.Click,Click here to begin selecting...,Click here to begin selecting...,Haz clic aquí para empezar a seleccionar...,Cliquer ici pour commencer la sélection...,Clicca qui per iniziare a selezionare...,ここをクリックして選択を開始...,선택을 시작하려면 여기를 클릭하세요...,Clique aqui para começar a selecionar..., ,点按此处开始选择...,点按此处开始选择...,按下此處開始選擇……
Studio.LayeredClothingEditor.Preview.Avatars,Avatars,Avatars,Avatares,Avatars,Avatar,アバター,아바타,Avatares, ,虚拟形象,虚拟形象,虛擬人偶
Studio.LayeredClothingEditor.Main.Tooltip,Edit and Preview Cage Mesh for Clothing and Accessories,Edit and Preview Cage Mesh for Clothing and Accessories,Edita y previsualiza la malla de jaula para ropa y accesorios,Modification et aperçu du maillage de cage des vêtements et accessoires,Modifica e visualizza in anteprima le cage mesh per abbigliamento e accessori,洋服とアクセサリ用のケージメッシュの編集とプレビュー,복장 및 장신구용 케이지 메시 편집 및 미리 보기,Edite e veja a prévia da malha de gaiola para roupas e acessórios,Edit and Preview Cage Mesh for Avatars and Clothing,编辑并预览服装和附件的围笼网格,编辑并预览服装和附件的围笼网格,編輯和預覽服裝和飾品的圍籠網格
Studio.LayeredClothingEditor.Dialog.DefaultTitle,Layered Clothing Editor,Layered Clothing Editor,Editor de ropa en capas,Éditeur de vêtements superposés,Editor di abbigliamento a strati,重ね着用の衣装エディタ,레이어드 복장 편집기,Editor de roupa em camadas, ,层叠服装编辑器,层叠服装编辑器,層疊服飾編輯器
Studio.LayeredClothingEditor.Meta.PluginName,Layered Clothing Editor,Layered Clothing Editor,Editor de ropa en capas,Éditeur de vêtements superposés,Editor di abbigliamento a strati,重ね着用の衣装エディタ,레이어드 복장 편집기,Editor de roupa em camadas, ,层叠服装编辑器,层叠服装编辑器,層疊服飾編輯器
