Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-tw
Studio.DeviceEmulator.Plugin.Name,Device Emulator,Device Emulator,Emulador de dispositivos,Émulateur de l'appareil,Emulatore dispositivo,デバイスエミュレーター,기기 에뮬레이터,Emulador de dispositivo,裝置模擬器
Studio.DeviceEmulator.Plugin.Toolbar,Device Emulator,Device Emulator,Emulador de dispositivos,Émulateur de l'appareil,Emulatore dispositivo,デバイスエミュレーター,기기 에뮬레이터,Emulador de dispositivo,裝置模擬器
Studio.DeviceEmulator.Plugin.Description,Toggles the Device Emulator plugin window,Toggles the Device Emulator plugin window,Alterna la ventana del plugin Emulador de dispositivos,Bascule la fenêtre du plugin EventEmulator,Attiva/disattiva la finestra di plugin EventEmulator,デバイスエミュレータのプラグインウィンドウの切り替え,기기 에뮬레이터 플러그인 창을 토글합니다,Alterna a janela do plugin de emulador de dispositivo,切換裝置模擬器外掛程式視窗
Studio.DeviceEmulator.Plugin.Button,Toggle,Toggle,Alternar,Activer/désactiver,Attiva/disattiva,切り換え,토글,Alternador,切換
Studio.DeviceEmulator.GraphicsQuality.GraphicsQualityLabel,Graphics Quality,Graphics Quality,Calidad de gráficos,Qualité graphique,Qualità grafici,グラフィックの品質,그래픽 품질,Qualidade dos gráficos,圖像品質
Studio.DeviceEmulator.GraphicsQuality.AutoGraphicsQualityLabel,Automatic Graphics Quality,Automatic Graphics Quality,Calidad gráfica automática,Qualité graphique automatique,Qualità grafica automatica,自動グラフィック品質,자동 그래픽 품질,Qualidade dos gráficos automática,自動圖像品質
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagLabel,Network Replication Lag (seconds),Network Replication Lag (seconds),Retraso de replicación de red (segundos),Délai de réplication réseau (secondes),Lag di replica di rete (secondi),ネットワークのレプリケーション遅延（秒）,네트워크 복제 지연(초),Atraso de replicação de rede (em segundos),網路複寫延遲（秒）
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagNotNumberError,Must be a number,Must be a number,Debe ser un número,Doit être un nombre,Deve essere un numero,必ず数字にしてください,숫자여야 합니다,Deve ser um número,須為數字
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagPlaceholder,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneLabel,Multi-Touch Emulation,Multi-Touch Emulation,Emulación multitoques,Émulation Multi-Touches,Emulazione multi-touch,マルチタッチ・エミュレーション,멀티터치 에뮬레이션,Emulação de multitoque,多點觸控模擬
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneCheckboxLabel,Enable,Enable,Activar,Activer,Abilita,有効化,활성화,Ativar,啟用
