Key,en-us
Studio.DeviceEmulator.GraphicsQuality.AutoGraphicsQualityLabel,Automatic Graphics Quality
Studio.DeviceEmulator.GraphicsQuality.GraphicsQualityLabel,Graphics Quality
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneCheckboxLabel,Enable
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneLabel,Multi-Touch Emulation
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagLabel,Network Replication Lag (seconds)
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagNotNumberError,Must be a number
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagPlaceholder,0.5
Studio.DeviceEmulator.Plugin.Button,Toggle
Studio.DeviceEmulator.Plugin.Description,Toggles the Device Emulator plugin window
Studio.DeviceEmulator.Plugin.Name,Device Emulator
Studio.DeviceEmulator.Plugin.Toolbar,Device Emulator
