Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.DynamicHeadExportTool.Plugin.NextButton,Next,Next, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.Name,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,動態臉部匯出工具
Studio.DynamicHeadExportTool.Plugin.Toolbar,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,DynamicHeadExportTool,動態臉部匯出工具
Studio.DynamicHeadExportTool.Plugin.Button,Toggle,Toggle,Activar,Activer/désactiver,Attiva/disattiva,切り換え,토글,Alternador,切换,切换,切換
Studio.DynamicHeadExportTool.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切り換え。,템플릿 플러그인 창을 토글합니다.,Alterna a janela do plugin de modelos.,切换样板插件窗口。,切换样板插件窗口。,切換範例外掛程式視窗。
Studio.DynamicHeadExportTool.Plugin.Text,Example Text!,Example Text!,Texto de ejemplo,Exemple de texte !,Testo di esempio!,テキストの例！,예시 텍스트!,Texto de exemplo!,示例文本！,示例文本！,範例文字！
Studio.DynamicHeadExportTool.Plugin.OwnershipTransferAssetIds,Ownership Transfer Asset IDs,Ownership Transfer Asset IDs, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.AccesoryType,Accessory Type,Accessory Type, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.CloseButton,Close,Close, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.HeadButton,Head,Head, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.ErrorTitle,Error,Error, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.SelectImportedRig,Select Imported Rig,Select Imported Rig, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.AccessoryButton,Accessory,Accessory, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.MoodButton,Mood,Mood, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.OwnershipButton,Ownership IDs,Ownership IDs, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.InputAccesoryType,Input Accessory Type,Input Accessory Type, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.ColorMap,ColorMap,ColorMap, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.AnimationAssetId,Animation Asset ID,Animation Asset ID, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.Animation,Animation,Animation, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.NormalMap,NormalMap,NormalMap, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.SurfaceAppearanceAssetIds,Surface Appearance Asset IDs,Surface Appearance Asset IDs, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.MetalnessMap,MetalnessMap,MetalnessMap, , , , , , , , , 
Studio.DynamicHeadExportTool.Plugin.RoughnessMap,RoughnessMap,RoughnessMap, , , , , , , , , 
