Key,en-us
Studio.DynamicHeadExportTool.Plugin.AccesoryType,Accessory Type
Studio.DynamicHeadExportTool.Plugin.AccessoryButton,Accessory
Studio.DynamicHeadExportTool.Plugin.Animation,Animation
Studio.DynamicHeadExportTool.Plugin.AnimationAssetId,Animation Asset ID
Studio.DynamicHeadExportTool.Plugin.CloseButton,Close
Studio.DynamicHeadExportTool.Plugin.ColorMap,ColorMap
Studio.DynamicHeadExportTool.Plugin.ErrorTitle,Error
Studio.DynamicHeadExportTool.Plugin.ExportButton,Export
Studio.DynamicHeadExportTool.Plugin.HeadButton,Head
Studio.DynamicHeadExportTool.Plugin.InputAccesoryType,Input Accessory Type
Studio.DynamicHeadExportTool.Plugin.MetalnessMap,MetalnessMap
Studio.DynamicHeadExportTool.Plugin.MoodButton,Mood
Studio.DynamicHeadExportTool.Plugin.Name,DynamicHeadExportTool
Studio.DynamicHeadExportTool.Plugin.NextButton,Next
Studio.DynamicHeadExportTool.Plugin.NormalMap,NormalMap
Studio.DynamicHeadExportTool.Plugin.OwnershipButton,Ownership IDs
Studio.DynamicHeadExportTool.Plugin.OwnershipTransferAssetIds,Ownership Transfer Asset IDs
Studio.DynamicHeadExportTool.Plugin.RoughnessMap,RoughnessMap
Studio.DynamicHeadExportTool.Plugin.SelectImportedRig,Select Imported Rig
Studio.DynamicHeadExportTool.Plugin.SurfaceAppearanceAssetIds,Surface Appearance Asset IDs
Studio.DynamicHeadExportTool.Plugin.Toolbar,DynamicHeadExportTool
