Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.General.PlayabilityHeader,Who can play this game?,Wer kann dieses Spiel spielen?,Who can play this game?,¿Quién puede jugar a este juego?,Qui peut jouer à ce jeu ?,このゲームをプレイできる人。,플레이어 허용 범위를 선택하세요.,Quem pode jogar este jogo?,Кто может играть в эту игру?,谁可以玩这个游戏?,谁可以玩这个游戏?,誰可以玩這個遊戲？
Studio.GameSettings.Monetization.MarketplaceFeeIs,Marketplace Fee is {1}%., ,Marketplace Fee is {1}%.,La cuota de mercado es el {1}%.,Les frais du marketplace s'élèvent à {1}%.,マーケットプレース手数料は {1}%です。,마켓플레이스 수수료는 {1}%입니다.,A taxa de mercado é {1}%., ,{1}% 为商店费用。,{1}% 为商店费用。,商城費用為 {1}%。
Studio.GameSettings.General.TitleGameIcon,Game Icon,Spielsymbol,Game Icon,Icono del juego,Icône jeu,ゲームアイコン,게임 아이콘,Ícone do jogo,Значок игры,游戏图标,游戏图标,遊戲圖示
Studio.GameSettings.General.ErrorNameDescHttp,An error has occurred with moderating the name and description. Please try again later!,Beim Moderieren des Namens und der Beschreibung ist ein Fehler aufgetreten. Bitte versuch es später erneut!,An error has occurred with moderating the name and description. Please try again later!,Se ha producido un error al moderar el nombre y la descripción. Inténtalo de nuevo más tarde.,Une erreur est survenue dans la modération du nom et de la description. Essaie plus tard !,名前と詳細が規制対象かレビュー中にエラーが起きました。後でもう一度お試しください。,이름과 설명을 검열하는 데 오류가 발생했어요. 잠시 후 다시 시도하세요!,Ocorreu um erro com a moderação do nome e da descrição. Tente novamente mais tarde.,"При модерировании имени и описания возникла ошибка. Пожалуйста, повторите попытку позже!",过滤名称与描述时发生错误。请稍候重试!,过滤名称与描述时发生错误。请稍候重试!,審核名稱和說明時發生錯誤，請稍後再試！
Studio.GameSettings.General.DevSubsSubscribers,Subscribers,Abonnenten,Subscribers,Suscriptores,Abonnés,サブスクリプション契約者,구독자,Assinantes,Подписчики,订阅者,订阅者,訂閱者
Studio.GameSettings.General.DevSubsIsActive,Yes,Ja,Yes,Sí,Oui,はい,예,Sim,Да,是,是,是
Studio.GameSettings.General.ReplyYes,Yes,Ja,Yes,Sí,Oui,はい,예,Sim,Да,是,是,是
Studio.GameSettings.General.WorldPresetsActionToolTip,"Slightly heavier gravity, jump higher, walk faster", ,"Slightly heavier gravity, jump higher, walk faster","Un poco más de gravedad, salto más alto, caminata más rápida","Gravité légèrement plus lourde, sauter plus haut, marcher plus vite",少し高い重力、もっと高いジャンプ、もっと速い歩行,"다소 무거운 중력, 높은 점프, 빠른 걸음걸이","Gravidade um pouco mais pesada, pulo mais alto, caminhada mais rápida","Гравитация немного выше, прыжки выше, ходьба быстрее",重力稍大，跳得更高，走得更快,重力稍大，跳得更高，走得更快,重力稍微增加、跳躍力和步行速度增加
Studio.GameSettings.General.MultiImageDialogHeader,Images Failed,Hochladen der Bilder fehlgeschlagen,Images Failed,Error en las imágenes,Échec images,画像エラー,이미지 실패,Falha nas imagens,Ошибка загрузки изображения,图片失败,图片失败,圖像失敗
Studio.GameSettings.General.SettingOn,On,An,On,Activado,Activé,有効化,켜기,Ligado,Вкл.,开启,开启,開啟
Studio.GameSettings.General.AnimationStandard,Standard,Standard,Standard,Estándar,Standard,標準,표준,Padrão,Стандарт,标准,标准,標準
Studio.GameSettings.General.PluginName,Game Settings,Spieleinstellungen,Game Settings,Configuración del juego,Paramètres jeu,ゲームの設定,게임 설정,Configurações do jogo,Настройки игры,游戏设置,游戏设置,遊戲設定
Studio.GameSettings.General.GenreFPS,FPS,Ego-Shooter,FPS,FPS,Tir subjectif,FPS,FPS,FPS,Шутер от первого лица,FPS,FPS,第一人稱射擊
