Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.Framework.AssetPreview.Resolution,Resolution,Resolution,Resolución,Résolution,解像度,해상도,Resolução,分辨率,分辨率,解析度
Studio.Framework.AssetPreview.Creator,Creator,Creator,Creador,Créateur,クリエーター,크리에이터,Criador,创建者,创建者,創作者
Studio.Framework.Favorites.FlooredCountInThousands,{count:int}k+,{count:int}k+,{count:int}000+,{count:int}000+,{count:int}000+,{count:int}000+,{count:int}000+,{count:int}k+,{count:int}k+,{count:int}k+
Studio.Framework.AssetPreview.Created,Created,Created,Creado,Créé,作成済み,만든 날짜,Criado,已创建,已创建,創作日期
Studio.Framework.AssetPreview.LastUpdated,Last Updated,Last Updated,Última actualización,Dernière mise à jour,最終更新,마지막 업데이트 날짜,Última atualização,上次更新,上次更新,最後更新日期
Studio.Framework.VoteBar.VoteCount,{count:int} VOTES,{count:int} VOTES,{count:int} VOTOS,{count:int} VOTES,{count:int} 票,{count:int} 표,{count:int} VOTOS,{count:int} 票,{count:int} 票,{count:int} 票
Studio.Framework.AssetPreview.AllGenre,All,All,Todo,Tout,すべて,전체,Tudo,全部,全部,全部
Studio.Framework.AssetPreview.Genre,Genre,Genre,Género,Genre,ジャンル,장르,Gênero,类型,类型,類別
Studio.Framework.PageNavigation.FirstPage,First page,First page,Primera página,Première page,最初のページ,첫 페이지,Primeira página,首页,首页,首頁
Studio.Framework.PageNavigation.LastPage,Last page,Last page,Última página,Dernière page,最後のページ,마지막 페이지,Última página,尾页,尾页,末頁
Studio.Framework.PageNavigation.NextPage,Next page,Next page,Siguiente página,Prochaine page,次のページ,다음 페이지,Próxima página,下一页,下一页,下一頁
Studio.Framework.PageNavigation.PreviousPage,Previous page,Previous page,Página anterior,Page précédente,前のページ,이전 페이지,Página anterior,上一页,上一页,上一頁
Studio.Framework.PageNavigation.PageCount,of {count:int},of {count:int},de {count:int},de {count:int},（全 {count:int} ページ中）,{count:int} 중,de {count:int},共 {count:int} 页,共 {count:int} 页,（共 {count:int} 頁）
Studio.Framework.AssetPreview.ByUsername,By @{username},By @{username},De {username}, ,作：{username},제작: @{username},De @{username}, , ,創作者：@{username}
Studio.Framework.AssetPreview.Report,Report,Report,Reportar, ,報告する,보고서,Informar,举报,举报,舉報
Studio.Framework.AssetPreview.HasScriptsMessage,This model includes scripts.,This model includes scripts.,Este modelo incluye scripts.,Ce modèle comprend des scripts.,このモデルにはスクリプトが含まれています。,이 모델에는 스크립트가 포함되어 있습니다.,Este modelo inclui scripts.,此模型包含脚本。,此模型包含脚本。,此模型包含指令碼。
Studio.Framework.AssetPreview.HasScriptsTooltip,Scripts can change your experience's behavior when it is running.,Scripts can change your experience's behavior when it is running.,Los scripts pueden cambiar el comportamiento de tu experiencia al ejecutarse.,Les scripts peuvent modifier le comportement de ton expérience lorsqu'elle est en cours d'exécution.,スクリプトは、実行中のあなたの体験の動作を変更できます。,스크립트는 실행 중인 체험의 동작을 변경할 수 있습니다,Scripts podem alterar o comportamento de sua experiência quando estiver em execução.,脚本在运行时回改变你体验中的行为。,脚本在运行时回改变你体验中的行为。,指令碼在運行時會改變體驗的行為。
