Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AccessoryFittingTool.AssetType.Prompt,Select the asset type:,Select the asset type:,Selecciona el tipo de recurso:,Sélectionner le type de contenu :,Seleziona il tipo di risorsa:,アセットタイプを選択,애셋 유형 선택:,Selecione o tipo de ativo:, , ,選擇素材類型：
Studio.AccessoryFittingTool.Meta.ToolbarName,Avatar,Avatar,Avatar,Avatar,Avatar,アバター,아바타,Avatar,虚拟形象,虚拟形象,虛擬人偶
Studio.AccessoryFittingTool.Main.Title,Accessory Fitting Tool,Accessory Fitting Tool,Herramienta de Ajuste de accesorios,Outil de réglage des accessoires,Strumento adattamento accessori,アクセサリフィッティングツール,장신구 조정 도구,Ferramenta de ajuste de acessórios, , ,飾品調整工具
Studio.AccessoryFittingTool.Main.ToolbarButton,Accessory Fitting Tool,Accessory Fitting Tool,Ajuste de accesorios,Outil de réglage des accessoires,Strumento adattamento accessori,アクセサリフィッティングツール,장신구 조정 도구,Ferramenta de ajuste de acessórios, , ,飾品調整工具
Studio.AccessoryFittingTool.Editor.Select,Select,Select,Seleccionar,Sélectionner,Seleziona,選ぶ,선택,Selecionar,选择,选择,選擇
Studio.AccessoryFittingTool.Select.Click,Click here to begin selecting...,Click here to begin selecting...,Haz clic aquí para empezar a seleccionar...,Cliquer ici pour commencer la sélection...,Clicca qui per iniziare a selezionare...,ここをクリックして選択を開始...,선택을 시작하려면 여기를 클릭하세요...,Clique aqui para começar a selecionar..., , ,按下此處開始選擇……
Studio.AccessoryFittingTool.Preview.Avatars,Avatars,Avatars,Avatares,Avatars,Avatars,アバター,아바타,Avatares,虚拟形象,虚拟形象,虛擬人偶
Studio.AccessoryFittingTool.Main.Tooltip,Edit and Preview Cage Mesh for Clothing and Accessories,Edit and Preview Cage Mesh for Clothing and Accessories,Edita y previsualiza la malla de jaula para ropa y accesorios,Modifier et prévisualiser les mailles de la grille pour les vêtements et les accessoires,Modifica e visualizza in anteprima le cage mesh per abbigliamento e accessori,洋服とアクセサリ用のケージメッシュの編集とプレビュー,복장 및 장신구용 케이지 메시 편집 및 미리 보기,Edite e veja a prévia da malha de gaiola para roupas e acessórios, , ,編輯和預覽服裝和飾品的圍籠網格
Studio.AccessoryFittingTool.Dialog.DefaultTitle,Layered Clothing Editor,Layered Clothing Editor,Editor de ropa en capas,Éditeur de vêtements superposés,Editor di abbigliamento a strati,重ね着用の衣装エディタ,레이어드 복장 편집기,Editor de roupas em camadas, , ,多層次穿搭編輯器
Studio.AccessoryFittingTool.Meta.PluginName,Layered Clothing Editor,Layered Clothing Editor,Editor de ropa en capas,Éditeur de vêtements superposés,Editor di abbigliamento a strati,重ね着用の衣装エディタ,레이어드 복장 편집기,Editor de roupas em camadas, , ,多層次穿搭編輯器
Studio.AccessoryFittingTool.Preview.Transparency,Transparency,Transparency,Transparencia,Transparence,Trasparenza,透明度,투명도,Transparência, , ,透明度
Studio.AccessoryFittingTool.Transparency.Title,Transparency,Transparency,Transparencia,Transparence,Trasparenza,透明度,투명도,Transparência, , ,透明度
Studio.AccessoryFittingTool.Editor.Preview,Preview,Preview,Vista previa,Prévisualiser,Anteprima,プレビュー,미리 보기,Prévia,预览,预览,預覽
Studio.AccessoryFittingTool.Editor.Edit,Edit,Edit,Editar,Éditer,Modifica,編集,편집,Editar,编辑,编辑,編輯
Studio.AccessoryFittingTool.AssetType.Sweater,Sweater,Sweater,Suéter,Pull,Maglione,セーター,스웨터,Moletom,毛衣,毛衣,外套
Studio.AccessoryFittingTool.AssetType.LeftShoulder,Left Shoulder,Left Shoulder,Hombro izquierdo,Épaule gauche,Spalla sinistra,左肩,왼쪽 어깨,Ombro esquerdo,左肩,左肩,左肩
Studio.AccessoryFittingTool.ToolSettings.FalloffDistance,Falloff Distance,Falloff Distance,Distancia de desvanecimiento,Distance de déconnexion,Distanza Caduta,減衰距離,감쇠 거리,Distância de queda,衰减距离,衰减距离,淡出距離
Studio.AccessoryFittingTool.Editor.EditAndPreview,Edit And Preview,Edit And Preview,Editar y previsualizar,Éditer et prévisualiser,Modifica E Anteprima,編集とプレビュー,편집 및 미리 보기,Editar e ver prévia,编辑和预览,编辑和预览,編輯並預覽
Studio.AccessoryFittingTool.AssetType.RightShoe,RightShoe,RightShoe,Zapato derecho,ChaussureDroite,Scarpa Destra,右靴,오른쪽 신발,RightShoe,右脚鞋,右脚鞋,右鞋
