Key,en-us
Studio.AccessoryFittingTool.Actions.Redo,Redo
Studio.AccessoryFittingTool.Actions.SelectLattice,Select Lattice
Studio.AccessoryFittingTool.Actions.ToggleTransform,Toggle Transform
Studio.AccessoryFittingTool.Actions.Undo,Undo
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.AddWithNoCageText,Imported {itemName} does not contain an {cageName}. Please use Cage Generation in Edit to generate one.
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.ConfirmAddText,Adding {itemName} to asset list?
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.ControlsPanelBlockerText,Add and avatar or clothing instance from Explorer or workspace.
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.InvalidAddText,Only avatar or clothing item can be added
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.InvalidAddTextAccOnly,Item is not valid for creating clothing or accessory.
Studio.AccessoryFittingTool.AddEditingItemFromExplorer.Tooltip,Add assets from Explorer
Studio.AccessoryFittingTool.AssetType.Accessory,Accessory
Studio.AccessoryFittingTool.AssetType.AssetType,Asset Type
Studio.AccessoryFittingTool.AssetType.Back,Back
Studio.AccessoryFittingTool.AssetType.Center,Center
Studio.AccessoryFittingTool.AssetType.Clothing,Clothing
Studio.AccessoryFittingTool.AssetType.Dress,Dress
Studio.AccessoryFittingTool.AssetType.Face,Face
Studio.AccessoryFittingTool.AssetType.Front,Front
Studio.AccessoryFittingTool.AssetType.Hair,Hair
Studio.AccessoryFittingTool.AssetType.Hat,Hat
Studio.AccessoryFittingTool.AssetType.Jacket,Jacket
Studio.AccessoryFittingTool.AssetType.LeftCollar,Left Collar
Studio.AccessoryFittingTool.AssetType.LeftShoe,LeftShoe
Studio.AccessoryFittingTool.AssetType.LeftShoulder,Left Shoulder
Studio.AccessoryFittingTool.AssetType.Neck,Neck
Studio.AccessoryFittingTool.AssetType.Pants,Pants
Studio.AccessoryFittingTool.AssetType.Prompt,Select the asset type:
Studio.AccessoryFittingTool.AssetType.RightCollar,Right Collar
Studio.AccessoryFittingTool.AssetType.RightShoe,RightShoe
Studio.AccessoryFittingTool.AssetType.RightShoulder,Right Shoulder
Studio.AccessoryFittingTool.AssetType.Shirt,Shirt
Studio.AccessoryFittingTool.AssetType.Shorts,Shorts
Studio.AccessoryFittingTool.AssetType.Shoulder,Shoulder
Studio.AccessoryFittingTool.AssetType.Skirt,Skirt
Studio.AccessoryFittingTool.AssetType.Sweater,Sweater
Studio.AccessoryFittingTool.AssetType.TeeShirt,Tee Shirt
Studio.AccessoryFittingTool.AssetType.Waist,Waist
Studio.AccessoryFittingTool.ClothesHelper.CreateAccessory,CreateAccessory
Studio.AccessoryFittingTool.ClothesHelper.CreateAccessoryTooltip,Select one or multiple Models to convert into Accessories
Studio.AccessoryFittingTool.ClothesHelper.IncorrectTypeError,The creation of the following accessories was skipped because of incorrect object type. Please select imported models
Studio.AccessoryFittingTool.ClothesHelper.NoAttachmentsError,The creation of the following accessories was skipped because no suitable attachment point could be found
Studio.AccessoryFittingTool.ClothesHelper.NoSelectionError,No selection found. Please select imported models to be converted to accessories.
Studio.AccessoryFittingTool.ClothesHelper.NoWrapLayerError,The creation of the following accessories was skipped because no WrapLayer child was found
Studio.AccessoryFittingTool.Dialog.Cancel,Cancel
Studio.AccessoryFittingTool.Dialog.Confirm,Confirm
Studio.AccessoryFittingTool.Dialog.DefaultTitle,Layered Clothing Editor
Studio.AccessoryFittingTool.EditAndPreview.PromptCage,Adjust fitting by editing the cage mesh vertices. Use preview to access fitting quality with different options for bodies and animations.
Studio.AccessoryFittingTool.EditAndPreview.PromptNoCage,"Move, rotate and scale accessory within the bounding box to adjust fitting. Use preview to access fitting quality on different bodies and animations."
Studio.AccessoryFittingTool.EditingMode.AutoWeightOverride,Auto Skinning Behavior is set to EnabledOverride
Studio.AccessoryFittingTool.EditingMode.AutoWeightPreserve,Auto Skinning Behavior is set to EnabledPreserve
Studio.AccessoryFittingTool.EditingMode.InnerCage,Inner Cage Mode
Studio.AccessoryFittingTool.EditingMode.MeshPart,Mesh Part
Studio.AccessoryFittingTool.EditingMode.OuterCage,Outer Cage Mode
Studio.AccessoryFittingTool.EditingMode.Text,Enable/Disable Cage Editing
Studio.AccessoryFittingTool.Editor.BringMannequinToView,Bring Mannequin To View
Studio.AccessoryFittingTool.Editor.CageGenerate,Cage Generate
Studio.AccessoryFittingTool.Editor.Edit,Edit
Studio.AccessoryFittingTool.Editor.EditAndPreview,Edit And Preview
Studio.AccessoryFittingTool.Editor.Generate,Generate
Studio.AccessoryFittingTool.Editor.LatticeTool,Lattice Tool
Studio.AccessoryFittingTool.Editor.MeshPartMode,"Move, rotate, and scale MeshPart to adjust fitting."
