Key,Source,en-us
Studio.LocalizationTools.Plugin.RibbonBarButton,Tools,Tools
Studio.LocalizationTools.EmbeddedTableSection.SectionLabel,Embedded Localization Table,Embedded Localization Table
Studio.LocalizationTools.UploadDialogContent.ConfirmUploadDialogTitle,Comfirm Upload,Comfirm Upload
Studio.LocalizationTools.CloudTableSection.ReplaceButton,Replace,Replace
Studio.LocalizationTools.UploadDialogContent.PatchInvalidLanguagesLabel,Invalid columns:,Invalid columns:
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStopText,Stop untranslated text capture,Stop untranslated text capture
Studio.LocalizationTools.Plugin.WindowTitle,Localization Tools,Localization Tools
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureButton,Text Capture,Text Capture
Studio.LocalizationTools.MessageFrame.BusyMessage,busy,busy
Studio.LocalizationTools.Plugin.ToolbarLabel,Localization,Localization
Studio.LocalizationTools.Plugin.ToolTipMessage,Hide/show the Localization Tools View,Hide/show the Localization Tools View
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStartText,Start untranslated text capture,Start untranslated text capture
Studio.LocalizationTools.UploadTable.SourceTooLong,"Source for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Source for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit"
Studio.LocalizationTools.EmbeddedTableSection.ExportButton,Export,Export
Studio.LocalizationTools.EmbeddedTableSection.ImportButton,Import,Import
Studio.LocalizationTools.UploadDialogContent.ConfirmButton,Confirm,Confirm
Studio.LocalizationTools.CloudTableSection.ReplaceTableLabel,Replace entire cloud table with CSV,Replace entire cloud table with CSV
Studio.LocalizationTools.EmbeddedTableSection.ExportTextLabel,Export LocalizationTables under LocalizationService to CSV files,Export LocalizationTables under LocalizationService to CSV files
Studio.LocalizationTools.UploadDialogContent.AddEntriesPreText,Add entries:,Add entries:
Studio.LocalizationTools.EmbeddedTableSection.ImportTextLabel,Import CSV files to LocalizationTables under LocalizationService,Import CSV files to LocalizationTables under LocalizationService
Studio.LocalizationTools.UploadTable.ContextTooLong,"Context for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Context for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit"
Studio.LocalizationTools.CloudTableSection.CloudTablePageLinkText,Click here to configure your cloud localization table,Click here to configure your cloud localization table
Studio.LocalizationTools.UploadDialogContent.PatchTotalTranslationsLabel,Total translations:,Total translations:
Studio.LocalizationTools.UploadDialogContent.ChangeTranslationsPretext,Change translations:,Change translations:
Studio.LocalizationTools.UploadDialogContent.UploadPatchMessage,Upload patch?,Upload patch?
Studio.LocalizationTools.CloudTableSection.DownloadButton,Download,Download
Studio.LocalizationTools.CloudTableSection.DownloadTableLabel,Download table as CSV,Download table as CSV
Studio.LocalizationTools.CloudTableSection.UpdateButton,Update,Update
Studio.LocalizationTools.CloudTableSection.UpdateTableLabel,Update with new content from CSV,Update with new content from CSV
Studio.LocalizationTools.UploadDialogContent.CancelButton,Cancel,Cancel
Studio.LocalizationTools.CloudTableSection.AdvancedButton,Advanced,Advanced
Studio.LocalizationTools.CloudTableSection.PublishPlaceMessage,Publish this place to upload a table,Publish this place to upload a table
Studio.LocalizationTools.CloudTableSection.SectionLabel,Cloud Localization Table,Cloud Localization Table
Studio.LocalizationTools.UploadDialogContent.PatchEmptyMessage,Patch empty. Upload anyway?,Patch empty. Upload anyway?
Studio.LocalizationTools.UploadDialogContent.PatchContainsLabel,This patch contains: ,This patch contains: 
Studio.LocalizationTools.UploadDialogContent.AddTranslationsPretext,Add translations:,Add translations:
Studio.LocalizationTools.UploadDialogContent.DeleteEntriesPretext,Delete entries:,Delete entries:
Studio.LocalizationTools.UploadTable.InvalidTableDialogTitle,Invalid Table Entries,Invalid Table Entries
Studio.LocalizationTools.UploadDialogContent.DeleteTranslationsPretext,Delete translations:,Delete translations:
Studio.LocalizationTools.UploadDialogContent.AddLanguagesPretext,Add languages:,Add languages:
Studio.LocalizationTools.UploadDialogContent.PatchTotalRowsLabel,Total rows:,Total rows:
Studio.LocalizationTools.UploadDialogContent.PatchLanguagesLabel,Languages:,Languages:
Studio.LocalizationTools.UploadDialogContent.PatchWillLabel,This patch will:,This patch will:
Studio.LocalizationTools.MessageFrame.OpenCSVFileMessage,Open CSV file...,Open CSV file...
Studio.LocalizationTools.UploadDialogContent.UploadCompleteWithInvalidEntries,Upload complete with invalid entries: ,Upload complete with invalid entries: 
Studio.LocalizationTools.UploadDialogContent.InvalidIdentifier,Entries with invalid identifier:,Entries with invalid identifier:
Studio.LocalizationTools.UploadDialogContent.InvalidTranslation,Invalid translations:,Invalid translations:
Studio.LocalizationTools.UploadDialogContent.ParentLangaugeTranslationMissing,"{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}","{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}"
Studio.LocalizationTools.MessageFrame.UploadFailedMessage,Upload cloud table failed,Upload cloud table failed
Studio.LocalizationTools.UploadTable.EmptySourceError,"Entry (key: {key}, source: {source}, context: {context}) cannot have an empty source","Entry (key: {key}, source: {source}, context: {context}) cannot have an empty source"
Studio.LocalizationTools.MessageFrame.UploadCompletedMessage,Upload cloud table complete,Upload cloud table complete
Studio.LocalizationTools.UploadTable.DuplicateSourceContextError,"Entry (key: {key}, source: {source}, context: {context}) cannot contain the same (source, context) pair as another entry","Entry (key: {key}, source: {source}, context: {context}) cannot contain the same (source, context) pair as another entry"
Studio.LocalizationTools.UploadTable.EmptyCSVWarning,An empty CSV has been uploaded. All entries and translations will be manually deleted from your table and these entries will not be scraped again via automatic text capture until a new game server is launched.,An empty CSV has been uploaded. All entries and translations will be manually deleted from your table and these entries will not be scraped again via automatic text capture until a new game server is launched.
