Key,en-us
Studio.LocalizationTools.CloudTableSection.AdvancedButton,Advanced
Studio.LocalizationTools.CloudTableSection.CloudTablePageLinkText,Click here to configure your cloud localization table
Studio.LocalizationTools.CloudTableSection.DownloadButton,Download
Studio.LocalizationTools.CloudTableSection.DownloadTableLabel,Download table as CSV
Studio.LocalizationTools.CloudTableSection.PublishPlaceMessage,Publish this place to upload a table
Studio.LocalizationTools.CloudTableSection.ReplaceButton,Replace
Studio.LocalizationTools.CloudTableSection.ReplaceTableLabel,Replace entire cloud table with CSV
Studio.LocalizationTools.CloudTableSection.SectionLabel,Cloud Localization Table
Studio.LocalizationTools.CloudTableSection.UpdateButton,Update
Studio.LocalizationTools.CloudTableSection.UpdateTableLabel,Update with new content from CSV
Studio.LocalizationTools.DownloadTable.GetCloudTableFailed,Localization Tools failed to request cloud table.
Studio.LocalizationTools.DownloadTable.SetEntriesFailed,Internal error.
Studio.LocalizationTools.DownloadTable.SetEntriesFailedWithErrorMessage,Cloud table contains invalid entries.
Studio.LocalizationTools.EmbeddedTableSection.ExportButton,Export
Studio.LocalizationTools.EmbeddedTableSection.ExportTextLabel,Export LocalizationTables under LocalizationService to CSV files
Studio.LocalizationTools.EmbeddedTableSection.ImportButton,Import
Studio.LocalizationTools.EmbeddedTableSection.ImportTextLabel,Import CSV files to LocalizationTables under LocalizationService
Studio.LocalizationTools.EmbeddedTableSection.SectionLabel,Embedded Localization Table
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureButton,Text Capture
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStartText,Start untranslated text capture
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStopText,Stop untranslated text capture
Studio.LocalizationTools.MessageFrame.BusyMessage,busy
Studio.LocalizationTools.MessageFrame.ComputingPatchMessage,Computing patch...
Studio.LocalizationTools.MessageFrame.ConfirmUploadMessage,Confirm upload...
Studio.LocalizationTools.MessageFrame.DownloadFailedMessage,Download cloud table failed
Studio.LocalizationTools.MessageFrame.DownloadingTableMessage,Downloading table...
Studio.LocalizationTools.MessageFrame.OpenCSVFileMessage,Open CSV file...
Studio.LocalizationTools.MessageFrame.SelectCSVFileMessage,Select CSV file...
Studio.LocalizationTools.MessageFrame.TableWrittenToFileMessage,Table written to file
Studio.LocalizationTools.MessageFrame.UploadCanceledMessage,Upload canceled
Studio.LocalizationTools.MessageFrame.UploadCompletedMessage,Upload cloud table complete
Studio.LocalizationTools.MessageFrame.UploadFailedMessage,Upload cloud table failed
Studio.LocalizationTools.MessageFrame.UploadingPatchMessage,Uploading patch...
Studio.LocalizationTools.Plugin.RibbonBarButton,Tools
Studio.LocalizationTools.Plugin.ToolTipMessage,Hide/show the Localization Tools View
Studio.LocalizationTools.Plugin.ToolbarLabel,Localization
Studio.LocalizationTools.Plugin.WindowTitle,Localization Tools
Studio.LocalizationTools.PluginMetadata.GetAllLocalesFailed,Localization Tools failed to get all languages info.
Studio.LocalizationTools.PluginMetadata.GetOrCreateCloudTableFailedMessage,Localization Tools failed to get cloud table info.
Studio.LocalizationTools.PluginMetadata.GetPermissionFailedMessage,Localization Tools failed to get permission info.
Studio.LocalizationTools.UploadDialogContent.AddEntriesPreText,Add entries:
Studio.LocalizationTools.UploadDialogContent.AddLanguagesPretext,Add languages:
Studio.LocalizationTools.UploadDialogContent.AddTranslationsPretext,Add translations:
Studio.LocalizationTools.UploadDialogContent.CancelButton,Cancel
Studio.LocalizationTools.UploadDialogContent.ChangeTranslationsPretext,Change translations:
Studio.LocalizationTools.UploadDialogContent.ConfirmButton,Confirm
Studio.LocalizationTools.UploadDialogContent.ConfirmUploadDialogTitle,Comfirm Upload
Studio.LocalizationTools.UploadDialogContent.DeleteEntriesPretext,Delete entries:
Studio.LocalizationTools.UploadDialogContent.DeleteTranslationsPretext,Delete translations:
Studio.LocalizationTools.UploadDialogContent.InvalidIdentifier,Entries with invalid identifier:
Studio.LocalizationTools.UploadDialogContent.InvalidTranslation,Invalid translations:
Studio.LocalizationTools.UploadDialogContent.ParentLangaugeTranslationMissing,"{locale} translation requires {language} translation for entry with key: {key},  source: {source},  context: {context}"
Studio.LocalizationTools.UploadDialogContent.PatchContainsLabel,This patch contains: 
Studio.LocalizationTools.UploadDialogContent.PatchEmptyMessage,Patch empty. Upload anyway?
Studio.LocalizationTools.UploadDialogContent.PatchInvalidLanguagesLabel,Invalid columns:
Studio.LocalizationTools.UploadDialogContent.PatchLanguagesLabel,Languages:
Studio.LocalizationTools.UploadDialogContent.PatchTotalRowsLabel,Total rows:
Studio.LocalizationTools.UploadDialogContent.PatchTotalTranslationsLabel,Total translations:
Studio.LocalizationTools.UploadDialogContent.PatchWillLabel,This patch will:
Studio.LocalizationTools.UploadDialogContent.UploadCompleteWithInvalidEntries,Upload complete with invalid entries: 
Studio.LocalizationTools.UploadDialogContent.UploadPatchMessage,Upload patch?
Studio.LocalizationTools.UploadTable.GetGameSourceLanguageFailed,Localization Tools failed to request game source langauge.
Studio.LocalizationTools.UploadTable.GetSupportedLanguagesFailedMessage,Localization Tools failed to request supported langauges.
Studio.LocalizationTools.UploadTable.PatchCloudTableFailed,Localization Tools failed to upload cloud table.
Studio.LocalizationTools.UploadTable.PatchSupportedLangugesFailed,Localization Tools failed to add supported langauges.
