Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.LocalizationTools.Plugin.RibbonBarButton,Tools,Tools,Herramientas,Outils,ツール,도구,Ferramentas,工具,工具,工具
Studio.LocalizationTools.EmbeddedTableSection.SectionLabel,Embedded Localization Table,Embedded Localization Table,Tabla de localización insertada,Tableau de localization intégré,埋め込み済み多言語化テーブル,임베디드 로컬리제이션 테이블,Tabela de localização integrada,嵌入本地化表格,嵌入本地化表格,內嵌本地化表格
Studio.LocalizationTools.UploadDialogContent.ConfirmUploadDialogTitle,Comfirm Upload,Comfirm Upload,Confirmar carga,Confirmer téléchargement,アップロードを確定,업로드 확인,Confirmar carregamento,确认上传,确认上传,確認上傳
Studio.LocalizationTools.CloudTableSection.ReplaceButton,Replace,Replace,Reemplazar,Remplacer,置き換え,바꾸기,Substituir,替换,替换,取代
Studio.LocalizationTools.UploadDialogContent.PatchInvalidLanguagesLabel,Invalid columns:,Invalid columns:,Columnas no válidas:,Colonnes invalides :,無効な列:,유효하지 않은 열:,Colunas inválidas:,无效的列：,无效的列：,無效行：
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStopText,Stop untranslated text capture,Stop untranslated text capture,Detener la captura del texto no traducido,Arrêter la saisie texte non traduit,未翻訳のテキスト抽出を終了,번역되지 않은 텍스트 캡처 중지,Parar captura de texto não traduzido,停止抓取未翻译的文本,停止抓取未翻译的文本,停止擷取未翻譯文字
Studio.LocalizationTools.Plugin.WindowTitle,Localization Tools,Localization Tools,Herramientas de localización,Outils de localisation,多言語化ツール,로컬리제이션 도구,Ferramentas de localização,本地化工具,本地化工具,本地化工具
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureButton,Text Capture,Text Capture,Captura del texto,Saisie de texte,テキスト抽出,텍스트 캡처,Captura de texto,文本抓取,文本抓取,文字擷取
Studio.LocalizationTools.MessageFrame.UploadingPatchMessage,Uploading patch...,Uploading patch...,Cargando revisión...,Téléchargement patch...,パッチをアップロード中...,패치를 업로드하는 중...,Fazendo upload da revisão...,正在上传补丁...,正在上传补丁...,正在上傳更新檔……
Studio.LocalizationTools.MessageFrame.BusyMessage,busy,busy,ocupado,occupé,ビジー状態,사용 중,ocupado,系统繁忙,系统繁忙,忙碌
Studio.LocalizationTools.Plugin.ToolbarLabel,Localization,Localization,Localización,Localisation,多言語化,로컬리제이션,Localização,本地化,本地化,本地化
Studio.LocalizationTools.UploadTable.GetGameSourceLanguageFailed,Localization Tools failed to request game source langauge.,Localization Tools failed to request game source langauge.,Las herramientas de localización no han podido solicitar el idioma de origen del juego.,Localization Tools n'a pas réussi à requérir la langue source du jeu.,多言語化ツールがゲームのソース言語をリクエストできませんでした。,로컬리제이션 도구가 게임의 소스 언어를 요청하지 못했습니다.,As ferramentas de localização falharam em requisitar o idioma fonte do jogo.,本地化工具请求源语言失败。,本地化工具请求源语言失败。,本地化工具請求原始語言失敗。
Studio.LocalizationTools.Plugin.ToolTipMessage,Hide/show the Localization Tools View,Hide/show the Localization Tools View,Oculta o muestra la visualización de las herramientas de localización,Cacher/afficher vue des outils de localisation,多言語化ツールの非表示/表示,로컬리제이션 도구 보기 숨기기/표시,Exibir ou ocultar a visualização das ferramentas de localização,隐藏/显示本地化工具视图,隐藏/显示本地化工具视图,隱藏 / 顯示本地化工具檢視模式
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStartText,Start untranslated text capture,Start untranslated text capture,Empezar la captura del texto no traducido,Commencer la saisie du texte non traduit,未翻訳のテキスト抽出を開始,번역되지 않은 텍스트 캡처 시작,Iniciar captura de texto não traduzido,开始抓取未翻译的文本,开始抓取未翻译的文本,開始擷取未翻譯文字
Studio.LocalizationTools.EmbeddedTableSection.ExportButton,Export,Export,Exportar,Exporter,書き出す,내보내기,Exportar,导出,导出,匯出
Studio.LocalizationTools.EmbeddedTableSection.ImportButton,Import,Import,Importar,Importer,インポート,가져오기,Importar,导入,导入,匯入
Studio.LocalizationTools.UploadDialogContent.ConfirmButton,Confirm,Confirm,Confirmar,Confirmer,確定,확인,Confirmar,确认,确认,確認
Studio.LocalizationTools.CloudTableSection.ReplaceTableLabel,Replace entire cloud table with CSV,Replace entire cloud table with CSV,Reemplazar toda la tabla en la nube con CSV,Remplacer entièrement le tableau cloud avec CSV,クラウドテーブル全体をCSVで置き換える,전체 클라우드 테이블을 CSV로 바꾸기,Substituir toda a tabela na nuvem com CSV,将整个云表格替换为 CSV,将整个云表格替换为 CSV,將整個雲端表格取代成 CSV 檔案
Studio.LocalizationTools.EmbeddedTableSection.ExportTextLabel,Export LocalizationTables under LocalizationService to CSV files,Export LocalizationTables under LocalizationService to CSV files,Exportar LocalizationTables bajo LocalizationService a archivos CSV,Exporter LocalizationTables sous LocalizationService en format fichiers CSV,LocalizationService 下の LocalizationTables をCSVファイルをエクスポート,LocalizationService 아래의 LocalizationTables를 CSV 파일로 내보내기,Exportar LocalizationTables sob LocalizationService para arquivos CSV,在 LocalizationService 下导出 LocalizationTables 至 CSV 文件,在 LocalizationService 下导出 LocalizationTables 至 CSV 文件,將 LocalizationService 底下的 LocalizationTable 匯出為 CSV 檔案
Studio.LocalizationTools.UploadDialogContent.AddEntriesPreText,Add entries:,Add entries:,Añadir entradas:,Ajouter des entrées :,入力内容を追加:,항목 추가:,Adicionar entradas:,添加条目：,添加条目：,新增條目：
Studio.LocalizationTools.EmbeddedTableSection.ImportTextLabel,Import CSV files to LocalizationTables under LocalizationService,Import CSV files to LocalizationTables under LocalizationService,Importar archivos CSV a LocalizationTables bajo LocalizationService,Importer les fichiers CSV dans LocalizationTables sous LocalizationService,LocalizationService 下の LocalizationTables にCSVファイルをインポート,CSV 파일을 LocalizationService 아래의 LocalizationTables로 가져오기,Importar arquivos CSV para LocalizationTables sob LocalizationService,在 LocalizationService 下导入 CSV 文件至 LocalizationTables,在 LocalizationService 下导入 CSV 文件至 LocalizationTables,將 CSV 檔案匯入為 LocalizationService 底下的 LocalizationTable
Studio.LocalizationTools.CloudTableSection.CloudTablePageLinkText,Click here to configure your cloud localization table,Click here to configure your cloud localization table,Haz clic aquí para configurar la tabla de localización en la nube,Cliquer ici pour configurer votre tableau localisation cloud,ここをクリックして、クラウド多言語化テーブルを環境設定,클라우드 로컬리제이션 테이블을 구성하려면 여기를 클릭하세요.,Clique aqui para configurar sua tabela de localização na nuvem,点击这里来配置你的云本地化表格,点击这里来配置你的云本地化表格,按下此處設定雲端本地化表格
Studio.LocalizationTools.UploadDialogContent.PatchTotalTranslationsLabel,Total translations:,Total translations:,Traducciones totales:,Total des traductions :,翻訳の合計:,전체 번역:,Total de traduções:,总翻译数：,总翻译数：,總翻譯數：
Studio.LocalizationTools.UploadDialogContent.ChangeTranslationsPretext,Change translations:,Change translations:,Cambiar traducciones:,Changer des traductions :,翻訳を変更:,번역 변경:,Mudar traduções:,更改翻译：,更改翻译：,變更翻譯：
Studio.LocalizationTools.UploadDialogContent.UploadPatchMessage,Upload patch?,Upload patch?,¿Cargar revisión?,Télécharger patch ?,パッチをアップロードしますか？,패치를 업로드할까요?,Carregar revisão?,上传补丁？,上传补丁？,上傳更新檔？
Studio.LocalizationTools.CloudTableSection.DownloadButton,Download,Download,Descargar,Télécharger,ダウンロード,다운로드,Baixar,下载,下载,下載
Studio.LocalizationTools.CloudTableSection.DownloadTableLabel,Download table as CSV,Download table as CSV,Descargar la tabla como CSV,Télécharger le tableau en format CSV,CSVとしてテーブルをダウンロード,테이블을 CSV로 다운로드,Baixar tabela como CSV,下载表格并保存至 CSV 格式,下载表格并保存至 CSV 格式,將表格下載為 CSV 檔案
Studio.LocalizationTools.CloudTableSection.UpdateButton,Update,Update,Actualizar,Mettre à jour,アップデート,업데이트,Atualizar,更新,更新,更新
Studio.LocalizationTools.CloudTableSection.UpdateTableLabel,Update with new content from CSV,Update with new content from CSV,Actualizar con nuevo contenido de CSV,Mettre à jour avec le nouveau contenu de CSV,CSVからの新しいコンテンツを入れてアップデート,CSV에서 새 콘텐츠로 업데이트,Atualizar com novo conteúdo de CSV,更新 CSV 中的新内容,更新 CSV 中的新内容,使用 CSV 檔案的新內容更新
Studio.LocalizationTools.UploadTable.PatchCloudTableFailed,Localization Tools failed to upload cloud table.,Localization Tools failed to upload cloud table.,Las herramientas de localización no han podido cargar la tabla en la nube.,Les outils de localisation n'ont pas réussi à télécharger les langues prises en charge.,多言語化ツールがクラウドテーブルのアップロードをできませんでした。,로컬리제이션 도구가 클라우드 테이블을 업로드하지 못했습니다.,As ferramentas de localização falharam em fazer o upload da tabela na nuvem.,本地化工具上传云表格失败。,本地化工具上传云表格失败。,本地化工具上船雲端表格失敗。
Studio.LocalizationTools.UploadDialogContent.CancelButton,Cancel,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,取消,取消,取消
Studio.LocalizationTools.CloudTableSection.AdvancedButton,Advanced,Advanced,Avanzado,Avancé,詳細設定,고급,Avançado,高级,高级,進階
Studio.LocalizationTools.CloudTableSection.PublishPlaceMessage,Publish this place to upload a table,Publish this place to upload a table,Publicar este lugar para cargar una tabla,Publier cet emplacement pour télécharger un tableau,テーブルをアップロードするには、このプレースを公開,이 플레이스를 게시하여 테이블 업로드,Publique este local para carregar uma tabela,发布此场景来上传表格,发布此场景来上传表格,發布地點後即可上傳表格
Studio.LocalizationTools.CloudTableSection.SectionLabel,Cloud Localization Table,Cloud Localization Table,Tabla de localización en la nube,Tableau de localisation cloud,クラウド多言語化テーブル,클라우드 로컬리제이션 테이블,Tabela de localização na nuvem,云本地化表格,云本地化表格,雲端本地化表格
Studio.LocalizationTools.UploadDialogContent.PatchEmptyMessage,Patch empty. Upload anyway?,Patch empty. Upload anyway?,Revisión vacía. ¿Quieres seguir cargando?,Patch vide. Télécharger quand même?,パッチが空です。それでもアップロードしますか？,패치가 비어 있습니다. 업로드할까요?,Revisão vazia. Carregar assim mesmo?,空补丁，仍要上传？,空补丁，仍要上传？,此更新檔空白，繼續上傳？
Studio.LocalizationTools.UploadDialogContent.PatchContainsLabel,This patch contains: ,This patch contains: ,Esta revisión contiene: ,Ce patch contient : ,このパッチが含むもの: ,이 패치는 다음을 포함합니다. ,Esta revisão contém: ,此补丁包括：,此补丁包括：,此更新檔包含：
Studio.LocalizationTools.UploadDialogContent.AddTranslationsPretext,Add translations:,Add translations:,Añadir traducciones:,Ajouter des traductions :,翻訳を追加:,번역 추가:,Adicionar traduções:,添加翻译：,添加翻译：,新增翻譯：
Studio.LocalizationTools.UploadDialogContent.DeleteEntriesPretext,Delete entries:,Delete entries:,Eliminar entradas:,Supprimer des entrées :,入力内容を削除:,항목 삭제:,Apagar entradas:,删除条目：,删除条目：,刪除條目：
Studio.LocalizationTools.UploadDialogContent.DeleteTranslationsPretext,Delete translations:,Delete translations:,Eliminar traducciones:,Supprimer des traductions :,翻訳を削除:,번역 삭제:,Apagar traduções:,删除翻译：,删除翻译：,刪除翻譯：
Studio.LocalizationTools.UploadDialogContent.AddLanguagesPretext,Add languages:,Add languages:,Añadir idiomas:,Ajouter des langues :,言語を追加:,언어 추가:,Adicionar idiomas:,添加语言：,添加语言：,新增語言：
Studio.LocalizationTools.DownloadTable.SetEntriesFailed,Internal error.,Internal error.,Error interno.,Erreur interne.,内部エラーです。,내부 오류입니다.,Erro interno.,内部错误。,内部错误。,內部錯誤。
Studio.LocalizationTools.UploadDialogContent.PatchTotalRowsLabel,Total rows:,Total rows:,Filas totales:,Total de lignes :,行数の合計:,전체 행:,Total de linhas:,总条数：,总条数：,總列數：
