Key,en-us
Studio.MaterialManager.Callout.MaterialManagerApplyDescription,Click here to apply the selected material to the selected parts
Studio.MaterialManager.Categories.Asphalt,Asphalt
Studio.MaterialManager.Categories.Concrete,Concrete
Studio.MaterialManager.Categories.Dirt,Dirt
Studio.MaterialManager.Categories.Fabric,Fabric
Studio.MaterialManager.Categories.FinishedWood,Finished Wood
Studio.MaterialManager.Categories.Glacier,Glacier
Studio.MaterialManager.Categories.Grass,Grass
Studio.MaterialManager.Categories.Ground,Ground
Studio.MaterialManager.Categories.Materials,Materials
Studio.MaterialManager.Categories.Metal,Metal
Studio.MaterialManager.Categories.Mineral,Mineral
Studio.MaterialManager.Categories.Mud,Mud
Studio.MaterialManager.Categories.Natural,Natural
Studio.MaterialManager.Categories.Organic,Organic
Studio.MaterialManager.Categories.Plastic,Plastic
Studio.MaterialManager.Categories.Rock,Rock
Studio.MaterialManager.Categories.Sand,Sand
Studio.MaterialManager.Categories.Snow,Snow
Studio.MaterialManager.Categories.Special,Special
Studio.MaterialManager.Categories.Stone,Stone
Studio.MaterialManager.Categories.Synthetic,Synthetic
Studio.MaterialManager.Categories.Translucent,Translucent
Studio.MaterialManager.Categories.Wood,Wood
Studio.MaterialManager.CreateDialog.AdditionalProperties,Additional
Studio.MaterialManager.CreateDialog.BaseMaterialVariant,Base Material
Studio.MaterialManager.CreateDialog.CancelVariant,Cancel
Studio.MaterialManager.CreateDialog.CreateVariant,Create Variant
Studio.MaterialManager.CreateDialog.EditVariant,Edit Variant
Studio.MaterialManager.CreateDialog.ErrorBaseMaterialNotSelected,No Base Material selected
Studio.MaterialManager.CreateDialog.ErrorFindUrl,Failed to find URL
Studio.MaterialManager.CreateDialog.ErrorImportMap,Failed to import Texture Map
Studio.MaterialManager.CreateDialog.ErrorNameExists,Name already exists
Studio.MaterialManager.CreateDialog.ErrorNoName,Name required
Studio.MaterialManager.CreateDialog.ErrorSelectMap,Failed to select Texture Map
Studio.MaterialManager.CreateDialog.ErrorStudsPerTile,Studs Per Tile should be positive
Studio.MaterialManager.CreateDialog.ErrorUploadFromFileMap,Failed to upload Texture Map
Studio.MaterialManager.CreateDialog.ErrorUploadFromFileMapToLarge,Failed to upload: file is too large
Studio.MaterialManager.CreateDialog.FailedToImportMap,Failed to import Texture Map
Studio.MaterialManager.CreateDialog.FailedToUploadFromFileMap,Failed to upload: file is too large
Studio.MaterialManager.CreateDialog.FailedUrl,Failed to find URL
Studio.MaterialManager.CreateDialog.General,General
Studio.MaterialManager.CreateDialog.Import,Import
Studio.MaterialManager.CreateDialog.ImportColorMap,Color
Studio.MaterialManager.CreateDialog.ImportMetalnessMap,Metalness
Studio.MaterialManager.CreateDialog.ImportNormalMap,Normal
Studio.MaterialManager.CreateDialog.ImportRoughnessMap,Roughness
Studio.MaterialManager.CreateDialog.InsertAssetURL,URL
Studio.MaterialManager.CreateDialog.Location,Location
Studio.MaterialManager.CreateDialog.MaterialPatternVariant,Material Pattern
Studio.MaterialManager.CreateDialog.NameVariant,Name
Studio.MaterialManager.CreateDialog.NoImageSelected,No Image Selected
Studio.MaterialManager.CreateDialog.PlaceholderBaseMaterial,Select
Studio.MaterialManager.CreateDialog.SaveVariant,Save
Studio.MaterialManager.CreateDialog.StudsPerTileVariant,Studs Per Tile
Studio.MaterialManager.CreateDialog.TextureMaps,Texture Maps
Studio.MaterialManager.CreateDialog.Uploading,Uploading Texture Map...
Studio.MaterialManager.Import.ColorMapPreview,Color Map Preview
Studio.MaterialManager.Import.MetalnessMapPreview,Metalness Map Preview
Studio.MaterialManager.Import.NormalMapPreview,Normal Map Preview
Studio.MaterialManager.Import.RoughnessMapPreview,Roughness Map Preview
Studio.MaterialManager.MaterialAdditional.Additional,Additional
Studio.MaterialManager.MaterialAdditional.MaterialPattern,Material Pattern
Studio.MaterialManager.MaterialAdditional.StudsPerTile,Studs Per Tile
Studio.MaterialManager.MaterialGeneral.General,General
Studio.MaterialManager.MaterialInformation.ClearOverride,Clear Override
Studio.MaterialManager.MaterialInformation.ClearPartOverride,Clear Part Override
Studio.MaterialManager.MaterialInformation.ClearTerrainOverride,Clear Terrain Override
Studio.MaterialManager.MaterialInformation.CreateVariant,Create Variant
Studio.MaterialManager.MaterialInformation.Delete,Delete
Studio.MaterialManager.MaterialInformation.Edit,Edit
Studio.MaterialManager.MaterialInformation.ResetMaterial,Reset Material
Studio.MaterialManager.MaterialInformation.ResetPartMaterial,Reset Part Material
Studio.MaterialManager.MaterialInformation.ResetTerrainMaterial,Reset Terrain Material
Studio.MaterialManager.MaterialInformation.SetOverride,Set Override
Studio.MaterialManager.MaterialInformation.SetPartOverride,Set Part Override
Studio.MaterialManager.MaterialInformation.SetTerrainOverride,Set Terrain Override
Studio.MaterialManager.MaterialOverrides.MaterialOverride,Material Override
Studio.MaterialManager.MaterialOverrides.MaterialOverrides,Material Overrides
Studio.MaterialManager.MaterialOverrides.None,None
