Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,pt-br
Studio.PathEditor.Plugin.Name,PathEditor,PathEditor,PathEditor, ,PathEditor,PathEditor,PathEditor,PathEditor
Studio.PathEditor.Plugin.Toolbar,PathEditor,PathEditor,PathEditor, ,PathEditor,PathEditor,PathEditor,PathEditor
Studio.PathEditor.Info.DeleteTangent,Delete Tangent,Tangente löschen,Delete Tangent,Eliminar tangente,Supprimer Tangent,Elimina Tangente,タンジェントを削除,Excluir tangente
Studio.PathEditor.Plugin.Text,Example Text!,Beispieltext!,Example Text!, ,Exemple de texte !,Testo di esempio!,テキストの例,Texto de exemplo!
Studio.PathEditor.Plugin.Button,Toggle,Umschalten,Toggle, ,Basculer,Attiva/disattiva,切りかえ,Alternador
Studio.PathEditor.Plugin.Description,Toggles the Template plugin window.,Schaltet das Vorlagen-Plugin-Fenster um.,Toggles the Template plugin window., ,Bascule la fenêtre du plug-in de modèle.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,Alterna a janela do plugin de modelos.
Studio.PathEditor.Info.Delete,Delete,Löschen,Delete,Eliminar,Supprimer,Elimina,削除,Excluir
Studio.PathEditor.Info.DeletePoint,Delete Point,Punkt löschen,Delete Point,Eliminar punto,Supprimer Point,Elimina punto,ポイントを削除,Excluir ponto
Studio.PathEditor.Info.MoveTool,Move Tool,Verschiebungswerkzeug,Move Tool,Herramienta de movimiento,Outil de déplacement,Strumento Sposta,移動ツール,Ferramenta Mover
Studio.PathEditor.Info.AddPointTool,Add Point,Punkt hinzufügen,Add Point,Añadir punto,Ajouter Point,Aggiungi Punto,ポイントを追加,Adicionar ponto
Studio.PathEditor.Info.AddTangentTool,Add Tangent,Tangente hinzufügen,Add Tangent,Añadir tangente,Ajouter Tangent,Aggiungi Tangente,タンジェントを追加,Adicionar tangente
Studio.PathEditor.Info.Done,Done,Fertig,Done,Hecho,Terminé,Fatto,完了,Concluído
