Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PublishPlaceAs.Genre.Adventure,Adventure,Adventure,Aventura,Aventure,Avventura,アドベンチャー,모험,Aventura,Приключения,冒险,冒险,探險
Studio.PublishPlaceAs.General.PublishPlace,Publish Place,Publish Place,Publicar lugar,Publier emplacement,Pubblica località,プレースを公開,플레이스 게시,Publicar locais,Опубликовать место,发布场景,发布场景,發布地點
Studio.PublishPlaceAs.General.PlayabilityPublicDesc,Anyone on Roblox,Anyone on Roblox,Cualquier persona en Roblox,Tout le monde sur Roblox,Chiunque su Roblox,Roblox上の誰でも,Roblox의 누구든 가능,Qualquer pessoa na Roblox, ,Roblox 上的所有玩家,Roblox 上的所有玩家,Roblox 上的所有人
Studio.PublishPlaceAs.General.ContentDialogItem2,Intense Violence,Intense Violence,Violencia intensa,Violence intense,Violenza eccessiva,強烈な暴力,심각한 폭력,Violência intensa,Насилие,激烈暴力,激烈暴力,極度暴力
Studio.PublishPlaceAs.General.ContentDialogTitle,Content Agreement,Content Agreement,Acuerdo de contenido,Accord relatif au contenu,Contratto di licenza per l'uso dei contenuti,コンテンツ契約,콘텐츠 동의,Acordo de conteúdo,Соглашение на использование контента,内容协议,内容协议,內容協議
Studio.PublishPlaceAs.Devices.Tablet,Tablet,Tablet,Tablet,Tablette,Tablet,タブレット,태블릿,Tablet,Планшет,平板电脑,平板电脑,平板電腦
Studio.PublishPlaceAs.General.ContentDialogItem3,Strong Language (Swearing),Strong Language (Swearing),Lenguaje violento (insultos),Langage ordurier (jurons),Linguaggio forte (turpiloqui),過激な表現（暴言）,심한 말(욕설),Linguagem inapropriada (palavrões),Грубые выражения,粗暴语言 (脏话),粗暴语言 (脏话),強烈語言（髒話）
Studio.PublishPlaceAs.General.RolloutOptionForceDesc,All existing servers are forced to shutdown in a few minutes upon publishing so that all players will join the latest version. It equals to publish and 'Shutdown all servers'.,All existing servers are forced to shutdown in a few minutes upon publishing so that all players will join the latest version. It equals to publish and 'Shutdown all servers'.,Todos los servidores existentes se apagarán en unos minutos después de publicar para que todos los jugadores se unan a la última versión. Eso significa publicar y Cerrar todos los servidores.,"Tous les serveurs existants sont fermés de force pendant quelques minutes lors de la publication, afin que tous les joueurs se retrouvent sur la dernière version. Cette action équivaut à publier puis à fermer tous les serveurs.","Tutti i server esistenti subiranno un arresto forzato entro pochi minuti dalla pubblicazione, in modo che tutti i giocatori possano unirsi all'ultima versione. Corrisponde a pubblicare e \"Arresta tutti i server\".",すべての既存のサーバーは公開時に数分でシャットダウンされ、すべてのプレイヤーが最新バージョンに参加できるようになります。 つまり、公開して「すべてのサーバーをシャットダウンする」ことと同じです。,모든 기존 서버는 게시하면 몇 분 후 강제 종료되므로 전체 플레이어가 최신 버전에 참가할 수 있습니다. 이는 게시 및 '모든 서버의 종료'와 같습니다.,"Todos os servidores existentes serão forçados a desligar em alguns minutos ao publicar, para que todos os jogadores entrem na versão mais recente. É igual a publicar e 'Desligar todos os servidores'.", ,所有当前服务器将在发布后的几分钟内强制关闭，所有玩家将加入运行新版本的服务器。此操作等同于“发布并关闭所有服务器”。,所有当前服务器将在发布后的几分钟内强制关闭，所有玩家将加入运行新版本的服务器。此操作等同于“发布并关闭所有服务器”。,所有運行舊版本的伺服器將會在發布後的幾分鐘內強制關閉，所有玩家將會加入運行新版本的伺服器。此操作和「發布並關閉所有伺服器」相同。
Studio.PublishPlaceAs.Button.Retry,Retry,Retry,Reintentar,Réessayer,Riprova,再試行,다시 시도,Tentar novamente,Повтор,重试,重试,重試
Studio.PublishPlaceAs.Button.ReplyDisagree,Disagree,Disagree,Estoy en desacuerdo,Refuser,Non accetto,同意しない,비동의,Discordar,Отклонить,不同意,不同意,不同意
