Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PublishPlaceAs.Genre.Adventure,Adventure,Adventure,Aventura,Aventure,アドベンチャー,모험,Aventura,Приключения,冒险,冒险,探險
Studio.PublishPlaceAs.General.PublishPlace,Publish Place,Publish Place,Publicar lugar,Publier emplacement,プレースを公開,플레이스 게시,Publicar locais,Опубликовать место,发布场景,发布场景,發布地點
Studio.PublishPlaceAs.General.PlayabilityPublicDesc,Anyone on Roblox,Anyone on Roblox,Cualquier persona en Roblox,Tout le monde sur Roblox,Roblox上の誰でも,Roblox의 누구든 가능,Qualquer pessoa na Roblox, ,Roblox 上的所有玩家,Roblox 上的所有玩家,Roblox 上的所有人
Studio.PublishPlaceAs.General.ContentDialogItem2,Intense Violence,Intense Violence,Violencia intensa,Violence intense,強烈な暴力,심각한 폭력,Violência intensa,Насилие,激烈暴力,激烈暴力,極度暴力
Studio.PublishPlaceAs.General.ContentDialogTitle,Content Agreement,Content Agreement,Acuerdo de contenido,Accord relatif au contenu,コンテンツ契約,콘텐츠 동의,Acordo de conteúdo,Соглашение на использование контента,内容协议,内容协议,內容協議
Studio.PublishPlaceAs.Devices.Tablet,Tablet,Tablet,Tablet,Tablette,タブレット,태블릿,Tablet,Планшет,平板电脑,平板电脑,平板電腦
Studio.PublishPlaceAs.General.ContentDialogItem3,Strong Language (Swearing),Strong Language (Swearing),Lenguaje violento (insultos),Langage ordurier (jurons),過激な表現（暴言）,심한 말(욕설),Linguagem inapropriada (palavrões),Грубые выражения,粗暴语言 (脏话),粗暴语言 (脏话),強烈語言（髒話）
Studio.PublishPlaceAs.Button.Retry,Retry,Retry,Reintentar,Réessayer,再試行,다시 시도,Tentar novamente,Повтор,重试,重试,重試
Studio.PublishPlaceAs.Button.ReplyDisagree,Disagree,Disagree,Estoy en desacuerdo,Refuser,同意しない,비동의,Discordar,Отклонить,不同意,不同意,不同意
Studio.PublishPlaceAs.General.ContentDialogHeader,Do you agree that your game is controller compatible and contains NONE of the following?,Do you agree that your game is controller compatible and contains NONE of the following?,¿Estás de acuerdo con que tu juego sea compatible con el mando y no contenga NINGUNO de los siguientes?,Acceptes-tu que ton jeu soit compatible avec une manette et qu'il ne contienne AUCUN des éléments suivants ?,あなたのゲームがコントローラーと互換性があり、以下のどれも含まれていないことに同意しますか。,"게임이 컨트롤러와 호환되도록 지원하며, 다음과 같은 콘텐츠가 포함되어 있지 않아야 합니다. 동의하시나요?",Você concorda que seu jogo é compatível com controles e não contém NENHUM dos seguintes?,"Подтверждаете ли вы, что ваша игра совместима с контроллером и не содержит следующих элементов?",确认游戏可以兼容控制器，并不包含以下内容吗?,确认游戏可以兼容控制器，并不包含以下内容吗?,您同意讓遊戲之原控制器，並不包含以下內容嗎？
Studio.PublishPlaceAs.GroupDropdown.Me,Me,Me,Yo,Moi,自分,나,Eu, ,我,我,我
Studio.PublishPlaceAs.Genre.TownAndCity,Town and City,Town and City,Pueblo y ciudad,Villes,都市開発,마을/도시,Urbano,Симулятор города,城市建设,城市建设,市鎮
Studio.PublishPlaceAs.General.ContentDialogItem1,Blood or Gore,Blood or Gore,Sangre o derramamientos de sangre,Sang et horreur,流血または残虐,피 또는 잔인한 장면,Sangue ou vísceras,Кровь и увечья,血腥,血腥,血腥
Studio.PublishPlaceAs.General.ContentDialogItem5,Drug Reference or Use,Drug Reference or Use,Referencias a drogas o a su uso,Référence à la drogue ou utilisation de drogue,薬物に関する表現や使用,마약 관련 또는 사용,Menção ou uso de drogas,Упоминание или употребление наркотиков,提及或使用毒品,提及或使用毒品,提及或使用藥物
Studio.PublishPlaceAs.Error.DescriptionModerated,The description didn't go through our moderation. Please revise it and try again.,The description didn't go through our moderation. Please revise it and try again.,Se ha moderado la descripción. Modifícala e inténtalo de nuevo.,Cette description n'a pas été approuvée par notre modération. Change-la et réessaie.,この説明は規制対象のため承認されませんでした。修正してから、もう一度お試しください。,설명이 검열을 통과하지 못했어요. 수정한 후 다시 시도하세요.,A descrição foi reprovada pela moderação. Revise-a e tente de novo.,"Описание не прошло модерацию. Пожалуйста, измените его и попробуйте еще раз.",此描述没有通过审核。请修改后再试一次。,此描述没有通过审核。请修改后再试一次。,說明未通過審核，請修改後重新嘗試。
Studio.PublishPlaceAs.Devices.Computer,Computer,Computer,Computadora,Ordinateur,パソコン,컴퓨터,Computador,Компьютер,个人电脑,个人电脑,電腦
Studio.PublishPlaceAs.Devices.Header,Devices,Devices,Dispositivos,Appareil,デバイス,기기,Dispositivos,Устройства,设备,设备,裝置
Studio.PublishPlaceAs.PageTitle.Devices,Devices,Devices,Dispositivos,Appareil,デバイス,기기,Dispositivos,Устройства,设备,设备,裝置
Studio.PublishPlaceAs.PageTitle.Genre,Genre,Genre,Género,Genre,ジャンル,장르,Gênero,Жанр,主题,主题,類別
Studio.PublishPlaceAs.General.ContentDialogItem4,Robux Gambling,Robux Gambling,Apuestas con Robux,Jeu d'argent avec Robux,Robuxギャンブル,Robux 도박,Apostas de Robux,Азартные игры,以 Robux 进行赌博,以 Robux 进行赌博,Robux 賭博
Studio.PublishPlaceAs.General.UntitledGame,Untitled Game,Untitled Game,Juego sin nombre,Jeu sans titre,タイトルがないゲーム,제목 없는 게임,Jogo sem nome, ,未命名游戏,未命名游戏,未命名遊戲
