Key,en-us
Studio.R15Migrator.Plugin.Button,Migrate Avatars
Studio.R15Migrator.Plugin.Description,Tools to migrate avatars to R15
Studio.R15Migrator.Plugin.Name,R15Migrator
Studio.R15Migrator.Plugin.Toolbar,R15Migrator
Studio.R15Migrator.ReplaceRulesPane.ReplacePlaceholder,Replace...
Studio.R15Migrator.ReplaceRulesPane.Title,Replace With
Studio.R15Migrator.ReplaceRulesPane.WithPlaceholder,With...
Studio.R15Migrator.ScriptAnalysis.AnimationWarning,Convert Animation to R15
Studio.R15Migrator.ScriptAnalysis.AnimationWarningCode,Animation Warning
Studio.R15Migrator.ScriptAnalysis.HumanoidWarning,"Humanoid.{name} found, this will return {suggestion}."
Studio.R15Migrator.ScriptAnalysis.R6ScriptWarningCode,R6 Script Warning
Studio.R15Migrator.ScriptAnalysis.ReplaceMessage,"{name} found, possible replacements are: "
Studio.R15Migrator.ScriptConversion.Cancel,Cancel
Studio.R15Migrator.ScriptConversion.Completed,Completed
Studio.R15Migrator.ScriptConversion.Confirm,Confirm
Studio.R15Migrator.ScriptConversion.Filter,Filter
Studio.R15Migrator.ScriptConversion.FilterNone,All
Studio.R15Migrator.ScriptConversion.GoToScript,Go to Script
Studio.R15Migrator.ScriptConversion.InProgress,In Progress
Studio.R15Migrator.ScriptConversion.ReplaceRulesProgress,Replacing with Rules
Studio.R15Migrator.ScriptConversion.ReplaceWith,Replace With {part}
Studio.R15Migrator.ScriptConversion.ReplaceWithRules,Replace With Rules
Studio.R15Migrator.ScriptConversion.RevertAll,Revert All Scripts
Studio.R15Migrator.ScriptConversion.RevertScript,Revert Script
Studio.R15Migrator.ScriptConversion.RevertScripts,Revert Scripts
Studio.R15Migrator.ScriptConversion.RevertWarning,Confirm reverting scripts to initial state? You will lose all of your current changes for the selected scripts.
Studio.R15Migrator.ScriptConversion.Reverted,Reverted
Studio.R15Migrator.ScriptConversion.RevertingScripts,Reverting Scripts
Studio.R15Migrator.ScriptConversion.UndoRevert,Undo Revert
Studio.R15Migrator.Tabs.AnimationConversion,Animation Conversion
Studio.R15Migrator.Tabs.ModelConversion,Model Conversion
Studio.R15Migrator.Tabs.ReplaceRules,Replace Rules
Studio.R15Migrator.Tabs.ScriptConversion,Script Conversion
