Key,Source,en-us,es-es,it-it,ko-kr,pt-br
Studio.RigGenerator.RigPresetLabel.UserAvatar,My Avatar,My Avatar,Mi avatar,Mio Avatar,내 아바타,Meu avatar
Studio.RigGenerator.RigPresetLabel.SkinnedAvatar,Skinned Avatar,Skinned Avatar,Avatar skinned,Avatar Skinned,스키닝된 아바타,Avatar skinned
Studio.RigGenerator.Menu.BodyShape,Body Shape,Body Shape,Forma del cuerpo,Forma Corpo,신체 유형,Forma do corpo
Studio.RigGenerator.Plugin.Button,Generate Rig,Generate Rig,Generar rig,Genera Rig,리그 생성,Gerar rig
Studio.RigGenerator.Plugin.Text,Generate Rig,Generate Rig,Generar rig,Genera Rig,리그 생성,Gerar rig
Studio.RigGenerator.Plugin.Name,Rig Generator,Rig Generator,Generador de rig,Generatore di Rig,리그 생성기,Gerador de rig
Studio.RigGenerator.Plugin.Toolbar,Rig Generator,Rig Generator,Generador de rig,Generatore di Rig,리그 생성기,Gerador de rig
Studio.RigGenerator.Plugin.Description,Generates Avatar Rigs,Generates Avatar Rigs,Genera rigs de avatar,Genera Avatar Rigs,아바타 리그 생성,Gera rigs de avatar
Studio.RigGenerator.Menu.RigType,Rig Type,Rig Type,Tipo de rig,Tipo di Rig,리그 유형,Tipo de rig
Studio.RigGenerator.BodyShape.Feminine,Feminine,Feminine,Feminina,Femminile,여성,Feminino
Studio.RigGenerator.BodyShape.Masculine,Masculine,Masculine,Masculina,Maschile,남성,Masculino
Studio.RigGenerator.RigPresetLabel.RthroAvatar,Rthro Avatar,Rthro Avatar,Avatar Rthro,Avatar Rthro,Rthro 아바타,Avatar rthro
Studio.RigGenerator.RigPresetLabel.BlockAvatar,Block Avatar,Block Avatar,Avatar de malla (2016),Avatar blocco,블록 아바타,Avatar de bloco
Studio.RigGenerator.RigPresetLabel.2016Avatar,Mesh Avatar (2016),Mesh Avatar (2016),Avatar de malla (2016),Avatar Mesh (2016),메시 아바타(2016),Avatar de malha (2016)
Studio.RigGenerator.RigPresetLabel.2012Avatar,Mesh Avatar (2012),Mesh Avatar (2012),Avatar de malla (2012),Avatar Mesh (2012),메시 아바타(2012),Avatar de malha (2012)
