Key,en-us
Studio.RobloxClassic.ClassicComponents.Active,Active
Studio.RobloxClassic.InsertComponents.AlreadyExist,RobloxClassic: script already exists! Skipping all script insertion
Studio.RobloxClassic.InsertComponents.NoStarter,RobloxClassic: can't find StarterCharacterScripts!
Studio.RobloxClassic.Plugin.Apply,Apply
Studio.RobloxClassic.Plugin.Button,Roblox Classic
Studio.RobloxClassic.Plugin.Description,Tools to create Roblox Classic experiences
Studio.RobloxClassic.Plugin.Name,Roblox Classic
Studio.RobloxClassic.Plugin.RobloxClassicComponents,Roblox Classic Components
Studio.RobloxClassic.Plugin.Toolbar,Roblox Classic
Studio.RobloxClassic.RemoveComponents.NoStarter,RobloxClassic: can't find StarterCharacterScripts!
Studio.RobloxClassic.RemoveComponents.NotExist,RobloxClassic: scripts do not exist! Skipping script removal
