Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br
Studio.StreamingServiceDispatcherRegistry.Plugin.Name,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry
Studio.StreamingServiceDispatcherRegistry.Plugin.Toolbar,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry
Studio.StreamingServiceDispatcherRegistry.Plugin.Button,Toggle,Toggle,Alternar,Activer/désactiver,切り換え,전환,Alternar
Studio.StreamingServiceDispatcherRegistry.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.,Alterna la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,テンプレートのプラグインウィンドウを切り換え。,템플릿 플러그인 창을 전환합니다.,Alterna a janela do plugin de modelos.
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostOne,Something isn't working. Try checking your internet connection.,Something isn't working. Try checking your internet connection., , , , , 
Studio.StreamingServiceDispatcherRegistry.Plugin.Text,Example Text!,Example Text!,Texto de ejemplo,Exemple de texte !,テキストの例！,예시 텍스트!,Texto de exemplo!
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostTwo,"Hmm, something isn't right. Check your internet connection?","Hmm, something isn't right. Check your internet connection?", , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorTwo,"Sorry, you've reached your messaging limit today. I'll be ready to help tomorrow!","Sorry, you've reached your messaging limit today. I'll be ready to help tomorrow!", , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorOne,"I wish I could help more today. I'm still in Beta, so everyone gets a daily limit of messages.","I wish I could help more today. I'm still in Beta, so everyone gets a daily limit of messages.", , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorThree,You've reached your daily limit for this Beta feature. Come back tomorrow!,You've reached your daily limit for this Beta feature. Come back tomorrow!, , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestTwo1,Try asking me something else. All requests need to follow Roblox Community Standards: {url},Try asking me something else. All requests need to follow Roblox Community Standards: {url}, , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestOne1,I can only help with requests that follow Roblox Community Standards: {url},I can only help with requests that follow Roblox Community Standards: {url}, , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ServersAtMaxCapacity,Reached maximum capacity. Please try again later.,Reached maximum capacity. Please try again later., , , , , 
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.GeneralError,Internal server error. Please try again later.,Internal server error. Please try again later., , , , , 
