Key,en-us
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.Description,Creating variants of {baseMaterial} described as '{description}' and has a {materialPattern} pattern.
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.FailedToCreateMaterial,Failed to create a new material. Error: 
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.FailedToCreateMaterialImprovedError,Failed to create the material. Please try again.
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostOne,Something isn't working. Try checking your internet connection.
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostTwo,"Hmm, something isn't right. Check your internet connection?"
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.GeneralError,Internal server error. Please try again later.
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestOne1,I can only help with requests that follow Roblox Community Standards: {url}
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestTwo1,Try asking me something else. All requests need to follow Roblox Community Standards: {url}
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorOne,"I wish I could help more today. I'm still in Beta, so everyone gets a daily limit of messages."
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorThree,You've reached your daily limit for this Beta feature. Come back tomorrow!
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorTwo,"Sorry, you've reached your messaging limit today. I'll be ready to help tomorrow!"
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ServersAtMaxCapacity,Reached maximum capacity. Please try again later.
Studio.StreamingServiceDispatcherRegistry.Message.AuthoredBy,{asset} by {creator}
Studio.StreamingServiceDispatcherRegistry.Plugin.Button,Toggle
Studio.StreamingServiceDispatcherRegistry.Plugin.Description,Toggles the Template plugin window.
Studio.StreamingServiceDispatcherRegistry.Plugin.Name,StreamingServiceDispatcherRegistry
Studio.StreamingServiceDispatcherRegistry.Plugin.Text,Example Text!
Studio.StreamingServiceDispatcherRegistry.Plugin.Toolbar,StreamingServiceDispatcherRegistry
