Key,Source,en-us
Studio.TagEditor.Info.AlwaysOnTop,Always on top,Always on top
Studio.TagEditor.Tooltip.EndGroupAssignment,Stop editing group membership,Stop editing group membership
Studio.TagEditor.Plugin.Name,TagEditor,TagEditor
Studio.TagEditor.Plugin.Toolbar,TagEditor,TagEditor
Studio.TagEditor.Plugin.Button,Toggle,Toggle
Studio.TagEditor.Tooltip.ApplyTag,Apply this tag to all selected Instances,Apply this tag to all selected Instances
Studio.TagEditor.Groups.NewGroup,New Group,New Group
Studio.TagEditor.ColorPicker.Hex,Hex,Hex
Studio.TagEditor.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.
Studio.TagEditor.Info.SelectTaggedInstances,Select Tagged Instances,Select Tagged Instances
Studio.TagEditor.Info.SelectedColor,Selected Color:,Selected Color:
Studio.TagEditor.General.Cancel,Cancel,Cancel
Studio.TagEditor.Info.SelectInExplorer,Select In Explorer,Select In Explorer
Studio.TagEditor.Tooltip.ToggleVisibility,Toggle Visibility,Toggle Visibility
Studio.TagEditor.Groups.None,None,None
Studio.TagEditor.VisualizeOptions.Sphere,Sphere,Sphere
Studio.TagEditor.Info.Color,Color,Color
Studio.TagEditor.Info.Group,Group,Group
Studio.TagEditor.Info.Icon,Icon,Icon
Studio.TagEditor.VisualizeOptions.Icon,Icon,Icon
Studio.TagEditor.Info.VisualizeAs,Visualize as,Visualize as
Studio.TagEditor.General.Save,Save,Save
Studio.TagEditor.Plugin.EditorWindowButton,Tag Editor Window,Tag Editor Window
Studio.TagEditor.Tooltip.RegisterTag,Register this tag,Register this tag
Studio.TagEditor.Info.TagSettings,Tag Settings,Tag Settings
Studio.TagEditor.Plugin.EditorWindowDescription,Toggles the Tag Editor Window.,Toggles the Tag Editor Window.
Studio.TagEditor.Plugin.WorldViewButton,World Visualization,World Visualization
Studio.TagEditor.Plugin.WorldViewDescription,Toggles the world view visualization of tags.,Toggles the world view visualization of tags.
Studio.TagEditor.Tooltip.StartGroupAssignment,Edit group membership,Edit group membership
Studio.TagEditor.Tooltip.AlwaysOnTop,If checked the visual for this tag will draw above everything else.,If checked the visual for this tag will draw above everything else.
Studio.TagEditor.Info.ColorPickerTitle,Changing Color for: ,Changing Color for: 
Studio.TagEditor.Tooltip.ColorPicker,Change the visualization color for this tag.,Change the visualization color for this tag.
Studio.TagEditor.Info.CreateNewTag,Create a new tag...,Create a new tag...
Studio.TagEditor.Tooltip.GroupPicker,Change the group this tag belongs to.,Change the group this tag belongs to.
Studio.TagEditor.Tooltip.IconPicker,The change the icon that shows within the tag editor and the icon draw type,The change the icon that shows within the tag editor and the icon draw type
Studio.TagEditor.Tooltip.SelectInExplorer,Select all instances with this tag in the explorer.,Select all instances with this tag in the explorer.
Studio.TagEditor.Tooltip.SelectTaggedInstances,Select all instances with this tag in the explorer.,Select all instances with this tag in the explorer.
Studio.TagEditor.Tooltip.NewGroupDisabled,Select a tag first to make a new group,Select a tag first to make a new group
Studio.TagEditor.Tooltip.VisualizeAs,The type of visual to draw when toggled for this tag.,The type of visual to draw when toggled for this tag.
Studio.TagEditor.VisualizeOptions.Text,Text,Text
Studio.TagEditor.Tooltip.AssignToGroup,Assign to group,Assign to group
Studio.TagEditor.Tooltip.UnassignFromGroup,Unassign from group,Unassign from group
Studio.TagEditor.Tooltip.RemoveTag,Remove this tag from all selected instances,Remove this tag from all selected instances
Studio.TagEditor.ColorPicker.SelectedColor,SelectedColor:,SelectedColor:
Studio.TagEditor.Tooltip.NewGroupEnabled,New group with selected tag,New group with selected tag
Studio.TagEditor.ColorPicker.HSV,HSV,HSV
Studio.TagEditor.Groups.UnknownTags,Unknown Tags,Unknown Tags
Studio.TagEditor.VisualizeOptions.Box,Box,Box
Studio.TagEditor.VisualizeOptions.Outline,Outline,Outline
Studio.TagEditor.Info.SettingsForTag,Settings for:,Settings for:
Studio.TagEditor.ColorPicker.RGB,RGB,RGB
Studio.TagEditor.ColorPicker.ChangingColorForTag,Changing Color for Tag:,Changing Color for Tag:
