Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.TerrainEditor.Generate.BiomeSizeMassive,Massive (500),Riesig (500),Massive (500),Masivo (500),Énorme (500),Gigante (500),特大 (500),특대형(500),Enorme (500),Очень большой (500),巨大 (500),巨大 (500),巨大 (500)
Studio.TerrainEditor.BaseTool.BrushPaint,Paint,Bemalen,Paint,Pintar,Peindre,Disegna,ペイント,칠하기,Pintar, ,涂画,涂画,上色
Studio.TerrainEditor.BaseTool.Paint,Paint,Bemalen,Paint,Pintar,Peindre,Dipingi,ペイント,칠하기,Pintar, ,涂画,涂画,上色
Studio.TerrainEditor.MainButtons.Paint,Paint,Bemalen,Paint,Pintar,Peindre,Dipingi,ペイント,칠하기,Pintar,Раскрасить,绘制,绘制,上色
Studio.TerrainEditor.MaterialMode.Paint,Paint,Bemalen,Paint,Pintar,Peindre, ,ペイント,칠하기,Pintar, ,涂画,涂画,上色
Studio.TerrainEditor.MaterialSettings.Paint,Paint,Bemalen,Paint,Pintar,Peindre, ,ペイント,칠하기,Pintar, ,涂画,涂画,上色
Studio.TerrainEditor.BrushSettings.ManualPlaneLock,Edit Plane,Ebene bearbeiten,Edit Plane,Editar plano,Modifier plan, ,平面を編集,평면 편집,Editar plano, ,编辑平面,编辑平面,編輯平面
Studio.TerrainEditor.PluginActions.EditPlaneText,Edit Plane,Ebene bearbeiten,Edit Plane,Editar plano,Modifier plan, ,平面を編集,평면 편집,Editar plano, ,编辑平面,编辑平面,編輯平面
Studio.TerrainEditor.Biomes.Hills,Hills,Hügel,Hills,Colinas,Collines, ,丘,언덕,Colinas, ,丘陵,丘陵,山丘
Studio.TerrainEditor.Generate.BiomeHills,Hills,Hügel,Hills,Colinas,Collines,Colline,丘,언덕,Colinas,Холмы,丘陵,丘陵,山丘
Studio.TerrainEditor.MainButtons.GrowTooltip,Click and hold to grow and expand terrain.,Klicken und gedrückt halten zum Erhöhen und Erweitern von Gelände.,Click and hold to grow and expand terrain.,Haz clic y mantén presionado para aumentar o expandir el terreno.,Cliquer et maintenir pour augmenter et étendre le terrain.,Clicca e tieni premuto per ingrandire ed espandere il terreno.,クリックして長押しで地形を大きくして広げる。,길게 클릭해 지형을 높이고 확장합니다.,Clique e mantenha pressionado para aumentar e expandir o terreno.,"Удерживайте кнопку мыши, чтобы нарастить и расширить рельеф.",单击并按住以增长和扩大地形。,单击并按住以增长和扩大地形。,按住即可生長地形。
Studio.TerrainEditor.Dialog.Cancel,Cancel,Abbrechen,Cancel,Cancelar,Annuler, ,キャンセル,취소,Cancelar, ,取消,取消,取消
Studio.TerrainEditor.PluginActions.CancelText,Cancel,Abbrechen,Cancel,Cancelar,Annuler, ,キャンセル,취소,Cancelar, ,取消,取消,取消
Studio.TerrainEditor.Main.Title,Terrain Editor,Gelände-Editor,Terrain Editor,Editor de terreno,Éditeur de terrain,Editor di terreno,地形エディタ,지형 편집기,Editor de terreno,Редактор рельефа,地形编辑器,地形编辑器,地形編輯器
Studio.TerrainEditor.Plugin.Name,Terrain Editor,Gelände-Editor,Terrain Editor,Editor de terreno,Éditeur de terrain,Editor Terreno,地形エディタ,지형 편집기,Editor de terreno, ,地形编辑器,地形编辑器,地形編輯器
Studio.TerrainEditor.Plugin.Toolbar,Terrain Editor,Gelände-Editor,Terrain Editor,Editor de terreno,Éditeur de terrain,Editor Terreno,地形エディタ,지형 편집기,Editor de terreno, ,地形编辑器,地形编辑器,地形編輯器
Studio.TerrainEditor.Biomes.Water,Water,Wasser,Water,Agua,Eau, ,水,물,Água, ,水,水,水
Studio.TerrainEditor.Generate.BiomeWater,Water,Wasser,Water,Agua,Eau,Acqua,水,물,Água,Вода,水域,水域,水域
Studio.TerrainEditor.Materials.Water,Water,Wasser,Water,Agua,Eau,Acqua,水,물,Água,Вода,水域,水域,水域
Studio.TerrainEditor.Image.Dimensions,Dimensions,Dimensionen,Dimensions,Dimensiones,Dimensions, ,寸法,크기,Dimensões, ,尺寸,尺寸,尺寸
Studio.TerrainEditor.Materials.ForceField,Force Field,Kraftfeld,Force Field,Campo de fuerza,Champ de force, ,フォースフィールド,역장,Campo de força, ,力场,力场,力場
Studio.TerrainEditor.Main.Tooltip,"Add, remove, and modify terrain","Gelände hinzufügen, entfernen und bearbeiten","Add, remove, and modify terrain","Añade, elimina y modifica el terreno","Ajouter, supprimer et modifier le terrain","Aggiungi, rimuovi e modifica terreno",地形の削除、追加、変更,"지형 추가, 제거, 수정","Adicione, remova e modifique o terreno","Добавляйте, удаляйте и изменяйте рельеф",添加、删除和修改地形,添加、删除和修改地形,新增、移除及修改地形
Studio.TerrainEditor.MainButtons.Erode,Erode,Vertiefen,Erode,Erosionar,Éroder,Erodi,削る,낮추기,Erodir,Эрозия,侵蚀,侵蚀,侵蝕
Studio.TerrainEditor.Main.ToolbarButton,Editor,Editor,Editor,Editor,Éditeur,Editor,エディタ,편집기,Editor,Редактор,编辑器,编辑器,編輯器
Studio.TerrainEditor.Materials.Brick,Brick,Baustein,Brick,Ladrillo,Brique,Mattone,レンガ,벽돌,Tijolo,Кирпич,砖块,砖块,磚塊
Studio.TerrainEditor.BrushSettings.PivotPosition,Pivot Position,Drehpunktposition,Pivot Position,Posición del pivote,Position du pivot,Posizione pivot,ピボット位置,피벗 위치,Girar posição, ,枢轴位置,枢轴位置,軸點位置
Studio.TerrainEditor.EditorEnum.PivotPosition,Pivot Position,Drehpunktposition,Pivot Position,Posición del pivote,Position du pivot,Posizione pivot,ピボット位置,피벗 위치,Girar posição, ,枢轴位置,枢轴位置,軸點位置
Studio.TerrainEditor.MainButtons.Grow,Grow,Erhöhen,Grow,Aumentar,Augmenter,Ingrandisci,大きく,높이기,Aumentar,Нарастить,增长,增长,生長
