Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.TerrainToolsV2.Materials.Sand,Sand,Sand,Arena,Sable,砂,모래,Areia,Песок,沙,沙,沙
Studio.TerrainToolsV2.Action.Play,Play,Play,Jugar,Jouer,プレイ,플레이,Jogar,Воспроизвести,开始游戏,开始游戏,開始
Studio.TerrainToolsV2.Action.File,File,File,Archivo,Classer,ファイル,파일,Arquivo,Файл,文件,文件,檔案
Studio.TerrainToolsV2.Action.Cut,Cut,Cut,Cortar,Couper,切り抜き,잘라내기,Cortar,Вырезать,剪切,剪切,剪下
Studio.TerrainToolsV2.Tab.Build,Build,Build,Construir,Construire,作成,건설,Construir,Построить,建造,建造,建造
Studio.TerrainToolsV2.BrushSettings.FixedPlane,Fixed Plane,Fixed Plane,Plano fijo,Plan fixe,固定平面,고정된 평면,Plano fixo,Фиксация поверхности,固定平面,固定平面,固定平面
Studio.TerrainToolsV2.MainButtons.ErodeTooltip,Click and hold to erode and remove terrain.,Click and hold to erode and remove terrain.,Haz clic y mantén presionado para erosionar o eliminar el terreno.,Cliquer et tenir enfoncé pour éroder et retirer du terrain.,クリックして長押して地形を平らにしたり削除する。,길게 클릭해 지형을 낮추고 제거합니다.,Clique e mantenha pressionado para erodir e remover o terreno.,"Удерживайте кнопку мыши, чтобы удалить часть рельефа.",单击并按住以侵蚀和移除地形。,单击并按住以侵蚀和移除地形。,按住即可侵蝕並移除地形。
Studio.TerrainToolsV2.Action.Replace,Replace,Replace,Reemplazar,Remplacer,置き換え,바꾸기,Substituir,Заменить,替换,替换,取代
Studio.TerrainToolsV2.Replace.Replace,Replace,Replace,Reemplazar,Remplacer,置き換え,바꾸기,Substituir, ,替换,替换,取代
Studio.TerrainToolsV2.ToolName.Replace,Replace,Replace,Reemplazar,Remplacer,置き換え,바꾸기,Substituir, ,替换,替换,取代
Studio.TerrainToolsV2.Action.Ignore,Ignore,Ignore,Ignorar,Ignorer,無視,무시,Ignorar,Пропустить,忽略,忽略,忽略
Studio.TerrainToolsV2.Action.Close,Close,Close,Cerrar,Fermer,閉じる,닫기,Fechar,Закрыть,关闭,关闭,關閉
Studio.TerrainToolsV2.Generate.BiomeHills,Hills,Hills,Colinas,Collines,丘,언덕,Colinas,Холмы,丘陵,丘陵,山丘
Studio.TerrainToolsV2.BrushSettings.Advanced,Advanced,Advanced,Avanzado,Avancé,詳細設定,고급,Avançado,Расширенные настройки,高级,高级,進階
Studio.TerrainToolsV2.Action.Apply,Apply,Apply,Aplicar,Appliquer,適用,적용,Aplicar,Применить,应用,应用,套用
Studio.TerrainToolsV2.Main.Title,Terrain Editor,Terrain Editor,Editor de terreno,Éditeur terrain,地形エディタ,지형 편집기,Editor de terreno,Редактор рельефа,地形编辑器,地形编辑器,地形編輯器
Studio.TerrainToolsV2.Action.Cancel,Cancel,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.TerrainToolsV2.Generate.MapSize,Map Size,Map Size,Tamaño del mapa,Taille de la carte,マップサイズ,맵 크기,Tamanho do mapa,Размер карты,地图大小,地图大小,地圖大小
Studio.TerrainToolsV2.Action.Clear,Clear,Clear,Borrar,Enlever,消す,지우기,Limpar,Очистить,清除,清除,清除
Studio.TerrainToolsV2.ToolName.Clear,Clear,Clear,Borrar,Vider,消す,지우기,Limpar,Очистить,清除,清除,清除
Studio.TerrainToolsV2.Action.Back,Back,Back,Volver,Retour,戻る,뒤로,Voltar,Назад,返回,返回,返回
Studio.TerrainToolsV2.Action.Continue,Continue,Continue,Continuar,Continuer,続ける,계속,Continuar,Продолжить,继续,继续,繼續
Studio.TerrainToolsV2.Warning.InvalidPosition,Position has invalid input.,Position has invalid input.,La posición tiene una entrada no válida.,La position a une entrée non valide.,位置の入力内容が無効です。,유효하지 않은 위치를 입력했습니다.,A posição tem uma entrada inválida.,Введено неверное положение.,位置输入无效。,位置输入无效。,位置無效。
Studio.TerrainToolsV2.Action.Remove,Remove,Remove,Eliminar,Retirer,削除,제거,Remover,Удалить,移除,移除,移除
Studio.TerrainToolsV2.Generate.GenerationFinished,Generation finished: {1} seconds,Generation finished: {1} seconds,Generación completada: {1} segundos,Génération terminée : {1} secondes,生成終了: {1} 秒,생성 완료: {1}초,Geração terminada: {1} segundos,Создание завершено: {1} сек.,生成完成：用时 {1} 秒,生成完成：用时 {1} 秒,生成完成：{1} 秒
Studio.TerrainToolsV2.Action.Create,Create,Create,Crear,Créer,作成,만들기,Criar,Создать,创建,创建,建立
Studio.TerrainToolsV2.SeaLevel.Create,Create,Create,Crear,Créer,作成,만들기,Criar,Создать,创建,创建,建立
Studio.TerrainToolsV2.Tab.Create,Create,Create,Crear,Créer,作成,만들기,Criar,Создать,创建,创建,建立
Studio.TerrainToolsV2.MaterialSettings.ChooseMaterial,Choose a material to apply,Choose a material to apply,Escoge un material para usarlo,Choisir un matériel à appliquer,適用する素材を選ぶ,적용할 재질을 선택하세요,Escolha um material para aplicar,Выберите материал,选择要应用的材质,选择要应用的材质,選擇要套用的材質
Studio.TerrainToolsV2.Action.New,New,New,Nuevo,Nouveau,新着,새로 만들기,Novo,Создать,新增,新增,新增
Studio.TerrainToolsV2.Action.Edit,Edit,Edit,Editar,Modifier,編集,편집,Editar,Изменить,编辑,编辑,編輯
Studio.TerrainToolsV2.Tab.Edit,Edit,Edit,Editar,Modifier,編集,편집,Editar,Изменить,编辑,编辑,編輯
Studio.TerrainToolsV2.Action.Exit,Exit,Exit,Salir,Sortir,退出,나가기,Sair,Выход,退出,退出,退出
Studio.TerrainToolsV2.ToolName.Grow,Grow,Grow,Aumentar,Pousser,大きく,높이기,Aumentar,Нарастить,增长,增长,生長
Studio.TerrainToolsV2.BrushSettings.PivotPosition,Pivot Position,Pivot Position,Posición del pivote,Position pivot,ピボット位置,피벗 위치,Posição dinâmica,Положение точки поворота,锚点位置,锚点位置,軸點位置
Studio.TerrainToolsV2.Action.Find,Find,Find,Buscar,Trouver,探す,찾기,Localizar,Найти,查找,查找,尋找
Studio.TerrainToolsV2.BrushSettings.Shape,Shape,Shape,Forma,Forme,形状,모양,Forma,Форма,形状,形状,形狀
Studio.TerrainToolsV2.Action.Goto,Goto,Goto,Ir a,Aller,別ページに移動,이동,Ir para,Перейти,前往,前往,前往
Studio.TerrainToolsV2.Action.No,No,No,No,Non,いいえ,아니요,Não,Нет,否,否,否
Studio.TerrainToolsV2.Confirmation.No,No,No,No,Non,いいえ,아니요,Não,Нет,否,否,否
Studio.TerrainToolsV2.Action.Help,Help,Help,Ayuda,Aide,ヘルプ,도움말,Ajuda,Справка,帮助,帮助,說明
Studio.TerrainToolsV2.BrushSettings.SnapToGrid,Snap to Grid,Snap to Grid,Ajustar a la cuadrícula,Adhérer à la grille,グリッドに装着,그리드에 맞추기,Prender à grade,Привязать к сетке,对齐至栅格,对齐至栅格,貼齊到網格
Studio.TerrainToolsV2.Action.Home,Home,Home,Inicio,Accueil,ホーム,홈,Início,Главная,首页,首页,首頁
Studio.TerrainToolsV2.BrushSettings.PlaneLock,Plane Lock,Plane Lock,Bloquear plano,Plan de verrouillage,平面ロック,평면 고정,Bloquear plano,Блокировка поверхности,平面锁定,平面锁定,鎖定平面
Studio.TerrainToolsV2.ToolName.Paste,Paste,Paste,Pegar,Coller,貼り付け,붙여넣기,Colar,Вставить,粘贴,粘贴,貼上
Studio.TerrainToolsV2.Action.Insert,Insert,Insert,Insertar,Insérer,挿入,삽입,Inserir,Вставить,插入,插入,插入
Studio.TerrainToolsV2.Action.Next,Next,Next,Siguiente,Suivant,次へ,다음,Próximo,Далее,下一个,下一个,下一個
