Key,Source,Context,en-us
Studio.Toolbox.General.FooterBGText,Background:, ,Background:
Studio.Toolbox.Audio.SoundEffect.Category.Stream,Stream, ,Stream
Studio.Toolbox.Common.Submit,Submit, ,Submit
Studio.Toolbox.Audio.SoundEffect.Category.Engine knocking,Engine knocking, ,Engine knocking
"Studio.Toolbox.Audio.SoundEffect.Category.Walk, footsteps","Walk, footsteps", ,"Walk, footsteps"
Studio.Toolbox.Common.Close,Close, ,Close
Studio.Toolbox.Common.Install,Install, ,Install
Studio.Toolbox.Audio.SoundEffect.Category.Clickety-clack,Clickety-clack, ,Clickety-clack
Studio.Toolbox.General.CategoryRecentFonts,Recent Fonts, ,Recent Fonts
Studio.Toolbox.Audio.SoundEffect.Category.Fire alarm,Fire alarm, ,Fire alarm
Studio.Toolbox.Audio.SoundEffect.Category.Orchestra,Orchestra, ,Orchestra
Studio.Toolbox.AssetConfigCopy.MustShare,Must share with anyone on Roblox, ,Must share with anyone on Roblox
Studio.Toolbox.Common.Insert,Insert, ,Insert
"Studio.Toolbox.Audio.SoundEffect.Category.Bee, wasp, etc.","Bee, wasp, etc.", ,"Bee, wasp, etc."
Studio.Toolbox.AssetConfigFooter.UploadWithFee,Submit for,{price:int} Robux, 
Submit for,{price:int} Robux,Studio.Toolbox.General.FooterButtonWhiteName,White
 ,White,Studio.Toolbox.General.CategoryRecentVideos,Recent Videos
 ,Recent Videos,Studio.Toolbox.AudioView.Name,Name
 ,Name,Studio.Toolbox.General.CategoryGroupDecals,Group Images
 ,Group Images,Studio.Toolbox.Audio.SoundEffect.Category.Arrow,Arrow
 ,Arrow,Studio.Toolbox.Common.InsertAborted,Not inserting asset {assetId} because it is invalid.
 ,Not inserting asset {assetId} because it is invalid.,Studio.Toolbox.General.AllModels,AllModels
 ,All Models,Studio.Toolbox.General.CategoryMyModels,My Models
 ,My Models,Studio.Toolbox.Audio.SoundEffect.Category.Sewing machine,Sewing machine
 ,Sewing machine,Studio.Toolbox.Audio.SoundEffect.Category.Grunge,Grunge
 ,Grunge,Studio.Toolbox.Audio.Music.Genre.electronic,Electronic
 ,Electronic,Studio.Toolbox.Common.Loading,Loading
 ,Loading,Studio.Toolbox.AssetConfigSharing.OnlyMe,Only me
 ,Only me,Studio.Toolbox.General.CategoryRecentAudio,Recent Audio
 ,Recent Audio,Studio.Toolbox.General.DistributeOnMarketplace,Distribute on Marketplace
 ,Distribute on Marketplace,Studio.Toolbox.Audio.Music.Genre.rock,Rock
 ,Rock,Studio.Toolbox.Audio.SoundEffect.Category.Choir,Choir
 ,Choir,Studio.Toolbox.Common.Update,Update
 ,Update,Studio.Toolbox.General.CategoryRecentDecals,Recent Images
 ,Recent Images,Studio.Toolbox.General.SuggestionsWeapon,Weapon
 ,Weapon,Studio.Toolbox.Audio.SoundEffect.Category.Filing (rasp),Filing (rasp)
 ,Filing (rasp),Studio.Toolbox.Audio.SoundEffect.Category.mammals,Mammals
 ,Mammals,Studio.Toolbox.AudioView.Subcategory,Subcategory
 ,Subcategory,Studio.Toolbox.Common.Installed,Installed
 ,Installed,Studio.Toolbox.Audio.SoundEffect.Category.Car,Car
 ,Car,Studio.Toolbox.Suggestion.MoreFromCreator,More from {creatorName}
 ,More from {creatorName},Studio.Toolbox.Purchase.BuyPrompt,Would you like to buy "{name}" from {creator} for {robux:int} Robux?
 ,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,Studio.Toolbox.Common.OK,OK
 ,OK,Studio.Toolbox.Audio.SoundEffect.Category.Blender,Blender
