Key,Source,en-us
Studio.Toolbox.General.FooterBGText,Background:,Background:
Studio.Toolbox.Common.Submit,Submit,Submit
Studio.Toolbox.ScriptWarning.DetailText,{assetName} includes {numScripts:int} script(s).,{assetName} includes {numScripts:int} script(s).
Studio.Toolbox.General.CategoryCreationsHats,Hats,Hats
Studio.Toolbox.General.SearchResults,Search Results,Search Results
Studio.Toolbox.AssetConfigCopy.AccountSetting,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.","In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings."
Studio.Toolbox.General.CategoryEndorsedPlugins,EndorsedPlugins,EndorsedPlugins
Studio.Toolbox.Common.Close,Close,Close
Studio.Toolbox.Common.Install,Install,Install
Studio.Toolbox.AssetConfigCopy.MustShare,Must share with anyone on Roblox,Must share with anyone on Roblox
Studio.Toolbox.Common.Insert,Insert,Insert
Studio.Toolbox.General.CategoryRecentVideos,Recent Videos,Recent Videos
Studio.Toolbox.AssetConfigFooter.UploadWithFee,Submit for,{price:int} Robux
Submit for,{price:int} Robux,Studio.Toolbox.General.FooterButtonWhiteName
White,White,Studio.Toolbox.General.CategoryGroupDecals
Group Images,Group Images,Studio.Toolbox.Common.InsertAborted
Not inserting asset {assetId} because it is invalid.,Not inserting asset {assetId} because it is invalid.,Studio.Toolbox.General.AllModels
AllModels,All Models,Studio.Toolbox.General.Ownership
Creator,Creator,Studio.Toolbox.General.SearchOptionCreator
Creator,Creator,Studio.Toolbox.General.CategoryMyModels
My Models,My Models,Studio.Toolbox.AssetConfigSharing.OnlyMe
Only me,Only me,Studio.Toolbox.Common.Loading
Loading,Loading,Studio.Toolbox.General.DistributeOnMarketplace
Distribute on Marketplace,Distribute on Marketplace,Studio.Toolbox.General.CategoryRecentAudio
Recent Audio,Recent Audio,Studio.Toolbox.Common.Update
Update,Update,Studio.Toolbox.General.CategoryRecentDecals
Recent Images,Recent Images,Studio.Toolbox.General.SuggestionsWeapon
Weapon,Weapon,Studio.Toolbox.Common.Installed
Installed,Installed,Studio.Toolbox.Purchase.BuyPrompt
Would you like to buy "{name}" from {creator} for {robux:int} Robux?,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,Studio.Toolbox.Common.OK
OK,OK,Studio.Toolbox.General.SuggestionsLight
Light,Light,Studio.Toolbox.AssetConfigPackagePermissions.NoResults
No results found,No results found,Studio.Toolbox.General.InfoBannerText
No results found,No results found,Studio.Toolbox.General.ToolboxToolbarName
Toolbox,Toolbox,Studio.Toolbox.General.StatusOnSale
On Sale,On Sale,Studio.Toolbox.General.AssetCreatorIntroText
by {name:username},by {name:username},Studio.Toolbox.General.CategoryCreationsModels
Models,Models,Studio.Toolbox.General.CategoryModels
Models,Models,Studio.Toolbox.General.SalesOnsale
Onsale,Onsale,Studio.Toolbox.General.EndorseBadgeTooltipText
Marked as a high-quality item,Marked as a high-quality item,Studio.Toolbox.General.CategoryCreationsDecals
Images,Images,Studio.Toolbox.General.CategoryDecals
Images,Images,Studio.Toolbox.General.CategoryCreationsMeshes
Meshes,Meshes,Studio.Toolbox.General.CategoryMeshes
Meshes,Meshes,Studio.Toolbox.General.AssetTypeAudio
Audio,Audio,Studio.Toolbox.General.CategoryAudio
Audio,Audio,Studio.Toolbox.General.CategoryCreationsAudio
Audio,Audio,Studio.Toolbox.General.CategoryMyDecals
My Images,My Images,Studio.Toolbox.General.CategoryMyMeshes
My Meshes,My Meshes,Studio.Toolbox.General.CategoryGroupPackages
Group Packages,Group Packages,Studio.Toolbox.General.SearchTagLength
length:,length:,Studio.Toolbox.General.CategoryMyAudio
My Audio,My Audio,Studio.Toolbox.General.CategoryMyPackages
My Packages,My Packages,Studio.Toolbox.General.SideTabSales
Sales,Sales,Studio.Toolbox.General.CategoryMyPlugins
My Plugins,My Plugins,Studio.Toolbox.General.CategoryMyAnimations
My Animations,My Animations,Studio.Toolbox.General.SortByText
Sort by:,Sort by:,Studio.Toolbox.General.CategoryRecentModels
Recent Models,Recent Models,Studio.Toolbox.General.CategoryRecentMeshes
Recent Meshes,Recent Meshes,Studio.Toolbox.AssetConfigCopy.TemporarilyDisabledMessage
