Key,en-us
Studio.VRStatus.AlertDialog.Detected,detected
Studio.VRStatus.AlertDialog.ModeOff,VR Mode Off
Studio.VRStatus.AlertDialog.ModeOn,VR Mode On
Studio.VRStatus.AlertDialog.NoDeviceDetected,No VR Device detected. Please connect device and restart studio.
Studio.VRStatus.AlertDialog.OkButtonText,Ok
Studio.VRStatus.Plugin.Button,Toggle
Studio.VRStatus.Plugin.Description,Toggles the Template plugin window.
Studio.VRStatus.Plugin.Name,VR Status
Studio.VRStatus.Plugin.Text,Example Text!
Studio.VRStatus.Plugin.Toolbar,VRStatus
Studio.VRStatus.StatusButton.Title,Status
Studio.VRStatus.StatusButton.Tooltip,Display current VR connection status.
