Key,Source,en-us
Studio.CGE.Modal.ConfirmDeletion,Are you sure you want to delete the group "{1}"?,Are you sure you want to delete the group "{1}"?
Studio.CGE.Tooltip.Rename,Rename this group.,Rename this group.
Studio.CGE.Common.Yes,Yes,Yes
Studio.CGE.Common.No,No,No
Studio.CGE.Groups.DefaultGroupName,Default,Default
Studio.CGE.Actions.AddGroup,Add Group,Add Group
Studio.CGE.Headers.GroupName,Group Name,Group Name
Studio.CGE.Tooltip.Delete,Delete this group.,Delete this group.
Studio.CGE.Tooltip.Add,Add the selected parts to this group.,Add the selected parts to this group.
Studio.CGE.Main.Title,Collision Groups Editor,Collision Groups Editor
