Key,Source,en-us,ko,ru,zh-cn
Studio.CGE.Tooltip.Add,Add the selected parts to this group.,Add the selected parts to this group.,선택한 파트를 이 그룹에 추가합니다.,Добавить выбранные детали к этой группе.,将选定的部件添加到此群组。
Studio.CGE.Modal.ConfirmDeletion,Are you sure you want to delete the group "{1}"?,Are you sure you want to delete the group "{1}"?,'{1}' 그룹을 정말 삭제할까요?,Удалить группу "{1}"?,确定要删除群组 "{1}"？
Studio.CGE.Tooltip.Rename,Rename this group.,Rename this group.,이 그룹의 이름을 변경합니다.,Переименовать эту группу.,重命名此群组。
Studio.CGE.Common.Yes,Yes,Yes,예,Да,是
Studio.CGE.Common.No,No,No,아니요,Нет,否
Studio.CGE.Groups.DefaultGroupName,Default,Default,기본값,По умолчанию,默认
Studio.CGE.Actions.AddGroup,Add Group,Add Group,그룹 추가,Добавить группу,添加群组
Studio.CGE.Headers.GroupName,Group Name,Group Name,그룹 이름,Имя группы,群组名称
Studio.CGE.Tooltip.Delete,Delete this group.,Delete this group.,이 그룹을 삭제합니다.,Удалить эту группу.,删除此群组。
Studio.CGE.Main.Title,Collision Groups Editor,Collision Groups Editor,충돌 그룹 편집기, ,碰撞组编辑器
