Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Meta.PluginWindowName,Plugin Installation,Plugin Installation,Instalación del plugin,Installation plugin,Installazione plugin,プラグインのインストール,플러그인 설치,Instalação de plugin,Установка плагина,插件安装,插件安装,外掛程式安裝
Studio.PluginInstallation.Details.Back,Back,Back,Volver,Retour,Indietro,戻る,뒤로,Voltar,Назад,返回,返回,返回
Studio.PluginInstallation.Main.InstallingPlugin,Installing plugin : {1},Installing plugin : {1},Instalando plugin: {1},Installer le plugin : {1},Installazione del plugin: {1},プラグインをインストール中 : {1},플러그인 설치: {1},Instalando plugin: {1},Установка плагина: {1},正在安装插件： {1},正在安装插件： {1},正在安裝外掛程式：{1}
Studio.PluginInstallation.Progress.HttpError,HTTP Error. Could not fetch information about this plugin. Try again later. {1},HTTP Error. Could not fetch information about this plugin. Try again later. {1},Error de HTTP. No se ha podido recuperar la información sobre este plugin. Inténtalo de nuevo más tarde. {1},Erreur HTTP. Le cloud ne peut pas aller chercher les informations de ce plugin. Réessaie plus tard. {1},Errore HTTP. Impossibile recuperare le informazioni su questo plugin. Riprova più tardi. {1},HTTPエラー。このプラグインに関する情報を取得できませんでした。また後でお試しください。 {1},HTTP 오류. 이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Erro HTTP. Não foi possível obter informações sobre este plugin. Tente novamente mais tarde. {1},Ошибка HTTP. Не удалось получить информацию о плагине. Повторите попытку позже. {1},HTTP 错误。无法获取关于此插件的信息，请稍后重试。{1},HTTP 错误。无法获取关于此插件的信息，请稍后重试。{1},HTTP 錯誤。無法擷取此外掛程式的資訊。請稍後再試。{1}
Studio.PluginInstallation.PluginEntry.AutoUpdateEntry,Last updated on {date:shortdate},Last updated on {date:shortdate},Última actualización el {date:shortdate},Dernière mise à jour le {date:shortdate},Ultimo aggiornamento il {date:shortdate},最終更新日: {date:shortdate},마지막 업데이트 날짜: {date:shortdate},Última atualização em {date:shortdate}, , , ,最後更新日期：{date:shortdate}
Studio.PluginInstallation.Main.ErrorNoId,Error : No plugin to install,Error : No plugin to install,Error: No hay plugin que instalar,Erreur : pas de plugin à installer,Errore: nessun plugin da installare,エラー : インストールするプラグインがありません,오류: 설치할 플러그인이 없음,Erro: Não há plugin para instalar,Ошибка: плагин не установлен,错误：未发现可安装的插件,错误：未发现可安装的插件,錯誤：沒有要安裝的外掛程式
Studio.PluginInstallation.Progress.CompletedMessage,{1} successfully installed.,{1} successfully installed.,{1} se instaló correctamente.,{1} installé avec succès.,Installazione di {1} completata.,{1} をインストールできました。,{1}을(를) 설치했습니다.,{1} instalado com sucesso.,Плагин {1} установлен.,已成功安装 {1} 。,已成功安装 {1} 。,已成功安裝 {1}。
Studio.PluginInstallation.Details.ScriptInjection,Script Injection,Script Injection,Inyección del script,Injection de script,Iniezione di script,スクリプト注入,스크립트 삽입,Injeção de script, ,脚本注入,脚本注入,指令碼注入
Studio.PluginInstallation.Progress.Completed,Installation Complete!,Installation Complete!,¡Instalación completada!,Installation terminée !,Installazione completata!,インストール完了！,설치 완료!,Instalação completada!,Установка завершена!,安装完成！,安装完成！,安裝完成！
Studio.PluginInstallation.Dialog.Ok,OK,OK,Aceptar,OK,OK,OK,확인,OK,ОК,确认,确认,確定
