Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.StudioTour.panCamera_Description,Use the <b>E</b> and <b>Q</b> keys to pan up and down.,"Benutze die Tasten <b>E</b> und <b>Q</b>, um nach oben und unten zu schwenken.",Use the <b>E</b> and <b>Q</b> keys to pan up and down.,Usa las teclas <b>E</b> y <b>Q</b> para mover hacia arriba y hacia abajo.,Utilisez les touches <b>E</b> et <b>Q</b> pour faire un panoramique vers le haut et le bas.,Usa il <b>E</b> e <b>Q</b> tasti per panoramica su e giù.,<b>E</b>と<b>Q</b>キーを使って上下にパン（首振り）します。,"<b>E</b>, <b>Q</b> 키를 사용하면 위아래로 이동할 수 있습니다.",Use as teclas <b>E</b> e <b>Q</b> para mover a câmera para cima e para baixo.,使用 <b>E</b> 和 <b>Q</b> 键进行镜头上移和下移。,使用 <b>E</b> 和 <b>Q</b> 键进行镜头上移和下移。,使用 <b>E</b> 與 <b>Q</b> 鍵上下平移。
Studio.Tutorials.StudioTour2.panCamera_Description,Use the <b>E</b> and <b>Q</b> keys to pan up and down.,"Benutze die Tasten <b>E</b> und <b>Q</b>, um nach oben und unten zu schwenken.",Use the <b>E</b> and <b>Q</b> keys to pan up and down.,Usa las teclas <b>E</b> y <b>Q</b> para mover hacia arriba y hacia abajo.,Utilisez les touches <b>E</b> et <b>Q</b> pour faire un panoramique vers le haut et le bas.,Usa il <b>E</b> e <b>Q</b> tasti per panoramica su e giù.,<b>E</b>と<b>Q</b>キーを使って上下にパン（首振り）します。,"<b>E</b>, <b>Q</b> 키를 사용하면 위아래로 이동할 수 있습니다.",Use as teclas <b>E</b> e <b>Q</b> para mover para cima e para baixo.,使用 <b>E</b> 和 <b>Q</b> 键进行镜头上移和下移。,使用 <b>E</b> 和 <b>Q</b> 键进行镜头上移和下移。,使用 <b>E</b> 與 <b>Q</b> 鍵上下平移。
Studio.Tutorials.Plugin.Name,Tutorials,Tutorials,Tutorials,Tutoriales,Tutoriels,Tutorial,チュートリアル,튜토리얼,Tutoriais,教程,教程,教學課程
Studio.Tutorials.StudioTour2.select_Description,"Now that the ramp is complete, it's time to customize the car. Select the car in the Explorer.","Jetzt, wo die Rampe fertig ist, ist es an der Zeit, das Auto anzupassen. Wähle das Auto im Explorer aus.","Now that the ramp is complete, it's time to customize the car. Select the car in the Explorer.","Ahora que la rampa está completa, es hora de personalizar el coche. Selecciónalo en el Explorador.","Maintenant que la rampe est terminée, il est temps de personnaliser la voiture. Sélectionner la voiture dans Explorer.",Seleziona l'auto facendo clic su di essa nella vista 3D o nell'Esploratore.,3Dビューまたはエクスプローラで車をクリックして車を選択します。,"이제 경사로가 완성되었으며, 자동차를 사용자 정의할 차례입니다. '탐색기'에서 자동차를 선택하세요.","Agora que a rampa está completa, é hora de personalizar o carro. Selecione o carro no Explorador.",斜坡搞定了，我们可以来自定义汽车了。在浏览器中选择汽车。,斜坡搞定了，我们可以来自定义汽车了。在浏览器中选择汽车。,既然斜坡已完成，那就來自訂車子吧。在總管中選擇車子。
Studio.Tutorials.StudioTour2.marketplace_Description,The Marketplace contains assets that you can add to your place.<br/><br/>You can find assets in Studio using the Toolbox.,"Der Marktplatz enthält Objekte, die du zu deinem Ort hinzufügen kannst.<br/><br/>Die Objekte findest du in Studio über die Toolbox.",The Marketplace contains assets that you can add to your place.<br/><br/>You can find assets in Studio using the Toolbox.,El Mercado contiene recursos que puedes agregar a tu lugar.<br/><br/>Puedes encontrarlos en Studio usando la Caja de herramientas.,Le Marketplace propose des contenus que vous pouvez ajouter à ton emplacement.<br/><br/>Tu peux trouver des contenus dans Studio en utilisant la Boîte à outils.,Il mercato contiene risorse che puoi aggiungere alla tua esperienza.<br><br>Apri la cassetta degli strumenti per vederli.,マーケットプレイスには、あなたのプレースに追加できるアセットが含まれています。<br/><br/>ツールボックスを使用してStudioでアセットを見つけることができます。,플레이스에 추가할 수 있는 애셋을 마켓플레이스에서 찾아볼 수 있습니다.<br/><br/>도구 상자를 사용해 Studio에서 애셋을 찾을 수 있습니다.,O Mercado contém ativos que você pode adicionar ao seu local.<br/><br/>Você pode encontrar ativos no Studio usando a Caixa de ferramentas.,商城内有可添加至场景的素材。<br/><br/>你可以通过使用工具箱在 Studio 中找到素材。,商城内有可添加至场景的素材。<br/><br/>你可以通过使用工具箱在 Studio 中找到素材。,市集包含您可新增至空間中的素材。<br/><br/>透過使用工具箱，您可以在 Studio 中發現素材。
Studio.Tutorials.Completed.Title,You completed the %s!,Du hast die %s abgeschlossen!,You completed the %s!,Completaste el %s.,Tu as terminé le %s !,Hai completato il %s!,%s を完了しました！,%s(을)를 완료했어요!,Você completou o %s!,你完成了%s！,你完成了%s！,您完成了 %s！
Studio.Tutorials.StudioTour.parts_Title,Parts,Teile,Parts,Piezas,Parties,Parti,パーツ,파트,Partes,部件,部件,零件
Studio.Tutorials.StudioTour2.topic_parts,Parts,Teile,Parts,Piezas,Parties, ,パーツ,파트,Partes,部件,部件,零件
Studio.Tutorials.Plugin.Button,Toggle,Umschalten,Toggle,Activar,Activer/désactiver,Attiva/disattiva,切りかえ,전환,Alternar,切换,切换,切換
Studio.Tutorials.StudioTour2.rotate_Title,Rotate,Drehen,Rotate,Girar,Faire pivoter,Ruota,回転,회전,Girar,旋转,旋转,旋轉
