Key,en-us
Studio.UserInputPlayback.PlaybackTabView.PlayButtonPlay,Play...
Studio.UserInputPlayback.PlaybackTabView.PlayButtonReady,Ready to Play
Studio.UserInputPlayback.PlaybackTabView.PlayButtonStop,Stop
Studio.UserInputPlayback.PlaybackTabView.PlayFileLabel,Play file:
Studio.UserInputPlayback.PlaybackTabView.SelectInputDefaultText,Choose an item...
Studio.UserInputPlayback.PlaybackTabView.SetEmulationDeviceLabel,Set emulation device
Studio.UserInputPlayback.PlaybackTabView.StatusMessageDisabled,Status: Can't start playback now.
Studio.UserInputPlayback.PlaybackTabView.StatusMessageNotPlaying,Status: Not playing.
Studio.UserInputPlayback.PlaybackTabView.StatusMessagePlaying,Status: Playing...
Studio.UserInputPlayback.PlaybackTabView.StatusMessageShouldStartPlayback,Status: Press Studio "Play" button to start playback.
Studio.UserInputPlayback.Plugin.Button,Playback Tool
Studio.UserInputPlayback.Plugin.Description,Open User Input Playback tool
Studio.UserInputPlayback.Plugin.Name,User Input Playback Tool
Studio.UserInputPlayback.Plugin.Toolbar,User Input
