Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AdaptiveAnimationSupport.Animation.Run,,,Run,Run,,Ausführen,Correr,Courir,रन करें,Lari,Esegui,走る,달리기,Bieg,Correr,,วิ่ง,Çalıştır,Chạy,奔跑,奔跑,奔跑
Studio.AdaptiveAnimationSupport.Animation.Walk,,,Walk,Walk,,Gehen,Caminar,Marcher,Walk,Jalan,Camminata,歩く,걷기,Chód,Andar,,เดิน,Yürüme,Đi bộ,行走,行走,步行
Studio.AdaptiveAnimationSupport.Animation.Wave,,,Wave,Wave,,Winken,Saludar,Saluer,वेव करें,Melambaikan tangan,Ondata,手を振る,손 흔들기,Machanie,Acenar,,โบกมือ,El Sallama,Vẫy tay,挥手,挥手,揮手
Studio.AdaptiveAnimationSupport.Animation.Idle1,,,Idle 1,Idle 1,,Untätig 1,Inactivo 1,Inactif 1,Idle 1,Diam 1,Inattività 1,待機1,빈둥대기 1,Bezczynność 1,Ocioso 1,,นิ่งเฉย 1,Boşta 1,Nhàn rỗi 1,闲置 1,闲置 1,閒置 1
Studio.AdaptiveAnimationSupport.Animation.Idle2,,,Idle 2,Idle 2,,Untätig 2,Inactivo 2,Inactif 2,Idle 2,Diam 2,Inattività 2,待機2,빈둥대기 2,Bezczynność 2,Ocioso 2,,นิ่งเฉย 2,Boşta 2,Nhàn rỗi 2,闲置 2,闲置 2,閒置 2
Studio.AdaptiveAnimationSupport.Animation.Cheer,,,Cheer,Cheer,,Jubeln,Animar,Encourager,चीयर,Bersorak,Esultanza,応援,응원,Wiwat,Torcer,,เชียร์,Tezahürat,Cổ vũ,欢呼,欢呼,歡呼
Studio.AdaptiveAnimationSupport.Animation.Dance,,,Dance,Dance,,Tanzen,Bailar,Danser,डांस,Menari,Danza,ダンス,댄스,Taniec,Dançar,,เต้น,Dans,Khiêu vũ,跳舞,跳舞,跳舞
Studio.AdaptiveAnimationSupport.Animation.Climb,,,Climb,Climb,,Klettern,Escalar,Grimper,क्लाइंब,Memanjat,Scalata,登る,오르기,Wspinaczka,Escalar,,ปีน,Tırmanma,Leo,攀爬,攀爬,攀爬
Studio.AdaptiveAnimationSupport.Animation.Swim,,,Swim,Swim,,Schwimmen,Nadar,Nager,स्विम,Berenang,Nuotata,泳ぐ,수영,Pływanie,Nadar,,ว่ายน้ำ,Yüzme,Bơi,游泳,游泳,游泳
Studio.AdaptiveAnimationSupport.Mode,,,Mapping Joints,Mapping Joints,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Mode.MappingTooltip,,,Map Joints to Rig Labels,Map Joints to Rig Labels,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Mode.TPose,,,TPose mode,TPose mode,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Mode.TPoseTooltip,,,Adjust rotation and position of joints to get avatar into T-pose reference position.,Adjust rotation and position of joints to get avatar into T-pose reference position.,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Toolbar.Automap,,,Automap,Automap,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Toolbar.AutomapTooltip,,,Automatically map avatar's joints to reference labels,Automatically map avatar's joints to reference labels,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Toolbar.ClearMappings,,,Clear Mappings,Clear Mappings,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Toolbar.ClearMappingsTooltip,,,Remove all previously assigned joint mappings,Remove all previously assigned joint mappings,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Mode.Edit,,,Edit,Edit,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Toolbar.EditTooltip,,,Enter Edit mode,Enter Edit mode,,,,,,,,,,,,,,,,,,
Studio.AdaptiveAnimationSupport.Mode.Done,,,Done,Done,,,,,,,,,,,,,,,,,,
