Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AnimateEverything.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,カピバラはかわいい！,귀여운 카피바라!,Capybaras are cute!,Capivaras são fofas!,,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!,Capybaras are cute!
Studio.AnimateEverything.CounterExample.Button,,,Push me!,Push me!,,Push me!,Push me!,Push me!,Push me!,Push me!,Push me!,押す,Push me!,Push me!,Me aperte!,,Push me!,Push me!,Push me!,Push me!,Push me!,Push me!
Studio.AnimateEverything.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,{counter} 回押しました,You pressed me {counter} times!,You pressed me {counter} times!,Você me pressionou {counter} vezes!,,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!,You pressed me {counter} times!
Studio.AnimateEverything.Plugin.Button,,,New Animation Editor,New Animation Editor,,Neuer Animation-Editor,Nuevo Editor de animaciones,Nouvel éditeur d'animation,नया ऐनिमेशन एडिटर,Editor Animasi Baru,Nuovi editor animazioni,新しいアニメーション編集,새로운 애니메이션 편집기,Nowy edytor animacji,Novo Editor de animação,,เครื่องมือแก้ไขแอนิเมชันตัวใหม่,Yeni Animasyon Düzenleyici,Trình biên tập hiệu ứng động mới,全新的动画编辑器,全新的动画编辑器,新動畫編輯器
Studio.AnimateEverything.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,,Eine Vorlage für alle deine Studio-Plugin-Bedürfnisse!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके studio प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Templat untuk semua plugin studio yang kamu butuhkan.,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,모든 Studio 플러그인 니즈를 충족하는 템플릿!,"Szablon, który sprosta wszystkim Twoim wymaganiom związanym z dodatkami plug-in do Studio.",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับปลั๊กอินสตูดิโอทั้งหมดที่ตอบโจทย์,Tüm stüdyo eklenti ihtiyaçların için bir şablon!,Một mẫu dùng chung cho mọi nhu cầu về plugin trong Studio!,,,一個能滿足你所有 Studio 外掛程式所需的範本！
Studio.AnimateEverything.Plugin.Name,,,New Animation Editor,New Animation Editor,,Neuer Animation-Editor,Nuevo Editor de animaciones,Nouvel éditeur d'animation,नया ऐनिमेशन एडिटर,Editor Animasi Baru,Nuovi editor animazioni,新しいアニメーション編集,새로운 애니메이션 편집기,Nowy edytor animacji,Novo Editor de animação,,เครื่องมือแก้ไขแอนิเมชันตัวใหม่,Yeni Animasyon Düzenleyici,Trình biên tập hiệu ứng động mới,全新的动画编辑器,全新的动画编辑器,新動畫編輯器
Studio.AnimateEverything.Plugin.Toolbar,,,New Animation Editor,New Animation Editor,,Neuer Animation-Editor,Nuevo Editor de animaciones,Nouvel éditeur d'animation,नया ऐनिमेशन एडिटर,Editor Animasi Baru,Nuovi editor animazioni,新しいアニメーション編集,새로운 애니메이션 편집기,Nowy edytor animacji,Novo Editor de animação,,เครื่องมือแก้ไขแอนิเมชันตัวใหม่,Yeni Animasyon Düzenleyici,Trình biên tập hiệu ứng động mới,全新的动画编辑器,全新的动画编辑器,新動畫編輯器
Studio.AnimateEverything.TimeUnitsPostfix.NanoSeconds,,,ns,ns,,ns,ns,ns,नैनो सेकंड,nanodetik,ns,ナノ秒,ns,ns,ns,,ns,ns,ns,ns,ns,奈秒
Studio.AnimateEverything.TimeUnitsPostfix.MicroSeconds,,,μs,μs,,μs,μs,μs,माइक्रो सेकंड,mikrodetik,μs,マイクロ秒,μs,μs,μs,,μs,μs,μs,μs,μs,微秒
Studio.AnimateEverything.TimeUnitsPostfix.MilliSeconds,,,ms,ms,,ms,ms,ms,मिली सेकंड,milidetik,ms,ミリ秒,ms,ms,ms,,ms,ms,ms,ms,ms,毫秒
