Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Auth.EmbeddedAuthorizationDialog.LaunchFailed,,,Launch Failed,Launch Failed,فشل الفتح,Starten fehlgeschlagen,Error al lanzar,Échec du lancement,लॉन्च नहीं किया जा सका,Peluncuran Gagal,Avvio non riuscito,起動できませんでした,실행 실패,Nie udało się uruchomić,Falha ao executar,Не удалось запустить,เปิดใช้งานไม่สำเร็จ,Başlatma başarısız,Khởi Chạy Không Thành Công,启动失败,启动失败,啟動失敗
Studio.Auth.EmbeddedAuthorizationDialog.InvalidWebView2Fmt1,,,WebView2 installation required to launch Studio. Click <a href='%1'>here</a> for installation details.,WebView2 installation required to launch Studio. Click <a href='%1'>here</a> for installation details.,تثبيت WebView2 مطلوب لفتح Studio. اضغط <a href='%1'>هنا</a> للحصول على تفاصيل التثبيت.,"WebView2-Installation erforderlich, um Studio zu starten. Klicke <a href='%1'>hier</a> für Details zur Installation.",Se requiere la instalación de WebView2 para iniciar Studio. Haz clic <a href='%1'>aquí</a> para ver los detalles de la instalación.,Installation de WebView2 requise pour lancer Studio. Clique <a href='%1'>ici</a> pour les détails de l'installation.,"Studio लॉन्च करने के लिए, WebView2 इंस्टॉलेशन ज़रूरी है. इंस्टॉलेशन की जानकारी के लिए<a href='%1'>यहाँ</a> क्लिक करें.",Penginstalan WebView2 diperlukan untuk meluncurkan Studio. Klik <a href='%1'>di sini</a> untuk mengetahui detail penginstalan.,Installazione di WebView2 necessaria per avviare Studio. Clicca <a href='%1'>qui</a> per i dettagli di installazione.,Studioを起動するには、WebView2のインストールが必要です。インストールの詳細は <a href='%1'>ここ</a> をクリック。,Studio를 시작하려면 WebView2 설치가 필요합니다. 설치 세부 정보를 보려면 <a href='%1'>여기</a>를 클릭하세요.,"Do uruchomienia aplikacji Studio wymagane jest zainstalowanie środowiska WebView2. Kliknij <a href='%1'>tutaj</a>, aby zapoznać się ze szczegółami instalacji.",A instalação do WebView2 é necessária para iniciar o Studio. Clique <a href='%1'>aqui</a> para detalhes da instalação.,Установка WebView2 необходима для запуска Studio. Нажми <a href='%1'>здесь</a> для получения подробной информации об установке.,จำเป็นต้องเปิดใช้งาน Studio เพื่อติดตั้ง WebView2 คลิก<a href='%1'>ที่นี่</a>เพื่อดูรายละเอียดการติดตั้ง,Studio'nun başlatılabilmesi için WebView2 kurulumu gerekir. Kurulum ayrıntıları için <a href='%1'>buraya</a> tıkla.,Cần cài đặt WebView2 để khởi chạy Studio. Nhấp vào <a href='%1'>đây</a> để biết chi tiết cài đặt.,需要安装 WebView2 才可启动 Studio。请点按<a href='%1'>此处</a>了解安装详情。,需要安装 WebView2 才可启动 Studio。请点按<a href='%1'>此处</a>了解安装详情。,需要 WebView2 安裝才可啟動 Studio。請點擊<a href='%1'>此處</a>了解安裝詳情。
Studio.Auth.AccountInfo.Mismatch,,,Studio failed to open because your web account credentials do not match the current Studio account credentials.,Studio failed to open because your web account credentials do not match the current Studio account credentials.,تعذَّر فتح Studio لأن بيانات اعتماد حسابك على الويب لا تتطابق مع بيانات اعتماد حساب Studio الحالية.,"Studio konnte nicht geöffnet werden, da die Anmeldedaten deines Webkontos nicht mit den Anmeldedaten des aktuellen Studio-Kontos übereinstimmen.",Studio no se pudo abrir porque las credenciales de tu cuenta web no coinciden con las credenciales actuales de la cuenta de Studio.,Échec de l'ouverture du Studio car les identifiants de ton compte web ne correspondent pas aux identifiants actuels du compte Studio.,"Studio को नहीं खोला जा सका, क्योंकि आपके वेब अकाउंट के क्रेडेंशियल्स मौजूदा Studio अकाउंट के क्रेडेंशियल्स से मेल नहीं खाते.",Studio gagal dibuka karena kredensial akun webmu tidak cocok dengan kredensial akun Studio saat ini.,Studio non è riuscito ad aprire perché le credenziali del tuo account web non corrispondono alle credenziali attuali dell'account Studio.,ウェブ用アカウントの認証情報と現在のStudioのアカウント認証情報が一致しないため、Studioを開けませんでした。,웹 계정의 자격 증명이 현재 Studio 계정의 자격 증명과 일치하지 않아 Studio를 열지 못했습니다.,"Nie udało się otworzyć aplikacji Studio, ponieważ dane dostępu do konta w sieci nie są zgodne z bieżącymi danymi dostępu do konta w Studio.",O Studio falhou ao abrir porque suas credenciais de conta web não correspondem às credenciais da conta atual do Studio.,"Не удалось открыть Studio, так как учётные данные веб-аккаунта не совпали с данными аккаунта Studio.",เปิด Studio ไม่สำเร็จเนื่องจากข้อมูลอ้างอิงบัญชีเว็บของคุณไม่ตรงกับข้อมูลอ้างอิงบัญชี Studio ปัจจุบัน,Web hesap bilgilerin mevcut Studio hesabı bilgileriyle eşleşmediğinden Studio açılamadı.,Không mở được Studio vì thông tin đăng nhập tài khoản web của bạn không khớp với thông tin đăng nhập tài khoản Studio hiện tại.,无法打开 Studio，因为你的网站帐户凭证与当前 Studio 的帐户凭证不符。,无法打开 Studio，因为你的网站帐户凭证与当前 Studio 的帐户凭证不符。,無法開啟 Studio，網站帳號憑證與目前 Studio 帳號憑證不符。
Studio.Auth.Launch.Failed,,,Launch Failed,Launch Failed,فشل الفتح,Starten fehlgeschlagen,Error al lanzar,Échec du lancement,लॉन्च नहीं किया जा सका,Peluncuran Gagal,Avvio non riuscito,起動できませんでした,실행 실패,Nie udało się uruchomić,Falha ao executar,Не удалось запустить,เปิดใช้งานไม่สำเร็จ,Başlatma başarısız,Khởi Chạy Không Thành Công,启动失败,启动失败,啟動失敗
Studio.Auth.AuthDialog.LoadError,,,An error occurred while launching Studio login. Please login on the website or try again later.,An error occurred while launching Studio login. Please login on the website or try again later.,حدث خطأ أثناء فتح نافذة تسجيل الدخول إلى Studio. يُرجى تسجيل الدخول على الموقع الإلكتروني أو المحاولة مرة أخرى لاحقًا.,Beim Starten der Studio-Anmeldung ist ein Fehler aufgetreten. Bitte melde dich auf der Website an oder versuche es später erneut.,Se produjo un error al iniciar sesión en Studio. Inicia sesión en el sitio web o inténtelo de nuevo más tarde.,Une erreur s'est produite lors du lancement de la connexion Studio. Connecte-toi sur le site Web ou réessaie plus tard.,Studio लॉग-इन लॉन्च करते समय कोई गड़बड़ी हुई. वेबसाइट पर लॉग-इन करें या बाद में फिर से कोशिश करें.,Terjadi eror saat meluncurkan log in Studio. Silakan log in di situs web atau coba lagi nanti.,Si è verificato un errore durante l'avvio del login di Studio. Effettua il login sul sito web o riprova più tardi.,Studio のログイン起動中にエラーが発生しました。ウェブサイトにログインするか、後でもう一度お試しください。,Studio 로그인을 시작하는 동안 오류가 발생했습니다. 웹사이트에서 로그인하거나 나중에 다시 시도하세요.,Podczas uruchamiania logowania do aplikacji Studio wystąpił błąd. Zaloguj się na stronie internetowej lub spróbuj ponownie później,Ocorreu um erro ao iniciar o login do Studio. Faça login no site ou tente novamente mais tarde.,Произошла ошибка при запуске Studio. Выполни вход на веб-сайте и повтори попытку.,เกิดข้อผิดพลาดในขณะที่เปิดใช้งานการลงชื่อเข้าใช้ Studio โปรดลงชื่อเข้าใช้ในเว็บไซต์หรือลองใหม่อีกครั้งในภายหลัง,Studio girişi başlatılırken bir hata oluştu. Lütfen web sitesinde giriş yap veya daha sonra tekrar dene.,Đã xảy ra lỗi khi tiến hành đăng nhập Studio. Vui lòng đăng nhập trên trang web hoặc thử lại sau.,启动 Studio 登录时发生错误。请在网站登录并稍后重试。,启动 Studio 登录时发生错误。请在网站登录并稍后重试。,啟動 Studio 登入時發生錯誤。請在網站登入或稍後再試。
Studio.Auth.Login.Failed,,,Login Failed,Login Failed,تعذَّر تسجيل الدخول,Anmeldung fehlgeschlagen,Error al iniciar sesión,Échec de la connexion,लॉग-इन नहीं किया जा सका,Log in Gagal,Accesso fallito,ログインできません,로그인 실패,Nie udało się zalogować,Falha no login,Ошибка входа,ลงชื่อเข้าใช้ไม่สำเร็จ,Giriş başarısız,Đăng Nhập Không Thành Công,登录失败,登录失败,登入失敗
Studio.Auth.AuthDialog.LoginError,,,An error occurred while logging into Studio. Please login on the website or try again later.,An error occurred while logging into Studio. Please login on the website or try again later.,حدث خطأ أثناء تسجيل الدخول إلى Studio. يُرجى تسجيل الدخول على الموقع الإلكتروني أو المحاولة مرة أخرى لاحقًا.,Bei der Anmeldung in Studio ist ein Fehler aufgetreten. Bitte melde dich auf der Website an oder versuche es später erneut.,Se produjo un error al iniciar sesión en Studio. Inicia sesión en el sitio web o inténtelo de nuevo más tarde.,Une erreur s'est produite lors de la connexion à Studio. Connecte-toi sur le site web ou réessaie plus tard.,Studio में लॉग-इन करते समय कोई गड़बड़ी हुई. वेबसाइट पर लॉग-इन करें या बाद में फिर से कोशिश करें.,Terjadi eror saat log in ke Studio. Silakan log in di situs web atau coba lagi nanti.,Si è verificato un errore durante l'avvio del login di Studio. Effettua il login sul sito web o riprova più tardi.,Studio へのログイン中にエラーが発生しました。ウェブサイトにログインするか、後でもう一度お試しください。,Studio에 로그인하는 동안 오류가 발생했습니다. 웹사이트에서 로그인하거나 나중에 다시 시도하세요.,Podczas logowania do aplikacji Studio wystąpił błąd. Zaloguj się na stronie internetowej lub spróbuj ponownie później,Ocorreu um erro ao iniciar o login do Studio. Faça login no site ou tente novamente mais tarde.,Произошла ошибка при входе в Studio. Выполни вход на веб-сайте и повтори попытку.,เกิดข้อผิดพลาดในขณะที่กำลังลงชื่อเข้าใช้ Studio โปรดลงชื่อเข้าใช้ในเว็บไซต์หรือลองใหม่อีกครั้งในภายหลัง,Studio'ya giriş yapılırken bir hata oluştu. Lütfen web sitesinde giriş yap veya daha sonra tekrar dene.,Đã xảy ra lỗi khi đăng nhập Studio. Vui lòng đăng nhập trên trang web hoặc thử lại sau.,登录 Studio 时发生错误。请在网站登录并稍后重试。,登录 Studio 时发生错误。请在网站登录并稍后重试。,登入 Studio 時發生錯誤。請在網站登入或稍後再試。
Studio.Auth.VerifyUserIdMatchLocalCache.LoginError,,,An error occurred while logging into Studio. Please close all other Studio instances and try again.,An error occurred while logging into Studio. Please close all other Studio instances and try again.,حدث خطأ أثناء تسجيل الدخول إلى Studio. يُرجى إغلاق جميع حالات Studio الأخرى والمحاولة مرة أخرى.,Bei der Anmeldung in Studio ist ein Fehler aufgetreten. Bitte schließe alle anderen Studio-Instanzen und versuche es erneut.,Se produjo un error al iniciar sesión en Studio. Cierra todas las demás instancias de Studio e inténtalo de nuevo.,Une erreur s'est produite lors de la connexion au Studio. Fermer toutes les autres instances du Studio et réessayer.,Studio में लॉग-इन करते समय कोई गड़बड़ी हुई. अन्य सभी Studio इंस्टैंस को बंद करके फिर से कोशिश करें.,Terjadi eror saat log in ke Studio. Tutup semua instance Studio lain dan coba lagi.,Si è verificato un errore durante l'accesso a Studio. Si prega di chiudere tutte le altre istanze di Studio e riprovare.,Studio へのログイン中にエラーが発生しました。他のすべての Studio インスタンスを閉じて、もう一度やり直してください。,Studio에 로그인하는 동안 오류가 발생했습니다. 다른 모든 Studio 인스턴스를 닫고 다시 시도하세요.,Podczas logowania się do aplikacji Studio wystąpił błąd. Zamknij wszystkie inne instancje aplikacji Studio i spróbuj ponownie.,"Ocorreu um erro ao entrar no Studio. Por favor, feche todas as outras instâncias do Studio e tente novamente.",Произошла ошибка при входе в Studio. Закрой все сессии Studio и повтори попытку.,เกิดข้อผิดพลาดในขณะที่กำลังลงชื่อเข้าใช้ Studio โปรดปิดอินสแตนซ์อื่นๆ ทั้งหมดของ Studio แล้วลองใหม่อีกครั้ง,Studio'ya giriş yapılırken bir hata oluştu. Lütfen diğer açık Studio pencerelerini kapat ve tekrar dene.,Đã xảy ra lỗi khi đăng nhập Studio. Vui lòng đóng tất cả các phiên bản Studio khác và thử lại.,登录 Studio 时发生错误。请关闭所有 Roblox 实例并重试。,登录 Studio 时发生错误。请关闭所有 Roblox 实例并重试。,登入 Studio 時發生錯誤。請關閉所有其他 Studio 個體並重新嘗試。
Studio.Auth.CredentialMismatch.LoginError,,,Attempted login was unsuccessful because Studio is already logged in to another account. This Studio window will automatically close.,Attempted login was unsuccessful because Studio is already logged in to another account. This Studio window will automatically close.,لم تنجح محاولة تسجيل الدخول لأنه قد تم تسجيل الدخول إلى Studio من حساب آخر بالفعل. سيتم إغلاق نافذة Studio هذه تلقائيًا.,"Der Anmeldeversuch war nicht erfolgreich, da Studio bereits bei einem anderen Konto angemeldet ist. Dieses Studio-Fenster wird automatisch geschlossen.",El intento de inicio de sesión no fue exitoso porque Studio ya inició sesión en otra cuenta. Esta ventana de Studio se cerrará automáticamente.,Tentative de connexion échouée parce que Studio est déjà connecté à un autre compte. Cette fenêtre Studio se fermera automatiquement.,"लॉग-इन की कोशिश असफल रही, क्योंकि Studio में पहले से ही दूसरे अकाउंट से लॉग-इन किया जा चुका है. यह Studio विंडो अपने-आप बंद हो जाएगी.",Percobaan log in tidak berhasil karena akun lain sudah log in ke Studio. Jendela Studio ini akan ditutup secara otomatis.,L'accesso tentato non è andato a buon fine perché Studio è già connesso a un altro account. Questa finestra Studio si chiuderà automaticamente.,Studio がすでに別のアカウントにログインしているため、ログインできませんでした。このStudio ウィンドウは自動的に終了します。,Studio가 이미 다른 계정에 로그인되어 있기 때문에 로그인을 하지 못했습니다. 이 Studio 창은 자동으로 닫힙니다.,"Próba zalogowania zakończyła się niepowodzeniem, ponieważ do aplikacji Studio zalogowano się już przy użyciu innego konta. To okno aplikacji Studio zostanie automatycznie zamknięte.",A tentativa de login não foi bem-sucedida porque o Studio já está logado em outra conta. Esta janela do Studio será fechada automaticamente.,"Попытка входа не удалась, так как на другом аккаунте уже выполнен вход в Studio. Это окно Studio будет закрыто автоматически.",ความพยายามในการลงชื่อเข้าใช้ไม่สำเร็จเนื่องจาก Studio ได้ลงชื่อเข้าใช่บัญชีอื่นแล้ว หน้าต่าง Studio นี้จะปิดโดยอัตโนมัติ,Studio'da başka bir hesap açık olduğu için giriş denemesi başarısız. Bu Studio penceresi otomatik olarak kapanacak.,Không thể đăng nhập vì Studio đã được đăng nhập bởi một tài khoản khác. Cửa sổ Studio này sẽ tự động đóng.,由于已有另一帐户登录 Studio，尝试登录失败。此 Studio 窗口将自动关闭。,由于已有另一帐户登录 Studio，尝试登录失败。此 Studio 窗口将自动关闭。,另一個帳號已登入 Studio，無法登入。此 Studio 視窗將會自動關閉。
Studio.Auth.WebLaunchCredentialMismatch.LoginError,,,Studio failed to open due to mismatched credentials. Please login with the current web account when launching from the web.,Studio failed to open due to mismatched credentials. Please login with the current web account when launching from the web.,تعذَّر فتح Studio بسبب عدم تطابق بيانات الاعتماد. يُرجى تسجيل الدخول باستخدام حساب الويب الحالي عند الفتح من الويب.,"Studio konnte nicht geöffnet werden, da die Anmeldedaten nicht übereinstimmen. Bitte melde dich mit dem aktuellen Webkonto an, wenn du Studio über das Web startest.",Studio no se pudo abrir debido a credenciales que no conciden. Inicia sesión con la cuenta web actual cuando se inicia desde la web.,Studio n'a pas pu s'ouvrir en raison d'une erreur d'identification. Connecte-toi avec le compte web actuel lors du lancement du web.,"क्रेडेंशियल मैच न करने की वजह से, Studio नहीं खोला जा सका. वेब से लॉन्च करते समय, मौजूदा वेब अकाउंट से लॉग-इन करें.",Studio gagal dibuka akibat ketidakcocokan kredensial. Log in dengan akun web terkini saat meluncurkan dari web.,Studio non è riuscito ad aprire a causa di credenziali non corrispondenti. Effettua il login con l'account web corrente quando avvii dal web.,認証情報が一致しないため、Studio を開けませんでした。ウェブから起動する際には、現在の ウェブ用アカウントでログインしてください。,자격 증명이 일치하지 않아 Studio를 열지 못했습니다. 웹에서 시작 시에는 현재의 웹 계정으로 로그인하세요.,Nie udało się otworzyć aplikacji Studio z powodu niezgodności danych dostępu. Podczas uruchamiania aplikacji z sieci zaloguj się do bieżącego konta w sieci.,Falha ao abrir o Studio devido a credenciais incompatíveis. Faça login com a conta web atual ao iniciar a partir da web.,Не удалось открыть Studio из-за несовпадающих учётных данных. Войди в систему с текущего веб-аккаунта при запуске с веб-сайта.,เปิด Studio ไม่สำเร็จเนื่องจากข้อมูลอ้างอิงไม่ตรงกัน โปรดลงชื่อเข้าใช้ด้วยบัญชีเว็บปัจจุบันเมื่อเปิดใช้งานจากเว็บ,Giriş bilgileri eşleşmedi için Studio açılamadı. Uygulamayı web üzerinden açarken lütfen mevcut web hesabınla giriş yap.,Không mở được Studio do thông tin đăng nhập không khớp. Vui lòng đăng nhập bằng tài khoản web hiện tại khi khởi chạy từ web.,由于凭证不匹配，Studio 无法打开。从网站打开 Studio 时请使用当前登录到网站的帐户。,由于凭证不匹配，Studio 无法打开。从网站打开 Studio 时请使用当前登录到网站的帐户。,憑證不相符，無法開啟 Studio。從網站開啟 Studio 時請使用目前登入到網站的帳號。
