Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.CGE.Modal.ConfirmDeletion,,,"Are you sure you want to delete the group ""{1}""?","Are you sure you want to delete the group ""{1}""?","هل أنت متأكد من أنك تريد حذف المجموعة ""{1}""؟","Möchtest du die Gruppe ""{1}"" wirklich löschen?","¿Quieres eliminar el grupo ""{1}""?","Es-tu sûr de vouloir supprimer le groupe ""{1}"" ?","क्या आपको वाकई ग्रुप ""{1}"" डिलीट करना है?","Kamu yakin ingin menghapus grup ""{1}""?","Vuoi davvero cancellare il gruppo ""{1}""?",「{1}」のグループを削除してよろしいですか？,'{1}' 그룹을 정말 삭제할까요?,Czy na pewno chcesz usunąć grupę „{1}”,"Tem certeza de que deseja apagar o grupo ""{1}""?","Удалить группу ""{1}""?","คุณแน่ใจหรือไม่ว่าต้องการลบกลุ่ม ""{1}""?","""{1}"" grubunu silmek istediğinden emin misin?","Bạn có chắc chắn muốn xóa nhóm ""{1}"" không?","确定要删除群组 ""{1}""？","确定要删除群组 ""{1}""？",確定刪除群組「{1}」？
Studio.CGE.Common.Yes,,,Yes,Yes,نعم,Ja,Sí,Oui,हाँ,Ya,Sì,はい,예,Tak,Sim,Да,ใช่,Evet,Có,是,是,是
Studio.CGE.Common.No,,,No,No,لا,Nein,No,Non,नहीं,Tidak,No,いいえ,아니요,Nie,Não,Нет,ไม่,Hayır,Không,否,否,否
Studio.CGE.Groups.DefaultGroupName,,,Default,Default,افتراضي,Standard,Predeterminado,Par défaut,डिफ़ॉल्ट,Default,Predefinito,デフォルト,기본값,Domyślne,Padrão,По умолчанию,ค่าเริ่มต้น,Varsayılan,Mặc Định,默认,默认,預設
Studio.CGE.Headers.GroupName,,,Group Name,Group Name,اسم المجموعة,Gruppenname,Nombre del grupo,Nom du groupe,ग्रुप का नाम,Nama Grup,Nome del gruppo,グループ名,그룹 이름,Nazwa grupy,Nome do grupo,Имя группы,ชื่อกลุ่ม,Grup adı,Tên Nhóm,群组名称,群组名称,組合名稱
Studio.CGE.Actions.AddGroup,,,Add Group,Add Group,إضافة مجموعة,Gruppe hinzufügen,Añadir grupo,Ajouter un groupe,ग्रुप जोड़ें,Tambahkan Grup,Aggiungi gruppo,グループを追加,그룹 추가,Dodaj grupę,Adicionar grupo,Добавить группу,เพิ่มกลุ่ม,Grup ekle,Thêm Nhóm,添加群组,添加群组,新增組合
Studio.CGE.Tooltip.Rename,,,Rename this group.,Rename this group.,إعادة تسمية هذه المجموعة.,Diese Gruppe umbenennen.,Renombra este grupo.,Renommer ce groupe.,इस ग्रुप का नाम बदलें.,Ubah nama grup ini.,Rinomina questo gruppo.,このグループ名を変更,이 그룹의 이름을 변경합니다.,Zmień nazwę tej grupy.,Renomear este grupo.,Переименовать эту группу.,ตั้งชื่อกลุ่มนี้ใหม่,Grubu yeniden adlandır.,Đổi tên nhóm này.,重命名此群组。,重命名此群组。,重新命名此組合。
Studio.CGE.Tooltip.Delete,,,Delete this group.,Delete this group.,حذف هذه المجموعة.,Diese Gruppe löschen.,Elimina este grupo.,Supprimer ce groupe.,इस ग्रुप को डिलीट करें.,Hapus grup ini.,Elimina questo gruppo.,このグループを削除。,이 그룹을 삭제합니다.,Usuń tę grupę.,Excluir este grupo.,Удалить эту группу.,ลบกลุ่มนี้,Grubu sil.,Xóa nhóm này.,删除此群组。,删除此群组。,刪除此組合。
Studio.CGE.Tooltip.Add,,,Add the selected parts to this group.,Add the selected parts to this group.,إضافة الأجزاء المحددة إلى هذه المجموعة.,Die ausgewählten Teile zu dieser Gruppe hinzufügen.,Añade las partes seleccionadas a este grupo.,Ajouter les parties sélectionnées à ce groupe.,इस ग्रुप में चुने गए हिस्से जोड़ें.,Tambahkan komponen yang dipilih ke grup ini.,Aggiungi le parti selezionate a questo gruppo.,このグループに選択済みのパーツを追加。,선택한 파트를 이 그룹에 추가합니다.,Dodaj zaznaczone części do tej grupy.,Adicionar as partes selecionadas a este grupo.,Добавить выбранные детали к этой группе.,เพิ่มส่วนประกอบที่เลือกไปยังกลุ่มนี้,Seçili parçaları bu gruba ekle.,Thêm các bộ phận đã chọn vào nhóm này.,将选定的部件添加到此群组。,将选定的部件添加到此群组。,將選取零件加入此組合。
Studio.CGE.Main.Title,,,Collision Groups Editor,Collision Groups Editor,محرر مجموعات التصادم,Kollisionsgruppen-Editor,Editor de grupos de colisión,Rédacteur des groupes de collision,कॉलिज़न ग्रुप्स एडिटर,Editor Grup Benturan,Editor gruppi collisione,衝突グループ編集,충돌 그룹 편집기,Edytor kolidujących grup,Editor de grupos de colisão,,เครื่องมือแก้ไขกลุ่มการชนกัน,Çarpışma Grubu Düzenleyici,Trình Chỉnh Sửa Nhóm Va Chạm,碰撞组编辑器,碰撞组编辑器,碰撞組合編輯器
Studio.CGE.Actions.TableView,,,Table View,Table View,معاينة الجدول,Tabellenansicht,Vista de tabla,Vue tableau,टेबल व्यू,Tampilan Tabel,Vista Tabelle,テーブル表示,테이블 뷰,Widok tabeli,Exibição em tabela,,มุมมองตาราง,Tablo görünümü,Chế Độ Xem Dạng Bảng,表格视图,表格视图,表格檢視
Studio.CGE.Actions.ListView,,,List View,List View,معاينة القائمة,Listenansicht,Vista de la lista,Vue Liste,लिस्ट व्यू,Tampilan Daftar,Vista Elenco,リスト表示,목록 뷰,Widok listy,Exibição em lista,,มุมมองรายการ,Liste görünümü,Chế Độ Xem Dạng Danh Sách,列表视图,列表视图,清單檢視
Studio.CGE.Info.SelectAGroup,,,Select a group from the left side.,Select a group from the left side.,حدِّد مجموعة من الجانب الأيسر.,Wähle eine Gruppe auf der linken Seite aus.,Selecciona un grupo del lado izquierdo.,Sélectionner un groupe sur le côté gauche.,बाईं ओर से कोई ग्रुप चुनें.,Pilih grup dari sisi kiri.,Selezionare un gruppo dal lato sinistro.,左側からグループを選ぶ。,왼쪽에서 그룹을 선택하세요.,Zaznacz grupę od lewej strony.,Selecione um grupo do lado esquerdo.,,เลือกกลุ่มจากทางด้านซ้าย,Sol taraftan bir grup seç.,Chọn một nhóm từ bên trái.,从左侧选择群组。,从左侧选择群组。,從左側選擇群組
Studio.CGE.Info.Groups,,,Groups,Groups,المجموعات,Gruppen,Grupos,Groupes,ग्रुप्स,Grup,Gruppi,グループ,그룹,Grupy,Grupos,,กลุ่ม,Gruplar,Nhóm,群组,群组,群組
Studio.CGE.Info.CanCollideWith,,,"""{1}"" can collide with:","""{1}"" can collide with:","""{1}"" يمكن أن تتعارض مع:","""{1}"" kann kollidieren mit:","""{1}"" puede colisionar con:","""{1}"" peut entrer en collision avec :","""{1}"" के साथ कोलाइड हो सकता है :","""{1}"" dapat berbenturan dengan:","""{1}"" può scontrarsi con:",「{1}」 は以下と衝突が可能:,'{1}'은(는) 다음과 충돌할 수 있음:,„{1}” może kolidować z:,"""{1}"" pode colidir com:",,"""{1}"" สามารถชนกันกับ:","""{1}"" şununla çarpışabilir:","""{1}"" có thể va chạm với:",“{1}”可以与下列项目碰撞：,“{1}”可以与下列项目碰撞：,「{1}」能與下列項目碰撞：
Studio.CGE.Info.NewGroupName,,,New Group Name,New Group Name,اسم المجموعة الجديد,Neuer Gruppenname,Nombre del grupo,Nouveau nom de groupe,नए ग्रुप का नाम,Nama Grup Baru,Nuovo Nome Gruppo,新規グループ名,새 그룹 이름,Nowa nazwa grupy,Novo nome do grupo,,ชื่อกลุ่มใหม่,Yeni grup adı,Tên Mới Của Nhóm,新群组名称,新群组名称,新群組名稱
