Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.CapabilitiesPropertyItem.Capability.AssetRequire,,,Allows calls to 'require' function using asset ID,Allows calls to 'require' function using asset ID,"يسمح بالاتصالات إلى دالة ""require"" باستخدام مُعرِّف الأصل",Ermöglicht Aufrufen der 'require'-Funktion mit Objekt-ID,Permite llamar a la función 'require' usando el ID del recurso,"Permet d'appeler la fonction ""exiger"" à l'aide de l'ID du contenu",कॉल्स को ऐसेट ID का उपयोग करके 'आवश्यक' फ़ंक्शन करने देता है,Memungkinkan agar panggilan 'memerlukan' fungsi menggunakan ID aset,"Consente le chiamate alla funzione ""Richiedi"" utilizzando l'ID risorsa",アセットIDを使用して 'require' 関数の呼び出しができるようにします,애셋 ID를 사용한 'require' 함수 호출 허용,"Zezwala, aby wywołania „wymagały” funkcji, używając identyfikatora zasobu",Permite chamadas para a função 'require' usando o ID do ativo,,อนุญาตให้การเรียก 'ร้องขอ' ฟังก์ชันโดยการใช้ ID ทรัพยากร,Varlık kimliği kullanarak 'require' işlevine çağrı yapılmasına izin verir,"Cho phép gọi ra hàm ""yêu cầu"" bằng ID tài sản",,,允許使用素材 ID 呼叫「require」函數
Studio.CapabilitiesPropertyItem.Capability.RunClientScript,,,Allows scripts to run on the Client,Allows scripts to run on the Client,يسمح بتشغيل النصوص البرمجية على العميل,Ermöglicht die Ausführung von Skripten auf dem Client,Permite la ejecución de scripts en Client,Permet d'exécuter des scripts sur le client,क्लाइंट पर स्क्रिप्ट रन करने देता है,Memungkinkan skrip berjalan di Klien,Consente l'esecuzione di script sul client,クライアント上でスクリプトを実行できるようにします,클라이언트에서 스크립트 실행 허용,Zezwala na uruchamianie skryptów na kliencie,Permite que scripts sejam rodados no cliente,,อนุญาตให้สคริปต์ทำงานบนไคลเอนต์,İstemcide betik yürütülmesine izin verir,Cho phép kịch bản chạy trên Máy Khách,,,允許指令碼在用戶端執行
Studio.CapabilitiesPropertyItem.Capability.RunServerScript,,,Allows scripts to run on the Server,Allows scripts to run on the Server,يسمح بتشغيل النصوص البرمجية على الخادم,Ermöglicht die Ausführung von Skripten auf dem Server,Permite la ejecución de scripts en Server,Permet l'exécution de scripts sur le serveur,सर्वर पर स्क्रिप्ट रन करने देता है,Memungkinkan skrip berjalan di Server,Consente l'esecuzione di script sul server,サーバー上でスクリプトを実行できるようにします,서버에서 스크립트 실행 허용,Zezwala na uruchamianie skryptów na serwerze,Permite que scripts sejam rodados no Servidor,,อนุญาตให้สคริปต์ทํางานบนเซิร์ฟเวอร์,Sunucuda betik yürütülmesine izin verir,Cho phép kịch bản chạy trên Máy Chủ,,,允許指令碼在伺服器上執行
Studio.CapabilitiesPropertyItem.Capability.AccessOutsideWrite,,,Allows access to the instances outside the Sandboxed container,Allows access to the instances outside the Sandboxed container,يسمح بالوصول إلى الحالات خارج حاوية Sandboxed,Ermöglicht den Zugriff auf die Instanzen außerhalb des Sandboxed Containers,Permite el acceso a las instancias fuera del contenedor Sandboxed,Permet d'accéder aux instances en dehors du conteneur Sandboxed,सैंडबॉक्स किए गए कंटेनर के बाहर के इंस्टैंस को ऐक्सेस करने देता है,Memungkinkan akses ke instance di luar kontainer Sandbox,Consente l'accesso alle istanze al di fuori del container in modalità sandbox,Sandboxed コンテナ外のインスタンスにアクセスできるようにします,샌드박스된 컨테이너 외부의 인스턴스에 대한 액세스 허용,Zezwala na dostęp do instancji spoza kontenera typu sandbox,Permite o acesso às instâncias fora do contêiner Sandboxed,,อนุญาตให้เข้าถึงอินสแตนซ์ภายนอกภาชนะแซนด์บ็อกซ์,Sandbox'lanmış kapsayıcının dışında örneklere erişime izin verir,Cho phép truy cập các phiên bản bên ngoài hộp cát,,,允許存取沙盒容器外的個體
Studio.CapabilitiesPropertyItem.Capability.LoadString,,,Allows 'loadstring' function to be used (restrictions from other settings still apply),Allows 'loadstring' function to be used (restrictions from other settings still apply),"يسمح باستخدام الدالة ""loadstring"" (لا تزال القيود من الإعدادات الأخرى سارية)",Ermöglicht die Verwendung der 'loadstring'-Funktion (Einschränkungen anderer Einstellungen gelten immer noch),Permite usar la función 'loadstring' (aún se aplican las restricciones de otras configuraciones),Permet d'utiliser la fonction 'loadstring' (les restrictions d'autres paramètres s'appliquent toujours),'लोडस्ट्रिंग ' फ़ंक्शन का उपयोग करने देता है (अन्य सेटिंग से प्रतिबंध अब भी लागू होते हैं),Memungkinkan fungsi 'loadstring' digunakan (batasan dari pengaturan lain tetap berlaku),Consente di utilizzare la funzione 'loadstring' (si applicano comunque restrizioni da altre impostazioni),'loadstring' 関数を使用できるようにします（他の設定からの制限も適用されます）,'loadstring' 함수 사용 허용(다른 설정의 제한 사항은 계속 적용),Zezwala na użycie funkcji „loadstring” (nadal obowiązują ograniczenia z innych ustawień),Permite o uso da função 'loadstring' (restrições de outras configurações ainda se aplicam),,อนุญาตให้ใช้ฟังก์ชัน 'Loadstring' (ยังคงปรับใช้ข้อจำกัดจากการตั้งค่าอื่นๆ อยู่),'loadstring' işlevinin kullanılmasına izin verir (diğer ayarların kısıtlamaları hâlâ geçerlidir),"Cho phép sử dụng chức năng ""loadstring"" (hạn chế do các cài đặt khác vẫn được áp dụng)",,,允許使用「loadstring」函數（其他設定限制仍適用）
Studio.CapabilitiesPropertyItem.Capability.ScriptGlobals,,,Allows access to script globals like '_G' and 'shared',Allows access to script globals like '_G' and 'shared',يسمح بالوصول إلى النص البرمجي العالمي مثل '_G' و'shared',Ermöglicht den Zugriff auf globale Skripte wie '_G' und 'shared',Permite el acceso a los scripts globales como '_G' y 'shared',Autorise l'accès au script global comme '_G' et 'shared',स्क्रिप्ट ग्लोबल्स जैसे '_G' और 'shared' को ऐक्सेस करने देता है,"Memungkinkan akses ke global skrip, seperti '_G' dan 'shared'",Consente l'accesso a script globali come '_G' e 'shared','_G' や 'shared' などのグローバルスクリプトにアクセスできるようにします,'_G' 및 'shared' 등의 전역 스크립트에 대한 액세스 허용,"Zezwala na dostęp do zasobów globalnych skryptów, takich jak „_G” oraz „shared”",Permite o acesso a scripts globais como '_G' e 'compartilhado',,อนุญาตการเข้าถึงสคริปต์ global เช่น '_G' และ 'Shared','_G' ve 'shared' gibi betik genellemelerine erişime izin verir,Cho phép truy cập các tập lệnh toàn cục như '_G' và 'shared',,,允許存取指令碼全域變數，例如「_G」和「shared」
Studio.CapabilitiesPropertyItem.Capability.CreateInstances,,,"Allows creation of new instances using Instance.new, :Clone and other methods","Allows creation of new instances using Instance.new, :Clone and other methods",يسمح بإنشاء حالات جديدة باستخدام Instance.new و:Clone وطرق أخرى,"Ermöglicht das Erstellen neuer Instanzen mit Instance.new, :Clone und anderen Methoden","Permite la creación de nuevas instancias usando Instance.new, :Clone y otros métodos","Permet la création de nouvelles instances à l'aide d'Instance.new, :Clone et d'autres méthodes","Instance.new, :Clone और अन्य विधियों का उपयोग करके नए इंस्टैंस बनाने देता है","Memungkinkan pembuatan instance baru menggunakan Instance.new, :Clone, dan metode lain","Consente la creazione di nuove istanze utilizzando Instance.new, :Clone e altri metodi",Instance.new、:Clone、その他のメソッドを使用して新しいインスタンスを作成できるようにします,"Instance.new, :Clone 및 기타 방식을 사용한 새로운 인스턴스 생성 허용","Zezwala na tworzenie nowych instancji przy użyciu metod takich jak Instance.new, :Clone i innych","Permite a criação de novas instâncias usando Instance.new, :Clone e outros métodos",,"อนุญาตการสร้างอินสแตนซ์ใหม่โดยใช้ Instance.new, :Clone และวิธีการอื่นๆ","Instance.new, :Clone ve başka yöntemler kullanarak yeni örnekler oluşturulmasına izin verir","Cho phép tạo các phiên bản mới bằng cách sử dụng Instance.new, :Clone và các phương thức khác",,,允許使用 Instance.new、:Clone 和其他方法建立新個體
Studio.CapabilitiesPropertyItem.Capability.Basic,,,Allows a basic set of engine APIs to be used,Allows a basic set of engine APIs to be used,يسمح باستخدام مجموعة أساسية من واجهات برمجة تطبيقات المحرك,Ermöglicht die Verwendung eines grundlegenden Satzes von Engine-APIs,Permite usar un conjunto básico de API de motor,Permet d'utiliser un ensemble d'API de base pour le moteur,इंजन API के एक बुनियादी सेट का उपयोग करने देता है,Memungkinkan penggunaan satu set dasar engine API,Consente di utilizzare un set di base di API Motore,エンジン APIの基本セットを使用できるようにします,기본 엔진 API 세트 사용 허용,Zezwala na korzystanie z podstawowego zestawu interfejsów API silnika,Permite o uso de um conjunto básico de APIs de motor,,อนุญาตให้ใช้ชุดพื้นฐานของ Engine API,Temel bir motor API'ı setinin kullanılmasına izin verir,Cho phép sử dụng một bộ API cơ bản của công cụ,,,允許使用一組基本引擎 API
Studio.CapabilitiesPropertyItem.Capability.Audio,,,Allows access to Audio related instance APIs,Allows access to Audio related instance APIs,يسمح بالوصول إلى واجهات برمجة التطبيقات المتعلقة بالصوت,Ermöglicht den Zugriff auf audiobezogene Instanz-APIs,Permite el acceso a las API de instancia relacionadas con Audio,Permet l'accès aux API d'instance liées à l'audio,ऑडियो से संबंधित इंस्टैंस API को ऐक्सेस करने देता है,Memungkinkan akses ke API instance yang terkait dengan Audio,Consente l'accesso alle API delle istanze relative all'audio,オーディオ関連のインスタンス APIにアクセスできるようにします,오디오 관련 인스턴스 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API instancji związanych z dźwiękiem,Permite o acesso a APIs de instância relacionadas a áudio,,อนุญาตให้เข้าถึง API อินสแตนซ์ที่เกี่ยวข้องกับเสียง,Sesle ilgili örnek API'larına erişime izin verir,Cho phép truy cập vào API phiên bản liên quan đến âm thanh,,,允許存取與音訊相關的個體 API
Studio.CapabilitiesPropertyItem.Capability.DataStore,,,Allows access to DataStore/MemoryStore related engine APIs,Allows access to DataStore/MemoryStore related engine APIs,يسمح بالوصول إلى واجهات برمجة تطبيقات المحرك المتعلقة بـ DataStore/MemoryStore,Ermöglicht den Zugriff auf DataStore/MemoryStore-bezogene Engine-APIs,Permite el acceso a las API del motor relacionadas con DataStore/MemoryStore,Permet d'accéder aux API du moteur liées au DataStore/MemoryStore,DataStore/MemoryStore से संबंधित इंजन API को ऐक्सेस करने देता है,Memungkinkan akses ke engine API yang terkait dengan DataStore/MemoryStore,Consente l'accesso alle API Motore relative a DataStore/MemoryStore,DataStore/MemoryStore 関連のエンジン APIにアクセスできるようにします,DataStore/MemoryStore 관련 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika związanych z usługami DataStore/MemoryStore,Permite o acesso às APIs do motor relacionadas ao DataStore/MemoryStore,,อนุญาตให้เข้าถึง Engine API ที่เกี่ยวข้องกับ DataStore/MemoryStore,DataStore/MemoryStore ile ilgili motor API'larına erişime izin verir,Cho phép truy cập vào API công cụ liên quan đến DataStore/MemoryStore,,,允許存取與 DataStore/MemoryStore 相關的引擎 API
Studio.CapabilitiesPropertyItem.Capability.Network,,,Allows access to Networking engine APIs,Allows access to Networking engine APIs,يسمح بالوصول إلى واجهات برمجة تطبيقات محرك الشبكات,Ermöglicht den Zugriff auf Networking Engine-APIs,Permite el acceso a las API del motor de redes,Permet l'accès aux API du moteur réseau,नेटवर्किंग इंजन API को ऐक्सेस करने देता है,Memungkinkan akses ke engine API Jaringan,Consente l'accesso alle API Motore di rete,ネットワークエンジン APIにアクセスできるようにします,네트워킹 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika związanych z obsługą sieci,Permite o acesso às APIs do motor de rede,,อนุญาตให้เข้าถึง Engine API เครือข่าย,Ağ motor API'larına erişime izin verir,Cho phép truy cập các API công cụ Mạng,,,允許存取網路引擎 API
Studio.CapabilitiesPropertyItem.Capability.Physics,,,Allows access to Physics related instance APIs,Allows access to Physics related instance APIs,يسمح بالوصول إلى واجهات برمجة التطبيقات الخاصة بالحالات المرتبطة بالفيزياء,Ermöglicht den Zugriff auf physikbezogene Instanz-APIs,Permite el acceso a las API de instancia relacionadas con Physics,Permet l'accès aux API d'instance liées à la physique,फ़िज़िक्स से संबंधित इंस्टैंस API को ऐक्सेस करने देता है,Memungkinkan akses ke API instance terkait Fisika,Consente l'accesso alle API delle istanze relative alla fisica,インスタンス API関連の物理にアクセスできるようにします,물리 관련 인스턴스 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API instancji związanych z fizyką,Permite o acesso a APIs de instância relacionadas à física,,อนุญาตให้เข้าถึง API อินสแตนซ์ที่เกี่ยวข้องกับฟิสิกส์,Fizikle ilgili örnek API'larına erişime izin verir,Cho phép truy cập vào API phiên bản liên quan đến Vật Lý,,,允許存取與物理相關的個體 API
Studio.CapabilitiesPropertyItem.Capability.UI,,,Allows access to User Interface engine APIs,Allows access to User Interface engine APIs,يسمح بالوصول إلى واجهات برمجة تطبيقات محرك واجهة المستخدم,Ermöglicht den Zugriff auf User Interface Engine-APIs,Permite el acceso a las API del motor de interfaz de usuario,Permet d'accéder aux API du moteur d'interface utilisateur,यूज़र इंटरफ़ेस इंजन API को ऐक्सेस करने देता है,Memungkinkan akses ke engine API Antarmuka Pengguna,Consente l'accesso alle API Motore di interfaccia utente,インターフェースエンジン APIにアクセスできるようにします,사용자 인터페이스 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika interfejsu użytkownika,Permite o acesso a APIS de motor de interface do usuário,,อนุญาตให้เข้าถึง Engine API ของอินเทอร์เฟซผู้ใช้,Kullanıcı Arayüzü motoru API'larına erişime izin verir,Cho phép truy cập các API của công cụ Giao Diện Người Dùng,,,允許存取使用者介面引擎 API
Studio.CapabilitiesPropertyItem.Capability.CSG,,,Allows access to Constructive Solid Geometry engine APIs,Allows access to Constructive Solid Geometry engine APIs,يسمح بالوصول إلى واجهات برمجة تطبيقات محرك الهندسة الصلبة البناءة,Ermöglicht den Zugriff auf Constructive Solid Geometry Engine-APIs,Permite el acceso a las API del motor de Geometría Sólida Constructiva,Permet d'accéder aux API du moteur de géométrie de construction solide,कंस्ट्रक्टिव सॉलिड ज्योमेट्री इंजन API को ऐक्सेस करने देता है,Memungkinkan akses ke engine API Geometri Solid Konstruktif,Consente l'accesso alle API Motore di Constructive Solid Geometry,空間領域構成法（CSG）エンジン API へのアクセスを許可,구조적 입체기하학 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika Constructive Solid Geometry,Permite o acesso a APIs do motor de geometria sólida construtiva,,อนุญาตให้เข้าถึง Engine API ของรูปทรงเลขาคณิตการก่อสร้าง,Yapıcı Katı Geometri motoru API'larına erişime izin verir,Cho phép truy cập các API của công cụ Hình Học Đặc Xây Dựng,,,允許存取構造實體幾何引擎 API
Studio.CapabilitiesPropertyItem.Capability.Chat,,,Allows access to in-experience Chat engine APIs,Allows access to in-experience Chat engine APIs,يسمح بالوصول إلى واجهات برمجة تطبيقات محرك الدردشة داخل التجربة,Ermöglicht den Zugriff auf In-Experience Chat Engine-APIs,Permite el acceso a las API del motor de chat en la experiencia,Permet d'accéder aux API du moteur de chat de l'expérience,इन-एक्सपीरिएंस चैट इंजन APIs को ऐक्सेस करने देता है,Memungkinkan akses ke engine API Chat dalam pengalaman virtual,Consente l'accesso alle API Motore di chat all'interno dell'esperienza,バーチャル空間内チャットエンジン APIにアクセスできるようにします,체험 내 채팅 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika czatu w projekcie,Permite o acesso a APIS de motor de bate-papo de experiência,,อนุญาตให้เข้าถึง Engine API ของการแชทภายในประสบการณ์,Deneyim içi Sohbet motoru API'larına erişime izin verir,Cho phép truy cập các API của công cụ Trò Chuyện trong trải nghiệm,,,允許存取體驗內聊天引擎 API
Studio.CapabilitiesPropertyItem.Capability.Animation,,,Allows access to engine APIs related to work with animations,Allows access to engine APIs related to work with animations,يسمح بالوصول إلى واجهات برمجة تطبيقات المحرك المتعلقة بالعمل بالحركة,Ermöglicht den Zugriff auf Engine-APIs für die Arbeit mit Animationen,Permite el acceso a las API del motor relacionadas con el trabajo con animaciones,Permet d'accéder aux API du moteur liées au fonctionnement des animations,ऐनिमेशन के साथ काम करने से संबंधित इंजन APIs को ऐक्सेस करने देता है,Memungkinkan akses ke engine API terkait pekerjaan dengan animasi,Consente l'accesso alle API Motore relative al lavoro con le animazioni,アニメーション作業に関連するエンジン APIにアクセスできるようにします,애니메이션 작업 관련 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika związanych z pracą nad animacjami,Permite o acesso a APIs de motor relacionadas ao trabalho com animações,,อนุญาตให้เข้าถึง Engine API ที่เกี่ยวข้องกับแอนิเมชัน,Animasyon çalışmalarıyla ilgili motor API'larına erişime izin verir,Cho phép truy cập các API của công cụ liên quan đến công việc có hiệu ứng động,,,允許存取動畫作業相關的引擎 API
Studio.CapabilitiesPropertyItem.Capability.Avatar,,,Allows access to engine APIs related to work with avatars,Allows access to engine APIs related to work with avatars,يسمح بالوصول إلى واجهات برمجة تطبيقات المحرك المتعلقة بالعمل بالأفاتار,Ermöglicht den Zugriff auf Engine-APIs für die Arbeit mit Avataren,Permite el acceso a las API del motor relacionadas con el trabajo con avatares,Permet d'accéder aux API du moteur liées à l'utilisation des avatars,अवतारों के साथ काम करने से संबंधित इंजन APIs को ऐक्सेस करने देता है,Memungkinkan akses ke engine API terkait pekerjaan dengan avatar,Consente l'accesso alle API Motore relative al lavoro con gli avatar,アバター作業に関連するエンジン APIにアクセスできるようにします,아바타 작업 관련 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika związanych z pracą nad awatarami,Permite o acesso a APIs de motor relacionadas ao trabalho com avatares,,อนุญาตให้เข้าถึง Engine API ที่เกี่ยวข้องเพื่อทำงานร่วมกับอวาตาร์,Avatar çalışmalarıyla ilgili motor API'larına erişime izin verir,Cho phép truy cập các API của công cụ liên quan đến công việc có avatar,,,允許存取虛擬人偶作業相關的引擎 API
Studio.CapabilitiesPropertyItem.Capability.Input,,,Allows access to engine APIs related to handling user input,Allows access to engine APIs related to handling user input,يسمح بالوصول إلى واجهات برمجة تطبيقات المحرك المتعلقة بمعالجة إدخال المستخدم,Ermöglicht den Zugriff auf Engine-APIs für die Verarbeitung von Benutzereingaben,Permite el acceso a las API del motor relacionadas con el manejo de la entrada del usuario,Permet d'accéder aux API du moteur liées à la gestion de la saisie de l'utilisateur,यूज़र इनपुट को हैंडिल करने से संबंधित इंजन APIs को ऐक्सेस करने देता है,Memungkinkan akses ke engine API terkait penanganan input pengguna,Consente l'accesso alle API Motore relative alla gestione dell'input dell'utente,ユーザー入力の処理に関連するエンジン APIにアクセスできるようにします,사용자 입력 핸들링 관련 엔진 API에 대한 액세스 허용,Zezwala na dostęp do interfejsów API silnika związanych z obsługą danych wejściowych użytkownika,Permite o acesso a APIs de motor relacionadas ao tratamento da entrada do usuário,,อนุญาตให้เข้าถึง Engine API ที่เกี่ยวข้องกับการจัดการการป้อนข้อมูลของผู้ใช้,Kullanıcı girişlerini işleyen motor API'larına erişime izin verir,Cho phép truy cập các API của công cụ liên quan đến công việc xử lý dữ liệu nhập vào của người dùng,,,允許存取操控使用者輸入相關的引擎 API
