Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.FileSync.Plugin.Name,,,Script Sync,Script Sync,مزامنة النص البرمجي,Skript-Synchronisierung,Sincronización de scripts,Script Sync,स्क्रिप्ट सिंक,Sinkronisasi Skrip,Sincronizzazione script,スクリプト同期,스크립트 동기화,Synchronizacja skryptu,Sincronização de script,,ซิงค์สคริปต์,Betik Senkronizasyonu,Đồng Bộ Hóa Kịch Bản,脚本同步,脚本同步,指令碼同步
Studio.FileSync.Plugin.Toolbar,,,Script Sync,Script Sync,مزامنة النص البرمجي,Skript-Synchronisierung,Sincronización de scripts,Script Sync,स्क्रिप्ट सिंक,Sinkronisasi Skrip,Sincronizzazione script,スクリプト同期,스크립트 동기화,Synchronizacja skryptu,Sincronização de script,,ซิงค์สคริปต์,Betik Senkronizasyonu,Đồng Bộ Hóa Kịch Bản,脚本同步,脚本同步,指令碼同步
Studio.FileSync.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Basculer,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.FileSync.Plugin.Description,,,Toggles the Script Sync plugin window.,Toggles the Script Sync plugin window.,"تبديل نافذة المكون الإضافي ""مزامنة النص البرمجي"".",Schaltet das Skript-Synchronisierungs-Plugin-Fenster um.,Alterna la ventana del plugin Script Sync.,Active la fenêtre du plugin Script Sync.,स्क्रिप्ट सिंक प्लग-इन विंडो टॉगल करता है.,Menyalakan/mematikan jendela plugin Sinkronisasi Skrip.,Attiva/disattiva la finestra del plugin Sincronizzazione script.,スクリプト同期プラグインウィンドウを切りかえ。,스크립트 동기화 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in do synchronizacji skryptu.,Alterna a janela do plugin Sincronizador de scripts.,,เปิด/ปิดหน้าต่างปลั๊กอินซิงค์สคริปต์,Betik Senkronizasyonu eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Đồng Bộ Hóa Kịch Bản.,切换脚本同步插件窗口。,切换脚本同步插件窗口。,切換指令碼同步外掛程式視窗。
Studio.FileSync.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.FileSync.Errors.ImportFailure,,,Failed Import,Failed Import,فشل الاستيراد,Import fehlgeschlagen,Error de importación,Échec de l'importation,इंपोर्ट नहीं किया जा सका,Impor Gagal,Importazione non riuscita,失敗したインポート,가져오기 실패,Nie udało się zaimportować,Falha na importação,,นำเข้าไม่สำเร็จ,İçe aktarma başarısız,Không Nhập Được,导入失败,导入失败,匯入失敗
Studio.FileSync.Status.LocalChanges.MainText,,,Studio is Out of Date,Studio is Out of Date,Studio قديم,Studio ist veraltet,Studio está obsoleto,Sutdio n'est plus à jour,Studio पुराना है,Studio Kedaluwarsa,Studio non è aggiornato,Studioが古くなっています,Studio가 최신 상태가 아닙니다,Aplikacja Studio jest nieaktualna,O Studio está desatualizado,,Studio ล้าสมัยแล้ว,Studio güncel değil,Studio Đã Cũ,Studio 已过期,Studio 已过期,Studio 已過時
Studio.FileSync.Operations.Import,,,Import,Import,استيراد,Importieren,Importar,Importer,इंपोर्ट करें,Impor,Importa,インポート,가져오기,Importuj,Importar,,นำเข้า,İçe Aktar,Nhập,导入,导入,匯入
Studio.FileSync.Errors.NoDirectory,,,Please select a directory.,Please select a directory.,يُرجى تحديد دليل.,Bitte wähle ein Verzeichnis.,Selecciona un directorio.,Veuillez sélectionner un répertoire.,कृपया कोई डायरेक्टी चुनें.,Pilih direktori.,Seleziona una directory.,カテゴリを選択してください.,디렉터리를 선택하세요.,Zaznacz folder.,Selecione uma pasta.,,โปรดเลือกไดเรกเทอรี,Lütfen bir dizin seç.,Vui lòng chọn một thư mục.,请选择一个目录。,请选择一个目录。,請選擇一個目錄。
Studio.FileSync.Operations.Export,,,Export,Export,تصدير,Exportieren,Exportar,Exporter,एक्सपोर्ट करें,Ekspor,Esporta,エクスポート,내보내기,Eksportuj,Exportar,,ส่งออก,Dışa aktar,Xuất,导出,导出,匯出
