Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.LayeredClothingEditor.Main.Title,,,Accessory Fitting Tool,Accessory Fitting Tool,أداة تجربة الإكسسوارات,Accessoire-Anpassungs-Tool,Ajuste de accesorios,Outil de réglage des accessoires,ऐक्सेसरी फ़िटिंग टूल,Alat Pemasangan Aksesori,Strumento adattamento accessori,アクセサリ装着ツール,장신구 조정 도구,Narzędzie do przymierzania akcesoriów,Ajuste de acessórios,Layered Clothing Editor,เครื่องมือทดลองความพอดีของไอเท็มเสริม,Aksesuar Giydirme Aracı,Công Cụ Thử Phụ Kiện,配饰调整工具,配饰调整工具,飾品調整工具
Studio.LayeredClothingEditor.Main.ToolbarButton,,,Accessory Fitting Tool,Accessory Fitting Tool,أداة تجربة الإكسسوارات,Accessoire-Anpassungs-Tool,Ajuste de accesorios,Outil de réglage des accessoires,ऐक्सेसरी फ़िटिंग टूल,Alat Pemasangan Aksesori,Strumento adattamento accessori,アクセサリ装着ツール,장신구 조정 도구,Narzędzie do przymierzania akcesoriów,Ajuste de acessórios,Layered Clothing Editor,เครื่องมือทดลองความพอดีของไอเท็มเสริม,Aksesuar Giydirme Aracı,Công Cụ Thử Phụ Kiện,配饰调整工具,配饰调整工具,飾品調整工具
Studio.LayeredClothingEditor.Main.Tooltip,,,Edit and Preview Cage Mesh for Clothing and Accessories,Edit and Preview Cage Mesh for Clothing and Accessories,تحرير ومعاينة Mesh القفصية للثياب والإكسسوارات,Cage-Mesh für Kleidung und Accessoires bearbeiten und ansehen,Edita y previsualiza la malla de jaula para ropa y accesorios,Modification et aperçu du maillage de cage des vêtements et accessoires,"ड्रेस और ऐक्सेसरी के लिए, केज मेश को एडिट और प्रीव्यू करें.",Edit dan Preview Mesh Cage untuk Pakaian dan Aksesori,Modifica e visualizza in anteprima le cage mesh per abbigliamento e accessori,洋服とアクセサリ用のケージメッシュの編集とプレビュー,복장 및 장신구용 케이지 메시 편집 및 미리 보기,Edytuj i przeglądaj siatkę obramowania dla ubrań i akcesoriów,Edite e veja a prévia da gaiola de malha para roupas e acessórios,Edit and Preview Cage Mesh for Avatars and Clothing,แก้ไขและดูตัวอย่างเมช Cage สําหรับเสื้อผ้าและไอเท็มเสริม,Kıyafetlerin ve aksesuarların kafes mesh yapılarını düzenle ve ön izle,Chỉnh Sửa và Xem Trước Mesh Khung cho Trang Phục và Phụ Kiện,编辑并预览服装和附件的围笼网格,编辑并预览服装和附件的围笼网格,編輯和預覽服裝和飾品的圍籠網格
Studio.LayeredClothingEditor.Meta.PluginName,,,Layered Clothing Editor,Layered Clothing Editor,محرر الملابس ذات الطبقات,Editor für mehrschichtige Kleidung,Editor de ropa en capas,Éditeur de vêtements superposés,लेयर्ड क्लोदिंग एडिटर,Editor Pakaian Berlapis,Editor di abbigliamento a strati,重ね着編集,레이어드 복장 편집기,Edytor ubrań warstwowych,Editor de roupa em camadas,,เครื่องมือแก้ไขเสื้อผ้าซ้อนชั้น,Üst Üste Giyilen Kıyafet Düzenleyici,Trình Chỉnh Sửa Trang Phục Nhiều Lớp,层叠服装编辑器,层叠服装编辑器,層疊服飾編輯器
Studio.LayeredClothingEditor.Meta.ToolbarName,,,Avatar,Avatar,أفاتار,Avatar,Avatar,Avatar,अवतार,Avatar,Avatar,アバター,아바타,Awatar,Avatar,,อวาตาร์,Avatar,Avatar,虚拟形象,虚拟形象,虛擬人偶
Studio.LayeredClothingEditor.Editor.Preview,,,Preview,Preview,معاينة,Vorschau,Vista previa,Aperçu,प्रीव्यू,Preview,Anteprima,プレビュー,미리 보기,Podgląd,Prévia,,ดูตัวอย่าง,Ön İzle,Xem Trước,预览,预览,預覽
Studio.LayeredClothingEditor.Editor.Edit,,,Edit,Edit,تحرير,Bearbeiten,Editar,Modifier,एडिट करें,Edit,Modifica,編集,편집,Edytuj,Editar,,แก้ไข,Düzenle,Chỉnh Sửa,编辑,编辑,編輯
Studio.LayeredClothingEditor.Editor.Select,,,Select,Select,تحديد,Auswählen,Seleccionar,Sélectionner,चुनें,Pilih,Seleziona,選択,선택,Wybierz,Selecionar,,เลือก,Seç,Chọn,选择,选择,選擇
Studio.LayeredClothingEditor.Editor.EditAndPreview,,,Edit And Preview,Edit And Preview,تحرير ومعاينة,Bearbeiten und Vorschau,Editar y previsualizar,Modification et aperçu,एडिट और प्रीव्यू,Edit dan Preview,Modifica e visualizza in anteprima,編集とプレビュー,편집 및 미리 보기,Edytuj i przeglądaj,Editar e ver prévia,,แก้ไขและดูตัวอย่าง,Düzenle ve Ön İzle,Chỉnh Sửa Và Xem Trước,编辑和预览,编辑和预览,編輯並預覽
Studio.LayeredClothingEditor.Editor.Generate,,,Generate,Generate,إنشاء,Generieren,Generar,Générer,जेनरेट करें,Buat,Genera,作成する,생성,Wygeneruj,Gerar,,สร้าง,Oluştur,Tạo,生成,生成,生成
