Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.MaterialManager.Plugin.Name,,,Material Manager,Material Manager,مدير المواد,Material-Manager,Gestor de materiales,Gestionnaire des matériaux,मटीरियल मैनेजर,Material Manager,Gestore Materiali,素材管理,재질 관리자,Menedżer materiałów,Gerenciador de materiais,,เครื่องมือจัดการวัสดุ,Malzeme Yöneticisi,Trình Quản Lý Vật Liệu,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Plugin.Toolbar,,,Material Manager,Material Manager,مدير المواد,Material-Manager,Gestor de materiales,Gestionnaire des matériaux,मटीरियल मैनेजर,Material Manager,Gestore Materiali,素材管理,재질 관리자,Menedżer materiałów,Gerenciador de materiais,,เครื่องมือจัดการวัสดุ,Malzeme Yöneticisi,Trình Quản Lý Vật Liệu,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Plugin.Button,,,Material Manager,Material Manager,مدير المواد,Material-Manager,Gestor de materiales,Gestionnaire des matériaux,मटीरियल मैनेजर,Material Manager,Gestore Materiali,素材管理,재질 관리자,Menedżer materiałów,Gerenciador de materiais,,เครื่องมือจัดการวัสดุ,Malzeme Yöneticisi,Trình Quản Lý Vật Liệu,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Plugin.Description,,,Toggles the Material Manager window.,Toggles the Material Manager window.,لتبديل نافذة مدير المواد.,Schaltet das Material-Manager-Fenster um.,Alterna la ventana del Gestor de materiales.,Active/désactive la fenêtre du Gestionnaire des matériaux.,मटीरियल मैनेजर विंडो को टॉगल करता है.,Menyalakan/mematikan jendela Material Manager.,Attiva o disattiva la finestra Gestore Materiali.,素材管理ウィンドウの切りかえ。,재질 관리자 창을 토글합니다.,Włącza/wyłącza okno menedżera materiałów.,Alterna a janela do Gerenciador de materiais.,,เปิด/ปิดหน้าต่างเครื่องมือจัดการวัสดุ,Malzeme Yöneticisi penceresini açıp kapatır.,Bật/tắt cửa sổ Trình Quản Lý Vật Liệu.,切换材质管理器窗口。,切换材质管理器窗口。,切換材質管理器視窗。
Studio.MaterialManager.CreateDialog.CreateVariant,,,Create Variant,Create Variant,إنشاء متغير,Variante erstellen,Crear variante,Créer Variante,वेरिएंट क्रिएट करें,Buat Varian,Crea Variante,バリエーションを作成,변형 만들기,Utwórz wariant,Criar variante,,สร้างตัวแปร,Çeşit oluştur,Tạo Biến Thể,创建变量,创建变量,建立變種
Studio.MaterialManager.CreateDialog.CancelVariant,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.MaterialManager.CreateDialog.SaveVariant,,,Save,Save,حفظ,Speichern,Guardar,Sauvegarder,सेव करें,Simpan,Salva,保存,저장,Zapisz,Salvar,,บันทึก,Kaydet,Lưu,保存,保存,儲存
Studio.MaterialManager.CreateDialog.General,,,General,General,عام,Allgemein,General,Général,सामान्य,Umum,Generali,全般,일반,Ogólne,Geral,,ทั่วไป,Genel,Chung,通用,通用,一般
Studio.MaterialManager.CreateDialog.TextureMaps,,,Texture Maps,Texture Maps,خرائط الهيئة,Textur-Maps,Mapas de textura,Cartes des textures,टेक्स्चर मैप्स,Peta Tekstur,Mappe del texture,テクスチャマップ,텍스처 맵,Mapy tekstur,Mapas de textura,,แผนที่พื้นผิว,Doku Haritaları,Bản Đồ Kết Cấu,纹理地图,纹理地图,紋理圖
Studio.MaterialManager.CreateDialog.NameVariant,,,Name,Name,الاسم,Name,Nombre,Nom ,नाम,Nama,Nome,名前,이름,Nazwa,Nome,,ชื่อ,Ad,Tên,名称,名称,名稱
Studio.MaterialManager.CreateDialog.PlaceholderName,,,Material Variant name,Material Variant name,اسم متغير المادة,Name der Materialvariante,Nombre de la variante de material,Nom de la variante de matière,मटीरियल वेरिएंट का नाम,Nama Varian Material,Nome Variante Materiale,素材のバリエーション名,재질 변형 이름,Nazwa wariantu materiału,Nome da variante do material,,ชื่อตัวแปรวัสดุ,Malzeme çeşidi adı,Tên Biến Thể Vật Liệu,材质变量名称,材质变量名称,變種材質名稱
Studio.MaterialManager.CreateDialog.BaseMaterialVariant,,,Base Material,Base Material,المادة الأساسية,Basismaterial,Material base,Matériel de base,बेस मटीरियल,Material Dasar,Materiale Base,ベース素材,기본 재질,Materiał podstawowy,Material base,,วัสดุพื้นฐาน,Taban Malzemesi,Vật Liệu Cơ Bản,基础材质,基础材质,基礎材質
Studio.MaterialManager.CreateDialog.PlaceholderBaseMaterial,,,Select,Select,تحديد,Auswählen,Seleccionar,Sélectionner,चुनें,Pilih,Seleziona,選ぶ,선택,Wybierz,Selecionar,,เลือก,Seç,Chọn,选择,选择,選擇
Studio.MaterialManager.CreateDialog.ImportColorMap,,,Color,Color,اللون,Farbe,Color,Couleur,रंग,Warna,Colore,色,색상,Mapa kolorów,Cor,,สี,Renk,Màu Sắc,颜色,颜色,顏色
Studio.MaterialManager.CreateDialog.ImportNormalMap,,,Normal,Normal,عادي,Normal,Normal,Normal,नॉर्मल,Normal,Normale,標準,일반,Mapa normalnych,Normal,,ปกติ,Normal,Bình Thường,标准,标准,普通
Studio.MaterialManager.CreateDialog.ImportMetalnessMap,,,Metalness,Metalness,درجة المعدنية,Metallartigkeit,Metalidad,Métallurgie,मेटलनेस,Kelogaman,Metalità,金属度,금속성,Mapa metaliczności,Metalidade,,ความเป็นโลหะ,Metaliklik,Kim Loại,金属度,金属度,金屬度
