Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Meta.PluginWindowName,,,Plugin Installation,Plugin Installation,تثبيت المكون الإضافي,Plugin-Installation,Instalación del plugin,Installation plugin,प्लग-इन इंस्टॉलेशन,Penginstalan Plugin,Installazione plugin,プラグインのインストール,플러그인 설치,Instalacja dodatku plug-in,Instalação de plugin,Установка плагина,การติดตั้งปลั๊กอิน,Eklenti Kurulumu,Cài Đặt Plugin,插件安装,插件安装,外掛程式安裝
Studio.PluginInstallation.Main.InstallingPlugin,,,Installing plugin : {1},Installing plugin : {1},تثبيت المكون الإضافي: {1},Plugin wird installiert: {1},Instalando plugin: {1},Installer le plugin : {1},प्लग-इन इंस्टॉल किया जा रहा है : {1},Menginstal plugin: {1},Installazione del plugin: {1},プラグインをインストール中 : {1},플러그인 설치: {1},Instalowanie dodatku plug-in: {1},Instalando plugin: {1},Установка плагина: {1},กำลังติดตั้งปลั๊กอิน: {1},{1} eklentisi yükleniyor,Cài đặt plugin : {1},正在安装插件： {1},正在安装插件： {1},正在安裝外掛程式：{1}
Studio.PluginInstallation.Main.ErrorNoId,,,Error : No plugin to install,Error : No plugin to install,خطأ: لا يوجد مكون إضافي لتثبيته,Fehler: Kein Plugin zu installieren,Error: No hay plugin que instalar,Erreur : pas de plugin à installer,गड़बड़ी : इंस्टॉल करने के लिए कोई प्लग-इन नहीं,Eror: Tidak ada plugin yang bisa diinstal,Errore: nessun plugin da installare,エラー : インストールするプラグインがありません,오류: 설치할 플러그인이 없음,Błąd: Brak dodatku plug-in do zainstalowania,Erro: Não há plugin para instalar,Ошибка: плагин не установлен,ข้อผิดพลาด: ไม่มีปลั๊กอินให้ติดตั้ง,Hata: Kurulacak eklenti yok,Lỗi: Không có plugin để cài đặt,错误：未发现可安装的插件,错误：未发现可安装的插件,錯誤：沒有要安裝的外掛程式
Studio.PluginInstallation.Dialog.Ok,,,OK,OK,موافق,OK,Aceptar,OK,ठीक है,OK,OK,OK,확인,OK,OK,ОК,ตกลง,Tamam,OK,确认,确认,確定
Studio.PluginInstallation.DialogTitle.InstallPlugin,,,Installing plugin,Installing plugin,تثبيت المكون الإضافي,Plugin wird installiert,Instalando plugin,Installer plugin,प्लग-इन इंस्टॉल किया जा रहा है,Menginstal plugin,Installazione del plugin,プラグインをインストール中,플러그인 설치,Instalowanie dodatku plug-in,Instalando plugin,Установка плагина,กำลังติดตั้งปลั๊กอิน,Eklenti kuruluyor,Cài đặt plugin,正在安装插件,正在安装插件,正在安裝外掛程式
Studio.PluginInstallation.Progress.Completed,,,Installation Complete!,Installation Complete!,اكتمل التثبيت!,Installation abgeschlossen!,¡Instalación completada!,Installation terminée !,इंस्टॉलेशन पूरा हो गया!,Penginstalan Selesai!,Installazione completata!,インストール完了！,설치 완료!,Ukończono instalowanie!,Instalação completada!,Установка завершена!,การติดตั้งเสร็จสมบูรณ์!,Kurulum tamamlandı!,Đã Cài Đặt Xong!,安装完成！,安装完成！,安裝完成！
Studio.PluginInstallation.Progress.CompletedMessage,,,{1} successfully installed.,{1} successfully installed.,تم تثبيت {1} بنجاح.,{1} erfolgreich installiert.,{1} se instaló correctamente.,{1} installé avec succès.,{1} इंस्टॉल हो गया है.,{1} berhasil diinstal.,Installazione di {1} completata.,{1} をインストールできました。,{1}(을)를 설치했습니다.,Zainstalowano: {1}.,{1} instalado com sucesso.,Плагин {1} установлен.,"ติดตั้ง ""{1}"" สำเร็จแล้ว",{1} başarıyla kuruldu.,{1} đã được cài đặt thành công.,已成功安装 {1} 。,已成功安装 {1} 。,已成功安裝 {1}。
Studio.PluginInstallation.Progress.HttpError,,,HTTP Error. Could not fetch information about this plugin. Try again later. {1},HTTP Error. Could not fetch information about this plugin. Try again later. {1},خطأ HTTP. تعذَّر جلب معلومات حول هذا المكون الإضافي. حاول مرة أخرى لاحقًا. {1},HTTP-Fehler. Es konnten keine Informationen zu diesem Plugin abgerufen werden. Versuche es später erneut. {1},Error de HTTP. No se pudo recuperar la información sobre este plugin. Inténtalo de nuevo más tarde. {1},Erreur HTTP. Le cloud ne peut pas aller chercher les informations de ce plugin. Réessaie plus tard. {1},HTTP गड़बड़ी. इस प्लग-इन के बारे में जानकारी नहीं पाई जा सकी. बाद में फिर से कोशिश करें. {1},Kesalahan HTTP. Tidak bisa mengambil informasi tentang plugin ini. Coba lagi nanti. {1},Errore HTTP. Impossibile recuperare le informazioni su questo plugin. Riprova più tardi. {1},HTTPエラー。このプラグインに関する情報を取得できませんでした。また後でお試しください。 {1},HTTP 오류. 이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Błąd HTTP. Nie udało się pobrać informacji dotyczących tego dodatku plug-in. Spróbuj ponownie później. {1},Erro HTTP. Não foi possível obter informações sobre este plugin. Tente novamente mais tarde. {1},Ошибка HTTP. Не удалось получить информацию о плагине. Повторите попытку позже. {1},เกิดข้อผิดพลาด HTTP ไม่สามารถดึงข้อมูลเกี่ยวกับปลั๊กอินนี้ได้ โปรดลองอีกครั้งในภายหลัง {1},HTTP Hatası. Eklenti hakkında bilgi alınamadı. Daha sonra tekrar dene. {1},Lỗi HTTP. Không thể tìm nạp thông tin về plugin này. Hãy thử lại sau. {1},HTTP 错误。无法获取关于此插件的信息，请稍后重试。{1},HTTP 错误。无法获取关于此插件的信息，请稍后重试。{1},HTTP 錯誤。無法擷取此外掛程式的資訊。請稍後再試。{1}
Studio.PluginInstallation.Progress.NotOwned,,,You do not own this plugin. {1},You do not own this plugin. {1},أنت لا تملك هذا المكون الإضافي. {1},Du besitzt dieses Plugin nicht. {1},No tienes este plugin. {1},Tu n'as pas ce plugin. {1},आपके पास यह प्लग-इन नहीं है. {1},Kamu tidak memiliki plugin ini. {1},Non possiedi questo plugin. {1},このプラグインを所有していません。 {1},이 플러그인을 소유하고 있지 않습니다. {1},Nie posiadasz tego dodatku plug-in. {1},Você não possui este plugin. {1},Вы не владеете этим плагином. {1},คุณไม่ได้เป็นเจ้าของปลั๊กอินนี้ {1},Bu eklentiye sahip değilsin. {1},Bạn không sở hữu plugin này. {1},你尚未拥有当前插件。{1},你尚未拥有当前插件。{1},您不擁有此外掛程式。{1}
Studio.PluginInstallation.Progress.Unavailable,,,Could not fetch information about this plugin. Try again later. {1},Could not fetch information about this plugin. Try again later. {1},تعذَّر جلب معلومات حول هذا المكون الإضافي. حاول مرة أخرى لاحقًا. {1},Es konnten keine Informationen zu diesem Plugin abgerufen werden. Versuche es später erneut. {1},No se pudo recuperar la información sobre este plugin. Inténtalo de nuevo más tarde. {1},Impossible d'aller chercher les informations de ce plugin. Réessaie plus tard. {1},इस प्लग-इन के बारे में जानकारी नहीं मिल सकी. बाद में कोशिश करें. {1},Tidak bisa mengambil informasi tentang plugin ini. Coba lagi nanti. {1},Impossibile recuperare le informazioni su questo plugin. Riprova più tardi. {1},このプラグインに関する情報を取得できませんでした。また後でお試しください。 {1},이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Nie udało się pobrać informacji dotyczących tego dodatku plug-in. Spróbuj ponownie później. {1},Não foi possível obter informações sobre este plugin. Tente novamente mais tarde. {1},Не удалось получить информацию о плагине. Повторите попытку позже. {1},ไม่สามารถดึงข้อมูลเกี่ยวกับปลั๊กอินนี้ได้ ลองอีกครั้งในภายหลัง {1},Eklenti hakkında bilgi alınamadı. Daha sonra tekrar dene. {1},Không thể tìm nạp thông tin về plugin này. Hãy thử lại sau. {1},无法获取关于此插件的信息，请稍后重试。{1},无法获取关于此插件的信息，请稍后重试。{1},無法擷取此外掛程式的資訊，請稍後再試。{1}
