Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ReactDevTools.Plugin.Name,,,React DevTools,React DevTools,,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,,React DevTools,React DevTools,React DevTools,React 开发工具,React 开发工具,React DevTools
Studio.ReactDevTools.Plugin.Description,,,Use React DevTools to debug and profile your React Luau applications.,Use React DevTools to debug and profile your React Luau applications.,,"Verwende React DevTools, um deine React Luau-Anwendungen zu debuggen und zu profilieren.",Utiliza React DevTools para depurar y perfilar tus aplicaciones de React Luau.,Utilisez React DevTools pour débugger et profiler vos applications React Luau.,"अपने React Luau ऐप्लिकेशन को डीबग और प्रोफ़ाइल करने के लिए, React DevTools का इस्तेमाल करें.",Gunakan React DevTools untuk men-debug dan memprofil aplikasi React Luau.,Usa React DevTools per eseguire il debug e profilare le tue applicazioni React Luau.,React DevToolsを使用してReact Luauアプリケーションのデバッグとプロファイリングを行います。,React DevTools를 사용하여 React Luau 애플리케이션을 디버깅하고 프로파일링합니다.,Użyj React DevTools do debugowania i profilowania swoich aplikacji React Luau.,Use o React DevTools para fazer debug e criar perfis dos seus aplicativos React Luau.,,ใช้ React DevTools เพื่อ Debug และสร้างโปรไฟล์แอปพลิเคชัน React Luau ของคุณ,React Luau uygulamalarında hata ayıklamak ve profil çıkarmak için React DevTools'u kullan.,Hãy sử dụng React DevTools để gỡ lỗi và lập hồ sơ cho các ứng dụng React Luau của bạn.,使用 React 开发工具调试和分析你的 React Luau 应用程序。,使用 React 开发工具调试和分析你的 React Luau 应用程序。,使用 React DevTools 來偵錯並分析你的 React Luau 應用程式。
Studio.ReactDevTools.Plugin.Button,,,React DevTools,React DevTools,,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,React DevTools,,React DevTools,React DevTools,React DevTools,React 开发工具,React 开发工具,React DevTools
Studio.ReactDevTools.StartPage.OpenProject,,,Open Project,Open Project,,,,,,,,プロジェクトを開く,,Otwórz projekt,,,,,Mở dự án,打开项目,打开项目,
Studio.ReactDevTools.StartPage.Category.InExperienceUnprivileged,,,Creator Projects,Creator Projects,,,,,,,,クリエータープロジェクト,,Projekty twórców,,,,,Dự án của nhà sáng tạo,创作者项目,创作者项目,
Studio.ReactDevTools.StartPage.Category.InExperiencePrivileged,,,Roblox Projects,Roblox Projects,,,,,,,,Robloxプロジェクト,,Projekty Robloxa,,,,,Dự án Roblox,Roblox 项目,Roblox 项目,
Studio.ReactDevTools.StartPage.Category.RobloxPlugin,,,Roblox Plugins,Roblox Plugins,,,,,,,,Robloxプラグイン,,Dodatki plug-in Robloxa,,,,,Plugin Roblox,Roblox 插件,Roblox 插件,
Studio.ReactDevTools.StartPage.Category.CreatorPlugin,,,Creator Plugins,Creator Plugins,,,,,,,,クリエータープラグイン,,Dodatki plug-in twórców,,,,,Plugin của nhà sáng tạo,创作者插件,创作者插件,
Studio.ReactDevTools.StartPage.Title,,,Select a Project,Select a Project,,,,,,,,プロジェクトを選択,,Wybierz projekt,,,,,Chọn một dự án,选择项目,选择项目,
Studio.ReactDevTools.StartPage.AllProjects,,,All Projects,All Projects,,,,,,,,すべてのプロジェクト,,Wszystkie projekty,,,,,Tất cả dự án,所有项目,所有项目,
Studio.ReactDevTools.StartPage.GiveFeedback,,,Give Feedback,Give Feedback,,,,,,,,フィードバックを送信,,Prześlij opinię,,,,,Góp ý,给予反馈,给予反馈,
Studio.ReactDevTools.StartPage.OpenInNewWindow,,,Open in New Window,Open in New Window,,,,,,,,新しいウィンドウで開く,,Otwórz w nowym oknie,,,,,Mở trong cửa sổ mới,在新窗口中打开,在新窗口中打开,
Studio.ReactDevTools.StartPage.Filter,,,Filter,Filter,,,,,,,,絞り込み,,Filtr,,,,,Bộ lọc,过滤器,过滤器,
Studio.ReactDevTools.StartPage.Search,,,Search...,Search...,,,,,,,,サーチ...,,Wyszukaj…,,,,,Tìm kiếm...,搜索…,搜索…,
Studio.ReactDevTools.StartPage.RunContextLocal,,,Local,Local,,,,,,,,ローカル,,Lokalny,,,,,Cục bộ,本地,本地,
Studio.ReactDevTools.StartPage.RunContextRemote,,,Remote,Remote,,,,,,,,リモート,,Zdalny,,,,,Từ xa,远程,远程,
