Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.FailedToCreateMaterialTextFilteredError,,,Your prompt is filtered and cannot be generated. Try a different prompt.,Your prompt is filtered and cannot be generated. Try a different prompt.,تمت فلترة مطالبتك ولا يمكن إنشاؤها. جرِّب مطالبة مختلفة.,Deine Aufforderung wurde gefiltert und kann nicht generiert werden. Versuche eine andere Aufforderung.,Tu solicitud está filtrada y no se puede generar. Prueba con una solicitud diferente.,Votre invite est filtrée et ne peut être générée. Essaie une autre invite.,आपका प्रॉम्प्ट फ़िल्टर किया गया है और जनरेट नहीं किया जा सकता. कोई दूसरा प्रॉम्प्ट आज़माएँ.,Perintahmu difilter dan tidak dapat dibuat. Coba perintah lain.,Il tuo prompt è filtrato e non può essere generato. Prova un prompt diverso.,プロンプトがフィルタされたため、生成できません。別のプロンプトを試してください。,프롬프트가 필터링되어 생성이 불가능합니다. 다른 프롬프트를 시도해 보세요.,Twój prompt jest filtrowany i nie można go wygenerować. Spróbuj użyć innego promptu.,Sua solicitação foi filtrada e não pode ser gerada. Tente uma solicitação diferente.,,การแจ้งเตือนของคุณถูกกรอง และไม่สามารถสร้างได้ โปรดลองพรอมต์ที่แตกต่างออกไป,İstemin filtrelendi ve oluşturulamıyor. Başka bir istem dene.,Văn bản nhắc của bạn đã được lọc và không thể tạo được. Hãy thử một văn bản nhắc khác.,你的提示已经过筛选，无法生成。请尝试其他提示。,你的提示已经过筛选，无法生成。请尝试其他提示。,您的提示語已被過濾，無法產生。請嘗試不同的提示語。
Studio.StreamingServiceDispatcherRegistry.Plugin.Name,,,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,,StreamingServiceDispatcherRegistry,Yayın Hizmeti Gönderici Kaydı,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry
Studio.StreamingServiceDispatcherRegistry.Plugin.Toolbar,,,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,,StreamingServiceDispatcherRegistry,Yayın Hizmeti Gönderici Kaydı,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry,StreamingServiceDispatcherRegistry
Studio.StreamingServiceDispatcherRegistry.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.StreamingServiceDispatcherRegistry.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,يبدِّل نافذة المكون الإضافي للقالب.,Schaltet das Vorlagen-Plugin-Fenster um.,Alterna la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,टेम्प्लेट प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Templat.,Attiva/disattiva la finestra del plugin Modello.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换模板插件窗口。,切换模板插件窗口。,切換範本外掛程式視窗。
Studio.StreamingServiceDispatcherRegistry.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例！,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostOne,,,Something isn't working. Try checking your internet connection.,Something isn't working. Try checking your internet connection.,هناك مشكلة. حاول التحقق من اتصالك بالإنترنت.,Etwas funktioniert nicht. Überprüfe deine Internetverbindung.,Algo no funciona. Comprueba tu conexión a internet.,Quelque chose ne fonctionne pas. Essaie de vérifier ta connexion Internet.,कोई चीज़ काम नहीं कर रही है. अपना इंटरनेट कनेक्शन चेक करके देखें.,Ada yang tidak berfungsi. Coba periksa koneksi internet.,Qualcosa non funziona. Prova a controllare la tua connessione internet.,何らかの問題が発生しているようです。インターネット接続を確認してください。,뭔가 작동하지 않습니다. 인터넷 연결을 확인해 보세요.,Coś nie działa. Spróbuj sprawdzić połączenie internetowe.,Algo não está funcionando. Tente verificar sua conexão com a Internet.,,บางสิ่งไม่ทำงาน ลองตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ,Bir şeyler yanlış. İnternet bağlantını kontrol etmeyi dene.,Có gì đó không hoạt động. Hãy thử kiểm tra kết nối Internet của bạn.,存在故障。请检查你的网络连接。,存在故障。请检查你的网络连接。,有項目無法正常運作。請檢查您的網路連線。
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ConnectionLostTwo,,,"Hmm, something isn't right. Check your internet connection?","Hmm, something isn't right. Check your internet connection?",حسنًا، توجد مشكلة. هل تريد التحقق من اتصالك بالإنترنت؟,"Hmm, irgendetwas stimmt nicht. Überprüfe deine Internetverbindung?",Algo no está bien. ¿Comprueba tu conexión a internet?,"Hmm, quelque chose ne va pas. Vérifie ta connexion Internet ?","हम्म, कुछ गड़बड़ है. अपना इंटरनेट कनेक्शन चेक करना है?","Hmm, ada yang tidak beres. Coba cek koneksi internet?","Hmm, qualcosa non va. Controlla la tua connessione internet?",何か不具合があるようです。インターネット接続をご確認いただけますか？,"음, 어딘가에 문제가 있는 것 같습니다. 인터넷 연결을 확인하시겠어요?","Hm, coś jest nie tak. Sprawdzisz połączenie internetowe?","Hmm, algo não está certo. Verifique sua conexão com a Internet.",,อืม มีบางสิ่งไม่ถูกต้อง ตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณหรือไม่?,"Hmm, bir şeyler yanlış. İnternet bağlantını kontrol etmeye ne dersin?",Có gì đó không đúng. Bạn muốn kiểm tra kết nối Internet của mình không?,嗯，存在故障。检查你的网络连接？,嗯，存在故障。检查你的网络连接？,咦，有點不對勁。檢查一下您的網路連線吧？
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorOne,,,"I wish I could help more today. I'm still in Beta, so everyone gets a daily limit of messages.","I wish I could help more today. I'm still in Beta, so everyone gets a daily limit of messages.",أتمنى لو أستطيع تقديم المزيد من المساعدة اليوم. ما زلتُ في مرحلة الإصدار التجريبي، لذا يحصل كل شخص على حدٍّ أقصى يومي من الرسائل.,"Ich wünschte, ich könnte heute mehr helfen. Ich bin noch in der Beta-Phase, deshalb bekommt jeder ein tägliches Limit an Nachrichten.","Ojalá pudiera ayudarte más hoy. Todavía estoy en Beta, así que todos reciben un límite diario de mensajes.","J'aimerais pouvoir aider plus aujourd'hui. Je suis toujours en bêta, donc tout le monde obtient une limite journalière de messages.","काश, आपकी कुछ और मदद हो पाती. मैं अभी भी बीटा वर्ज़न में हूँ, इसलिए हर कोई रोज़ के लिए तय की गई संख्या में ही मैसेज पा सकता है.","Saya ingin lebih banyak membantu hari ini. Namun, saya masih versi Beta, jadi semua pengguna memiliki batas pesan harian.","Vorrei poter aiutare di più oggi. Sono ancora in Beta, quindi tutti ricevono un limite giornaliero di messaggi.",残念ですが今日はここまでしか対応できません。まだベータ版なので1日ごとのメッセージ数に上限があります。,오늘은 제가 더 많은 도움을 드릴 수 있었으면 좋겠습니다. 저는 아직 베타 버전이므로 사용자별로 이용 가능한 일일 메시지 수에 한도가 있습니다.,"Żałuję, że na dziś to już wszystko, ale jestem nadal w wersji beta i wszystkich obowiązują dzienne limity wiadomości.","Gostaria de poder ajudar mais, mas ainda estou em Beta, então todos recebem um limite diário de mensagens.",,ในวันนี้ฉันอยากให้ความช่วยเหลือได้มากกว่านี้ แต่ฉันยังคงเป็นเวอร์ชันเบต้าอยู่ ดังนั้น ทุกคนจะได้รับข้อความเป็นจำนวนจำกัดรายวัน,Keşke bugün daha fazla yardımcı olabilseydim. Hâlâ beta sürümünde olduğumdan herkesin günlük bir mesaj sınırı var.,"Tớ ước mình có thể giúp bạn thêm hôm nay. Nhưng tôi vẫn đang trong giai đoạn Beta, nên mọi người đều bị giới hạn số lần nhắn tin mỗi ngày.",很抱歉不能提供更多帮助。目前我还处于测试版本，每个用户会每日收到的消息有限制。,很抱歉不能提供更多帮助。目前我还处于测试版本，每个用户会每日收到的消息有限制。,我很希望能幫上更多忙，但我目前還處於 Beta 測試階段，所以每人每日可傳送的訊息有限。
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorTwo,,,"Sorry, you've reached your messaging limit today. I'll be ready to help tomorrow!","Sorry, you've reached your messaging limit today. I'll be ready to help tomorrow!",عذرًا، لقد وصلت إلى الحدّ الأقصى المسموح به للرسائل اليوم. سأكون مستعدًا للمساعدة غدًا!,"Leider hast du heute dein Nachrichtenlimit erreicht. Morgen bin ich wieder bereit, dir zu helfen!","Lo siento, alcanzaste tu límite de mensajes hoy. Estaré listo para ayudarte mañana.","Désolé, tu as atteint ta limite de messages aujourd'hui. Je serai prêt à t'aider demain !","माफ़ करें, आपकी आज की मैसेज भेजने की लिमिट पूरी हो गई है. आपकी मदद के लिए कल फिर से तैयार रहेंगे!","Maaf, kamu sudah mencapai batas pesan hari ini. Saya akan siap membantu besok!","Spiacente, hai raggiunto il tuo limite di messaggi oggi. Sarò pronto ad aiutarti domani!",すみませんが、今日のメッセージ数が上限に達しました。明日、お手伝いします！,죄송합니다. 오늘 이용 가능한 메시지 수가 한도에 도달했습니다. 내일 또 도와드릴게요!,"Niestety, twój limit wiadomości na dziś został osiągnięty. Chętnie pomogę ci jutro!","Desculpe, você atingiu seu limite de mensagens hoje. Estarei pronto para ajudar amanhã!",,ขออภัย การส่งข้อความของคุณได้ถึงขีดจำกัดของวันนี้แล้ว ฉันจะพร้อมให้ความช่วยเหลืออีกครั้งในวันพรุ่งนี้!,"Üzgünüm, bugünkü mesaj sınırına ulaştın. Yarın yeniden yardım etmeye hazır olacağım!","Rất tiếc, bạn đã đạt giới hạn số lần nhắn tin hôm nay. Tôi sẽ sẵn sàng giúp đỡ vào ngày mai!",抱歉，你已达到今日消息上限。我已做好准备，明日为你提供帮助！,抱歉，你已达到今日消息上限。我已做好准备，明日为你提供帮助！,抱歉，您已達到今日的訊息上限。明天我會準備好為您提供協助！
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorThree,,,You've reached your daily limit for this Beta feature. Come back tomorrow!,You've reached your daily limit for this Beta feature. Come back tomorrow!,لقد وصلت إلى الحدّ الأقصى اليومي المسموح به لميزة الإصدار التجريبي الحالية. يمكنك إعادة المحاولة غدًا!,Du hast dein Tageslimit für diese Beta-Funktion erreicht. Komm morgen wieder!,Has alcanzado tu límite diario para esta función Beta. ¡Regresa mañana!,Tu as atteint ta limite quotidienne pour cette fonctionnalité Bêta. Reviens demain !,इस बीटा फ़ीचर के लिए आप अपनी रोज़ की लिमिट तक पहुँच गए हैं. कल फिर से संपर्क करें!,Kamu sudah mencapai batas harian untuk fitur Beta. Kembali lagi besok!,Hai raggiunto il tuo limite giornaliero per questa funzione Beta. Torna domani!,このベータ機能の1日あたりの制限に達しました。明日またお試しください！,베타 기능의 일일 한도에 도달했습니다. 내일 또 오세요!,Osiągnięto limit dzienny dla tej funkcji w wersji beta. Wróć jutro!,Você atingiu seu limite diário para este recurso Beta. Volte amanhã!,,คุณสมบัติเวอร์ชันเบต้านี้ถึงขีดจำกัดรายวันแล้ว กลับมาใหม่อีกครั้งในวันพรุ่งนี้!,Beta özellik için günlük sınıra ulaştın. Yarın tekrar gel!,Bạn đã đạt giới hạn hàng ngày đối với tính năng Beta này. Hãy quay lại vào ngày mai!,你已达到此测试功能的每日使用上限。请明天再试！,你已达到此测试功能的每日使用上限。请明天再试！,您已達到此 Beta 測試功能的每日上限。明天再回來吧！
