Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TerrainToolsV2.Action.Apply,,,Apply,Apply,,Anwenden,Aplicar,Appliquer,Terapkan,Applica,適用,적용,,Aplicar,Применить,ปรับใช้,Uygula,Áp Dụng,应用,应用,套用
Studio.TerrainToolsV2.Action.Back,,,Back,Back,,Zurück,Volver,Retour,Kembali,Indietro,戻る,뒤로,,Voltar,Назад,ย้อนกลับ,Geri,Lưng,返回,返回,返回
Studio.TerrainToolsV2.Action.Cancel,,,Cancel,Cancel,,Abbrechen,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,,Cancelar,Отмена,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.TerrainToolsV2.Action.Clear,,,Clear,Clear,,Löschen,Borrar,Enlever,Hapus,Cancella,消す,지우기,,Limpar,Очистить,เคลียร์,Temizle,Dọn Sạch,清除,清除,清除
Studio.TerrainToolsV2.Action.Close,,,Close,Close,,Schließen,Cerrar,Fermer,Tutup,Chiudi,閉じる,닫기,,Fechar,Закрыть,ปิด,Kapat,Đóng,关闭,关闭,關閉
Studio.TerrainToolsV2.Action.Continue,,,Continue,Continue,,Fortfahren,Continuar,Continuer,Lanjutkan,Continua,続ける,계속,,Continuar,Продолжить,ดำเนินการต่อ,Devam,Tiếp Tục,继续,继续,繼續
Studio.TerrainToolsV2.Action.Create,,,Create,Create,,Erstellen,Crear,Créer,Buat,Crea,作成,만들기,,Criar,Создать,สร้าง,Oluştur,Tạo,创建,创建,建立
Studio.TerrainToolsV2.Action.Cut,,,Cut,Cut,,Ausschneiden,Cortar,Couper,Potong,Taglia,切り抜き,잘라내기,,Cortar,Вырезать,ตัด,Kes,Cắt,剪切,剪切,剪下
Studio.TerrainToolsV2.Action.Edit,,,Edit,Edit,,Bearbeiten,Editar,Modifier,Edit,Modifica,編集,편집,,Editar,Изменить,แก้ไข,Düzenle,Chỉnh Sửa,编辑,编辑,編輯
Studio.TerrainToolsV2.Action.Exit,,,Exit,Exit,,Verlassen,Salir,Sortir,Keluar,Esci,退出,나가기,,Sair,Выход,ออก,Çık,Thoát,退出,退出,退出
Studio.TerrainToolsV2.Action.File,,,File,File,,Datei,Archivo,Classer,File,File,ファイル,파일,,Arquivo,Файл,ไฟล์,Dosyala,Tệp,文件,文件,檔案
Studio.TerrainToolsV2.Action.Find,,,Find,Find,,Suchen,Buscar,Trouver,Cari,Trova,探す,찾기,,Localizar,Найти,ค้นหา,Bul,Tìm,查找,查找,尋找
Studio.TerrainToolsV2.Action.Goto,,,Goto,Goto,,Gehe zu,Ir a,Aller,Buka,Vai a,別ページに移動,이동,,Ir para,Перейти,ไปที่,Git,Đi Đến,前往,前往,前往
Studio.TerrainToolsV2.Action.Help,,,Help,Help,,Hilfe,Ayuda,Aide,Bantuan,Guida,ヘルプ,도움말,,Ajuda,Справка,ความช่วยเหลือ,Yardım,Trợ Giúp,帮助,帮助,說明
Studio.TerrainToolsV2.Action.Home,,,Home,Home,,Start,Inicio,Accueil,Beranda,Home,ホーム,홈,,Início,Главная,หน้าหลัก,Ana Sayfa,Trang Chủ,首页,首页,首頁
Studio.TerrainToolsV2.Action.Ignore,,,Ignore,Ignore,,Ignorieren,Omitir,Ignorer,Abaikan,Ignora,無視,무시,,Ignorar,Пропустить,ละเว้น,Yok Say,Bỏ Qua,忽略,忽略,忽略
Studio.TerrainToolsV2.Action.Insert,,,Insert,Insert,,Einfügen,Insertar,Insérer,Masukkan,Immetti,挿入,삽입,,Inserir,Вставить,แทรก,Ekle,Chèn,插入,插入,插入
Studio.TerrainToolsV2.Action.New,,,New,New,,Neu,Nuevo,Nouveau,Baru,Nuovo,新規,새로 만들기,,Novo,Создать,ใหม่,Yeni,Mới,新增,新增,新增
Studio.TerrainToolsV2.Action.Next,,,Next,Next,,Weiter,Siguiente,Suivant,Lanjutkan,Avanti,次へ,다음,,Próximo,Далее,ถัดไป,Sonraki,Tiếp Theo,下一个,下一个,下一個
Studio.TerrainToolsV2.Action.No,,,No,No,,Nein,No,Non,Tidak,No,いいえ,아니요,,Não,Нет,ไม่,Hayır,Không,否,否,否
Studio.TerrainToolsV2.Action.OK,,,OK,OK,,OK,Aceptar,OK,OK,OK,OK,확인,,OK,ОК,ตกลง,Tamam,OK,确认,确认,確定
Studio.TerrainToolsV2.Action.Okay,,,Okay,Okay,,OK,Aceptar,OK,Oke,Okay,OK,확인,,OK,ОК,ตกลง,Tamam,Đồng Ý,好的,好的,好
Studio.TerrainToolsV2.Action.Open,,,Open,Open,,Öffnen,Abrir,Ouvrir,Buka,Apri,開く,열기,,Abrir,Открыть,เปิด,Aç,Mở,打开,打开,開啟
Studio.TerrainToolsV2.Action.Pause,,,Pause,Pause,,Pausieren,Pausar,Pause,Jeda,Pausa,一時停止,일시 중지,,Pausar,Пауза,หยุดชั่วคราว,Duraklat,Tạm Dừng,暂停,暂停,暫停
Studio.TerrainToolsV2.Action.Play,,,Play,Play,,Spielen,Jugar,Jouer,Mainkan,Gioca,プレイ,플레이,,Jogar,Воспроизвести,เล่น,Oynat,Chơi,开始游戏,开始游戏,開始
Studio.TerrainToolsV2.Action.Previous,,,Previous,Previous,,Zurück,Anterior,Précédent,Sebelumnya,Precedente,前へ,이전,,Anterior,Предыдущий,ก่อนหน้า,Önceki,Trước,上一个,上一个,上一個
Studio.TerrainToolsV2.Action.Redo,,,Redo,Redo,,Wiederholen,Rehacer,Refaire,Ulangi,Ripeti,やり直す,다시 실행,,Refazer,Вернуть,ทำใหม่,Yinele,Làm Lại,重做,重做,重做
Studio.TerrainToolsV2.Action.Reload,,,Reload,Reload,,Erneut laden,Volver a cargar,Recharger,Muat Ulang,Ricarica,再読み込み,다시 불러오기,,Recarregar,Перезагрузить,โหลดอีกครั้ง,Yeniden Yükle,Tải Lại,重新加载,重新加载,重新載入
Studio.TerrainToolsV2.Action.Remove,,,Remove,Remove,,Entfernen,Eliminar,Retirer,Hapus,Rimuovi,削除,제거,,Remover,Удалить,ลบ,Kaldır,Bỏ,移除,移除,移除
Studio.TerrainToolsV2.Action.Rename,,,Rename,Rename,,Umbenennen,Renombrar,Renommer,Ubah Nama,Rinomina,名前を変更,이름 변경,,Renomear,Переименовать,เปลี่ยนชื่อ,Yeniden Adlandır,Đổi Tên,重命名,重命名,重新命名
Studio.TerrainToolsV2.Action.Replace,,,Replace,Replace,,Ersetzen,Reemplazar,Remplacer,Ganti,Sostituisci,置き換え,바꾸기,,Substituir,Заменить,แทนที่,Değiştir,Thay Thế,替换,替换,取代
Studio.TerrainToolsV2.Action.Reset,,,Reset,Reset,,Zurücksetzen,Reiniciar,Réinitialiser,Reset,Reimposta,再設定,재설정,,Reiniciar,Сброс,รีเซ็ต,Sıfırla,Đặt Lại,重置,重置,重置
Studio.TerrainToolsV2.Action.Retry,,,Retry,Retry,,Erneut versuchen,Reintentar,Réessayer,Coba Lagi,Riprova,再試行,다시 시도,,Tentar novamente,Повтор,ลองอีกครั้ง,Tekrar Dene,Thử Lại,重试,重试,重試
Studio.TerrainToolsV2.Action.Save,,,Save,Save,,Speichern,Guardar,Sauvegarder,Simpan,Salva,保存,저장,,Salvar,Сохранить,บันทึก,Kaydet,Lưu,保存,保存,儲存
Studio.TerrainToolsV2.Action.Share,,,Share,Share,,Teilen,Compartir,Partager,Bagikan,Condividi,シェア,공유,,Compartilhar,Поделиться,แบ่งปัน,Paylaş,Chia Sẻ,分享,分享,分享
Studio.TerrainToolsV2.Action.Stop,,,Stop,Stop,,Stoppen,Detener,Arrêter,Berhenti,Interrompi,停止,중지,,Parar,Стоп,หยุด,Durdur,Dừng,停止,停止,停止
Studio.TerrainToolsV2.Action.Undo,,,Undo,Undo,,Rückgängig,Deshacer,Défaire,Urungkan,Annulla,取り消す,실행 취소,,Desfazer,Отменить,ยกเลิก,Geri Al,Hoàn Tác,撤消,撤消,復原
Studio.TerrainToolsV2.Action.Update,,,Update,Update,,Aktualisieren,Actualizar,Mettre à jour,Update,Aggiorna,更新,업데이트,,Atualizar,Обновить,อัปเดต,Güncelle,Cập Nhật,更新,更新,更新
Studio.TerrainToolsV2.Action.Yes,,,Yes,Yes,,Ja,Sí,Oui,Ya,Sì,はい,예,,Sim,Да,ใช่,Evet,Có,是,是,是
Studio.TerrainToolsV2.AssetIdSelector.PlaceHolderText,,,Select game asset image,Select game asset image,,Spielobjektbild auswählen,Seleccionar imagen del recurso del juego,Sélectionner l'image du jeu,Pilih gambar aset game,Seleziona immagine della risorsa di gioco,ゲームアセット画像を選択,게임 애셋 이미지 선택,,Selecionar imagem de ativo do jogo,ID ресурса,เลือกภาพทรัพยากรเกม,Oyun varlığı görseli seç,Chọn hình ảnh tài sản trò chơi,选择游戏素材图片,选择游戏素材图片,選擇遊戲素材圖像
Studio.TerrainToolsV2.BrushSettings.Advanced,,,Advanced,Advanced,,Erweitert,Avanzado,Avancé,Lanjutan,Avanzato,詳細設定,고급,,Avançado,Расширенные настройки,ขั้นสูง,Gelişmiş,Nâng Cao,高级,高级,進階
Studio.TerrainToolsV2.BrushSettings.Auto,,,Auto,Auto,,Auto,Autom.,Auto,Otomatis,Auto,自動,자동,,Automático,Авто,อัตโนมัติ,Oto,Tự Động,自动,自动,自動
Studio.TerrainToolsV2.BrushSettings.BaseSize,,,Base Size,Base Size,,Basisgröße,Tamaño base,Taille de base,Ukuran Dasar,Dimensione base,ベースのサイズ,베이스 크기,,Tamanho base,Размер базы,ขนาดฐาน,Taban Boyutu,Kích Thước Cơ Sở,笔刷尺寸,笔刷尺寸,筆刷大小
Studio.TerrainToolsV2.BrushSettings.BottomPivot,,,Bot,Bot,,Bot,Inf.,Bot,Bot,Inf,底,바닥,,Abaixo,Низ,ล่าง,Alt,Bot,底部,底部,底部
Studio.TerrainToolsV2.BrushSettings.BrushSettings,,,Brush Settings,Brush Settings,,Pinseleinstellungen,Configuración del pincel,Paramètre de brosse,Pengaturan Kuas,Impostazioni pennello,ブラシ設定,브러시 설정,,Configurações do pincel,Параметры кисти,การตั้งค่าแปรง,Fırça Ayarları,Cài Đặt Cọ Vẽ,笔刷设置,笔刷设置,筆刷設定
Studio.TerrainToolsV2.BrushSettings.CenterPivot,,,Cen,Cen,,Mitte,Centro,Cen,Teng,Cen,中心,중심,,Cen,Центр,กลาง,Merkez,Giữa,居中,居中,中心
Studio.TerrainToolsV2.BrushSettings.FlattenMode,,,Flatten Mode,Flatten Mode,,Abflachungsmodus,Modo Acoplar,Mode d'aplanissement,Mode Ratakan,Modalità appiattimento,平地化モード,평탄화 모드,,Modo achatar,Режим плоскости,โหมดการทำให้เรียบแบน,Düzleştirme Modu,Chế Độ Làm Phẳng,展平模式,展平模式,平地化模式
Studio.TerrainToolsV2.BrushSettings.IgnoreWater,,,Ignore Water,Ignore Water,,Wasser ignorieren,Omitir agua,Ignorer l'eau,Abaikan Air,Ignora acqua,水を無視,물 무시,,Ignorar água,Игнорировать воду,ละเว้นน้ำ,Suları yok say,Bỏ Qua Nước,忽略水域,忽略水域,忽略水域
Studio.TerrainToolsV2.BrushSettings.Material,,,Material,Material,,Material,Material,Matériel,Material,Materiale,素材,재질,,Material,Материал,วัสดุ,Malzeme,Vật Liệu,材质,材质,材質
Studio.TerrainToolsV2.BrushSettings.PivotPosition,,,Pivot Position,Pivot Position,,Drehpunktposition,Posición del pivote,Position pivot,Posisi Pivot,Posizione pivot,ピボット位置,피벗 위치,,Posição dinâmica,Положение точки поворота,ตำแหน่งจุดหมุน,Eksen Pozisyonu,Vị Trí Điểm Xoay,枢轴位置,枢轴位置,軸點位置
