Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.UserInputPlayback.Plugin.Description,,,Open User Input Playback tool,Open User Input Playback tool,فتح أداة إعادة تشغيل مدخلات المستخدم,Wiedergabetool für Benutzereingaben öffnen,Abrir la herramienta de reproducción de entrada de usuario,Ouvrir l'outil de lecture des données de l'utilisateur,यूज़र इनपुट प्लेबैक टूल खोलें,Buka alat Playback Input Pengguna,Apri lo strumento di riproduzione dell'input dell'utente,ユーザー入力再生ツールを開く,사용자 입력 재생 도구 열기,Otwórz narzędzie do odtwarzania danych wejściowych użytkownika,Abra a ferramenta de reprodução de entrada de usuário,,เปิดเครื่องมือการเล่นอินพุตผู้ใช้งาน,Kullanıcı Girişi Oynatma Aracı'nı aç,Mở công cụ Phát Lại Đầu Vào của Người Dùng,打开用户输入回放工具,打开用户输入回放工具,開啟使用者輸入重現工具
Studio.UserInputPlayback.PlaybackTabView.StatusMessageShouldStartPlayback,,,"Status: Press Studio ""Play"" button to start playback.","Status: Press Studio ""Play"" button to start playback.","الحالة: اضغط على زر ""تشغيل"" في Studio لبدء إعادة التشغيل.","Status: Drücke die Studio-Taste ""Wiedergabe,"" um die Wiedergabe zu starten.",Estado: Presiona el botón Reproducir de Studio para iniciar la reproducción.,"Statut : Appuyer sur le bouton ""Play"" du Studio pour commencer la lecture.","स्टेटस : प्लेबैक शुरू करने के लिए Studio ""प्ले"" बटन दबाएं.","Status: Tekan tombol ""Putar"" di Studio untuk memulai playback.","Stato: premi il pulsante ""Riproduci"" in Studio per avviare la riproduzione.",状況: Studioの「プレイ」（再生）ボタンを押して再生（プレイバック）を開始。,상태: Studio '플레이' 버튼을 눌러 재생을 시작하세요.,"Status: Naciśnij w Studio przycisk odtwarzania, aby rozpocząć odtwarzanie.","Status: Pressione o botão ""Jogar"" do Studio para iniciar a reprodução.",,"สถานะ: กดปุ่ม ""เล่น"" Studio เพื่อเริ่มการเล่น","Durum: Oynatmayı başlatmak için Studio'nun ""Oynat"" düğmesine bas.","Trạng thái: Nhấn Nút ""Play"" (Phát) của Studio để bắt đầu phát lại.",状态：按住 Studio “播放”按钮开始回放。,状态：按住 Studio “播放”按钮开始回放。,狀態：按下 Studio「開始」按鈕來開始重現。
Studio.UserInputPlayback.PlaybackTabView.PlayButtonReady,,,Ready to Play,Ready to Play,جاهز للتشغيل,Bereit zur Wiedergabe,Listo para reproducir,Prêt à jouer,प्ले करने के लिए तैयार,Siap Memutar,Pronto per la riproduzione,プレイ準備完了,플레이 준비 완료,Gotowość do odtwarzania,Pronto para jogar,,พร้อมเล่น,Oyuna hazır,Sẵn Sàng Phát,开始游玩,开始游玩,重現就緒
Studio.UserInputPlayback.PlaybackTabView.RecordingNumberOfEvents,,,Number of Events,Number of Events,عدد الأحداث,Anzahl der Ereignisse,Número de eventos,Nombre d'événements,इवेंट की संख्या,Jumlah Peristiwa,Numero di eventi,イベント数,이벤트 수,Liczba zdarzeń,Número de Eventos,,จำนวนอีเวนต์,Olay sayısı,Số Lượng Sự Kiện,活动数量,活动数量,事件數
Studio.UserInputPlayback.RecordTabView.EmulationDeviceOrientation,,,Orientation,Orientation,الاتجاه,Ausrichtung,Orientación,Orientation,ओरिएंटेशन,Orientasi,Orientamento,向き,방향,Orientacja,Orientação,,การจัดวาง,Yön,Định Hướng,方向,方向,方向
Studio.UserInputPlayback.PlaybackTabView.PlayButtonPlay,,,Play...,Play...,تشغيل...,Wiedergabe ...,Reproducir...,Jouer...,प्ले किया जा रहा है...,Putar...,Riproduci...,再生...,플레이...,Odtwórz...,Jogar...,,เล่น...,Oynat...,Chơi...,游玩……,游玩……,開始……
Studio.UserInputPlayback.PlaybackTabView.RecordingDevice,,,Device,Device,الجهاز,Gerät,Dispositivo,Appareil,डिवाइस,Perangkat,Dispositivo,デバイス,기기,Urządzenie,Dispositivo,,อุปกรณ์,Cihaz,Thiết Bị,设备,设备,裝置
Studio.UserInputPlayback.RecordTabView.StatusMessageNotRecording,,,Status: Not recording.,Status: Not recording.,الحالة: ليس هناك تسجيل جارٍ.,Status: Keine Aufnahme.,Estado: No está grabando.,Statut : Pas d'enregistrement.,स्टेटस : रिकॉर्ड नहीं किया जा रहा है.,Status: Tidak merekam.,Stato: non in registrazione.,状況: 録画していません。,상태: 녹화 중이 아닙니다.,Status: Nie nagrano.,Status: Sem gravação.,,สถานนะ: ไม่ได้บันทึก,Durum: Kaydedilmiyor.,Trạng thái: Không ghi âm.,状态：未录制,状态：未录制,狀態：未在錄製。
Studio.UserInputPlayback.ChooseRecordingNamePopUp.Title,,,Save Recording As,Save Recording As,حفظ التسجيل باسم,Aufnahme speichern als,Guardar grabación como,Enregistrer l'enregistrement sous,इस रूप में रिकॉर्डिंग सेव करें,Simpan Rekaman sebagai,Salva registrazione con nome,録画に名前をつけて保存：,다른 이름으로 녹화 저장,Zapisz nagranie jako,Salvar gravação como,,บันทึกการบันทึกเป็น,Kaydı farklı kaydet:,Lưu Bản Ghi Dưới Dạng,将记录保存为,将记录保存为,另存錄製
Studio.UserInputPlayback.Plugin.Toolbar,,,User Input,User Input,مدخلات المستخدم,Benutzereingabe,Entrada de usuario,Saisie de l'utilisateur,यूज़र इनपुट,Input Pengguna,Input utente,ユーザー入力,사용자 입력,Dane wejściowe użytkownika,Entrada do usuário,,อินพุตผู้ใช้งาน,Kullanıcı Girişi,Đầu Vào của Người Dùng,用户输入,用户输入,使用者輸入
