Key,Context,Example,Source,en-us
Studio.TerrainEditor.Main.Title,,,Terrain Editor,Terrain Editor
Studio.TerrainEditor.Main.ToolbarButton,,,Editor,Editor
Studio.TerrainEditor.Main.Tooltip,,,"Add, remove, and modify terrain","Add, remove, and modify terrain"
Studio.TerrainEditor.MainButtons.Generate,,,Generate,Generate
Studio.TerrainEditor.MainButtons.Add,,,Add,Add
Studio.TerrainEditor.MainButtons.Subtract,,,Subtract,Subtract
Studio.TerrainEditor.MainButtons.Paint,,,Paint,Paint
Studio.TerrainEditor.MainButtons.Grow,,,Grow,Grow
Studio.TerrainEditor.MainButtons.Erode,,,Erode,Erode
Studio.TerrainEditor.MainButtons.Smooth,,,Smooth,Smooth
Studio.TerrainEditor.MainButtons.Regions,,,Regions,Regions
Studio.TerrainEditor.MainButtons.GenerateTooltip,,,Generate landscapes of terrain.,Generate landscapes of terrain.
Studio.TerrainEditor.MainButtons.AddTooltip,,,Click and hold to add terrain.,Click and hold to add terrain.
Studio.TerrainEditor.MainButtons.SubtractTooltip,,,Click and hold to remove terrain.,Click and hold to remove terrain.
Studio.TerrainEditor.MainButtons.PaintTooltip,,,Paint the material of the terrain.,Paint the material of the terrain.
Studio.TerrainEditor.MainButtons.GrowTooltip,,,Click and hold to grow and expand terrain.,Click and hold to grow and expand terrain.
Studio.TerrainEditor.MainButtons.ErodeTooltip,,,Click and hold to erode and remove terrain.,Click and hold to erode and remove terrain.
Studio.TerrainEditor.MainButtons.SmoothTooltip,,,Brush to smooth out rough or jagged terrain.,Brush to smooth out rough or jagged terrain.
Studio.TerrainEditor.MainButtons.RegionsTooltip,,,Manipulate regions of smooth terrain.,Manipulate regions of smooth terrain.
Studio.TerrainEditor.Generate.BiomeMountains,,,Mountains,Mountains
Studio.TerrainEditor.Generate.BiomeCanyons,,,Canyons,Canyons
Studio.TerrainEditor.Generate.BiomeDunes,,,Dunes,Dunes
Studio.TerrainEditor.Generate.BiomeArctic,,,Arctic,Arctic
Studio.TerrainEditor.Generate.BiomeLavaflow,,,Lavaflow,Lavaflow
Studio.TerrainEditor.Generate.BiomeHills,,,Hills,Hills
Studio.TerrainEditor.Generate.BiomePlains,,,Plains,Plains
Studio.TerrainEditor.Generate.BiomeMarsh,,,Marsh,Marsh
Studio.TerrainEditor.Generate.BiomeWater,,,Water,Water
Studio.TerrainEditor.Generate.BiomeSizeSmall,,,Small (50),Small (50)
Studio.TerrainEditor.Generate.BiomeSizeMedium,,,Medium (100),Medium (100)
Studio.TerrainEditor.Generate.BiomeSizeLarge,,,Large (200),Large (200)
Studio.TerrainEditor.Generate.BiomeSizeMassive,,,Massive (500),Massive (500)
Studio.TerrainEditor.Generate.MapSizeSmall,,,Small (128),Small (128)
Studio.TerrainEditor.Generate.MapSizeMedium,,,Medium (256),Medium (256)
Studio.TerrainEditor.Generate.MapSizeLarge,,,Large (512),Large (512)
Studio.TerrainEditor.Generate.MapSizeMassive,,,Massive (1024),Massive (1024)
Studio.TerrainEditor.Generate.MapSettings,,,Map Settings,Map Settings
Studio.TerrainEditor.Generate.MapSize,,,Map Size,Map Size
Studio.TerrainEditor.Generate.Seed,,,Seed,Seed
Studio.TerrainEditor.Generate.Caves,,,Caves,Caves
Studio.TerrainEditor.Generate.BiomesSettings,,,Biomes Settings,Biomes Settings
Studio.TerrainEditor.Generate.BiomeSize,,,Biome Size,Biome Size
Studio.TerrainEditor.Generate.Biomes,,,Biomes,Biomes
Studio.TerrainEditor.Generate.ButtonGenerate,,,Generate,Generate
Studio.TerrainEditor.Generate.ButtonClear,,,Clear,Clear
Studio.TerrainEditor.Materials.Grass,,,Grass,Grass
Studio.TerrainEditor.Materials.Sand,,,Sand,Sand
Studio.TerrainEditor.Materials.Rock,,,Rock,Rock
Studio.TerrainEditor.Materials.Water,,,Water,Water
Studio.TerrainEditor.Materials.Ground,,,Ground,Ground
Studio.TerrainEditor.Materials.Sandstone,,,Sandstone,Sandstone
Studio.TerrainEditor.Materials.Slate,,,Slate,Slate
Studio.TerrainEditor.Materials.Snow,,,Snow,Snow
Studio.TerrainEditor.Materials.Mud,,,Mud,Mud
Studio.TerrainEditor.Materials.Brick,,,Brick,Brick
Studio.TerrainEditor.Materials.Concrete,,,Concrete,Concrete
Studio.TerrainEditor.Materials.Glacier,,,Glacier,Glacier
Studio.TerrainEditor.Materials.WoodPlanks,,,Wood Planks,Wood Planks
Studio.TerrainEditor.Materials.CrackedLava,,,Cracked Lava,Cracked Lava
Studio.TerrainEditor.Materials.Basalt,,,Basalt,Basalt
Studio.TerrainEditor.Materials.Ice,,,Ice,Ice
Studio.TerrainEditor.Materials.Salt,,,Salt,Salt
Studio.TerrainEditor.Materials.Cobblestone,,,Cobblestone,Cobblestone
Studio.TerrainEditor.Materials.Limestone,,,Limestone,Limestone
Studio.TerrainEditor.Materials.Asphalt,,,Asphalt,Asphalt
Studio.TerrainEditor.Materials.LeafyGrass,,,Leafy Grass,Leafy Grass
Studio.TerrainEditor.Materials.Pavement,,,Pavement,Pavement
Studio.TerrainEditor.Brush.BrushSettings,,,Brush Settings,Brush Settings
Studio.TerrainEditor.Brush.Size,,,Size,Size
Studio.TerrainEditor.Brush.Strength,,,Strength,Strength
Studio.TerrainEditor.Brush.MaterialSettings,,,Material Settings,Material Settings
Studio.TerrainEditor.Brush.Auto,,,Auto,Auto
Studio.TerrainEditor.Brush.Advanced,,,Advanced,Advanced
Studio.TerrainEditor.Brush.PlaneLock,,,Plane Lock,Plane Lock
Studio.TerrainEditor.Brush.SnapToGrid,,,Snap to Grid,Snap to Grid
Studio.TerrainEditor.Brush.IgnoreWater,,,Ignore Water,Ignore Water
Studio.TerrainEditor.Brush.Material,,,Material,Material
Studio.TerrainEditor.Brush.Shape,,,Shape,Shape
Studio.TerrainEditor.Regions.EditTools,,,Edit Tools,Edit Tools
Studio.TerrainEditor.Regions.MergeEmpty,,,Merge Empty,Merge Empty
Studio.TerrainEditor.Regions.Tools,,,Tools,Tools
Studio.TerrainEditor.Regions.FillSelection,,,Fill Selection,Fill Selection
Studio.TerrainEditor.MainButtons.Import,,,Import,Import
Studio.TerrainEditor.MainButtons.Clear,,,Clear,Clear
Studio.TerrainEditor.MainButtons.ImportTooltip,,,Import a HeightMap and ColorMap.,Import a HeightMap and ColorMap.
Studio.TerrainEditor.MainButtons.ClearTooltip,,,Clear all Terrain.,Clear all Terrain.
Studio.TerrainEditor.Plugin.Name,,,Terrain Editor,Terrain Editor
Studio.TerrainEditor.Plugin.Toolbar,,,Terrain Editor,Terrain Editor
Studio.TerrainEditor.Plugin.Button,,,Toggle,Toggle
Studio.TerrainEditor.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.
Studio.TerrainEditor.Plugin.Text,,,Example Text!,Example Text!
Studio.TerrainEditor.BaseTool.BrushDeform,,,Deform,Deform
Studio.TerrainEditor.BaseTool.BrushFlatten,,,Flatten,Flatten
Studio.TerrainEditor.BaseTool.BrushPaint,,,Paint,Paint
Studio.TerrainEditor.BaseTool.BrushSculpt,,,Sculpt,Sculpt
Studio.TerrainEditor.BaseTool.BrushSmooth,,,Smooth,Smooth
Studio.TerrainEditor.BaseTool.RegionFill,,,Fill,Fill
Studio.TerrainEditor.BaseTool.RegionGenerate,,,Generate,Generate
Studio.TerrainEditor.BaseTool.RegionImport,,,Import,Import
Studio.TerrainEditor.BaseTool.RegionTransform,,,Transform,Transform
Studio.TerrainEditor.BaseTool.Draw,,,Draw,Draw
Studio.TerrainEditor.BaseTool.Flatten,,,Flatten,Flatten
Studio.TerrainEditor.BaseTool.Paint,,,Paint,Paint
Studio.TerrainEditor.BaseTool.Sculpt,,,Sculpt,Sculpt
Studio.TerrainEditor.BaseTool.Smooth,,,Smooth,Smooth
Studio.TerrainEditor.BaseTool.Fill,,,Fill,Fill
Studio.TerrainEditor.BaseTool.Generate,,,Generate,Generate
Studio.TerrainEditor.BaseTool.Import,,,Import,Import
Studio.TerrainEditor.BaseTool.Transform,,,Transform,Transform
Studio.TerrainEditor.BrushMode.Add,,,Add,Add
Studio.TerrainEditor.BrushMode.Subtract,,,Subtract,Subtract
Studio.TerrainEditor.BrushShape.Sphere,,,Sphere,Sphere
Studio.TerrainEditor.BrushShape.Cube,,,Cube,Cube
Studio.TerrainEditor.BrushShape.Cylinder,,,Cylinder,Cylinder
Studio.TerrainEditor.FlattenMode.Over,,,Over,Over
Studio.TerrainEditor.FlattenMode.Under,,,Under,Under
Studio.TerrainEditor.FlattenMode.Both,,,Both,Both
Studio.TerrainEditor.PivotPosition.Bottom,,,Bottom,Bottom
Studio.TerrainEditor.PivotPosition.Center,,,Center,Center
Studio.TerrainEditor.PivotPosition.Top,,,Top,Top
Studio.TerrainEditor.PlaneLock.Off,,,Off,Off
Studio.TerrainEditor.PlaneLock.Auto,,,Auto,Auto
Studio.TerrainEditor.PlaneLock.Manual,,,Manual,Manual
Studio.TerrainEditor.EditorEnum.BrushMode,,,Brush Mode,Brush Mode
Studio.TerrainEditor.EditorEnum.BrushShape,,,Brush Shape,Brush Shape
Studio.TerrainEditor.EditorEnum.FlattenMode,,,Flatten Mode,Flatten Mode
Studio.TerrainEditor.EditorEnum.PivotPosition,,,Pivot Position,Pivot Position
Studio.TerrainEditor.EditorEnum.PlaneLock,,,Plane Lock,Plane Lock
Studio.TerrainEditor.BrushSettings.BaseHeight,,,Base Height,Base Height
Studio.TerrainEditor.BrushSettings.BaseSize,,,Base Size,Base Size
Studio.TerrainEditor.BrushSettings.BrushShape,,,Brush Shape,Brush Shape
Studio.TerrainEditor.BrushSettings.FixedPlane,,,Fixed Plane,Fixed Plane
Studio.TerrainEditor.BrushSettings.FlattenMode,,,Flatten Mode,Flatten Mode
Studio.TerrainEditor.BrushSettings.IgnoreParts,,,Ignore Parts,Ignore Parts
Studio.TerrainEditor.BrushSettings.IgnoreWater,,,Ignore Water,Ignore Water
Studio.TerrainEditor.BrushSettings.PivotPosition,,,Pivot Position,Pivot Position
Studio.TerrainEditor.BrushSettings.PlaneLock,,,Plane Lock,Plane Lock
Studio.TerrainEditor.BrushSettings.PlanePosition,,,Plane Position,Plane Position
Studio.TerrainEditor.BrushSettings.SnapToVoxels,,,Snap to Voxels,Snap to Voxels
Studio.TerrainEditor.BrushSettings.Strength,,,Strength,Strength
Studio.TerrainEditor.MaterialSettings.AutoMaterial,,,Auto Material,Auto Material
Studio.TerrainEditor.MaterialSettings.ReplaceMaterial,,,Replace Material,Replace Material
Studio.TerrainEditor.MaterialSettings.SourceMaterial,,,Source Material,Source Material
Studio.TerrainEditor.MaterialSettings.TargetMaterial,,,Target Material,Target Material
Studio.TerrainEditor.Categories.BrushSettings,,,Brush Settings,Brush Settings
Studio.TerrainEditor.Categories.MaterialSettings,,,Material Settings,Material Settings
Studio.TerrainEditor.BaseTool.Select,,,Select,Select
Studio.TerrainEditor.SelectionSettings.Position,,,Position,Position
Studio.TerrainEditor.SelectionSettings.Rotation,,,Rotation,Rotation
Studio.TerrainEditor.SelectionSettings.Size,,,Size,Size
Studio.TerrainEditor.SelectionSettings.Transform,,,Transform,Transform
Studio.TerrainEditor.Categories.SelectionSettings,,,Selection Settings,Selection Settings
Studio.TerrainEditor.TransformSettings.Apply,,,Apply,Apply
Studio.TerrainEditor.TransformSettings.Position,,,Position,Position
Studio.TerrainEditor.TransformSettings.Rotation,,,Rotation,Rotation
Studio.TerrainEditor.TransformSettings.Size,,,Size,Size
Studio.TerrainEditor.TransformSettings.Transform,,,Transform,Transform
Studio.TerrainEditor.TransformSettings.MergeEmpty,,,Merge Empty,Merge Empty
Studio.TerrainEditor.TransformSettings.LiveEdit,,,Live Edit,Live Edit
Studio.TerrainEditor.TransformSettings.SnapToVoxels,,,Snap to Voxels,Snap to Voxels
Studio.TerrainEditor.Categories.TransformSettings,,,Transform Settings,Transform Settings
Studio.TerrainEditor.PluginActions.EditPlaneStatusTip,,,Edit/apply plane when using plane lock in manual mode,Edit/apply plane when using plane lock in manual mode
