Key,Context,Source,en-us
Studio.Actions.ConnectionIndicator,,"Connection Status","Connection Status"
Studio.Actions.Submenu.CopyAs,"Title of a submenu that contains more ways to copy the current selection","Copy As","Copy As"
Studio.Actions.TBD,,"TBD","TBD"
Studio.Actions.Title.Assistant,"Button that opens Studio Assistant - an AI helper that accelerates content creation by helping you get started, supplementing your skills, and assisting with ongoing development","AI Assistant","AI Assistant"
Studio.Actions.Title.AudioPlayerEditor,"Name for the action that opens the AudioPlayerEditor plugin","AudioPlayerEditor","AudioPlayerEditor"
Studio.Actions.Title.CopyPath,"Title of an action that when triggered, copies the paths of all instances in the selection to the clipboard","Copy Path","Copy Path"
Studio.Actions.Title.CopyUniqueId,"Title of an action that when triggered, copies the unique IDs of all instances in the selection to the clipboard","Copy Unique ID","Copy Unique ID"
Studio.Actions.Title.Diagnostics,"Action to view diagnostic information of your game","Performance Diagnostics","Performance Diagnostics"
Studio.Actions.Title.ExperienceSettings,"The title for the ""Experience Settings"" window, the way that Creators configure their experience's settings in Studio","Experience Settings","Experience Settings"
Studio.Actions.Title.LogoutMenu,"Label for the logout menu in Studio","Current User","Current User"
Studio.Actions.Title.MicroProfiler,"The MicroProfiler is a performance optimization and troubleshooting tool available in Roblox Studio and the Roblox client. It provides detailed timing information for task scheduler tasks called tags.","MicroProfiler","MicroProfiler"
Studio.Actions.Title.SLIM,"The title for an action that toggles SLIM debug features - SLIM is an acronym and untranslatable.","SLIM","SLIM"
Studio.Actions.Title.SceneAnalysis,"name of a feature","Scene Analysis","Scene Analysis"
Studio.Actions.Title.SceneMonitor,"Scene Monitor","Scene Monitor","Scene Monitor"
Studio.Actions.Title.VerifyAge,"This string will be displayed as an menu item in the account dropdown menu, prompting the user to click on the item, which will redirect them to the web to start the age verification process.","Age check needed","Age check needed"
Studio.Actions.Tooltip.Assistant,"Tooltip for button that opens Studio Assistant - an AI helper that accelerates content creation by helping you get started, supplementing your skills, and assisting with ongoing development","Chat with Studio Assistant to get help and accelerate creation","Chat with Studio Assistant to get help and accelerate creation"
Studio.Actions.Tooltip.AudioPlayerEditor,"Tooltip for the action that opens the AudioPlayerEditor plugin","AudioPlayerEditor","AudioPlayerEditor"
Studio.Actions.Tooltip.ConnectionIndicator,"Tooltip for the button for connection status, which shows the status of your connection to the Team Create server","This shows the status of your connection to the Team Create server","This shows the status of your connection to the Team Create server"
Studio.Actions.Tooltip.CopyPath,"Tooltip of an action that when triggered, copies the paths of all instances in the selection to the clipboard","Copy the paths of instances in the selection","Copy the paths of instances in the selection"
Studio.Actions.Tooltip.CopyUniqueId,"Tooltip of an action that when triggered, copies the unique IDs of all instances in the selection to the clipboard","Copy the unique IDs of instances in the selection","Copy the unique IDs of instances in the selection"
Studio.Actions.Tooltip.ExperienceSettings,"The tooltip for the button that opens the ""Experience Settings"" window - the window that allows Creators to configure their Experience's settings in Studio.","Update settings related to current experience","Update settings related to current experience"
Studio.Actions.Tooltip.LiveCollaborators,"Tooltip for the Social Presence widget in Studio about the current users who are active in the open place","Team members actively creating in this place","Team members actively creating in this place"
Studio.Actions.Tooltip.LogoutMenu,"This is the tooltip for the logout menu. The %1 is not supposed to be localized as it's the variable placeholder for the username","You are logged in as %1","You are logged in as %1"
Studio.Actions.Tooltip.MicroProfiler,"Tooltip for the MicroProfiler - a performance optimization and troubleshooting tool available in Roblox Studio and the Roblox client. It provides detailed timing information for task scheduler tasks called tags.","Performance optimization and troubleshooting tool that provides detailed timing information for task scheduler tasks","Performance optimization and troubleshooting tool that provides detailed timing information for task scheduler tasks"
Studio.Actions.Tooltip.SLIM,"The description of a button that toggles the SLIM (untranslatable acronym for a piece of rendering technology) debug information for models in the current roblox experience","Toggle the visuals of models that are SLIM","Toggle the visuals of models that are SLIM"
Studio.Actions.Tooltip.SceneAnalysis,"Says what this tool lets you do","Analyze scene composition, memory usage, and rendering information","Analyze scene composition, memory usage, and rendering information"
Studio.Actions.Tooltip.SceneMonitor,"View triangle and draw call counts for the current camera view","View triangle and draw call counts for the current camera view","View triangle and draw call counts for the current camera view"
Studio.Actions.Tooltip.Share,"Tooltip for the share button in Studio for users to get a link to the current experience","Get the public link for this experience","Get the public link for this experience"
Studio.AdPlacementManager.Label.AdPlacementManagerTitle,"This string is the title of the Ad Placement Manager plugin in Studio. This string will show up below the toggle button in the UI Ribbon tab in Studio to toggle the Ad Placement Manager open / closed. This string will also be used as the title of the widget which houses the Ad Placement Manager.","Ad Placement Manager","Ad Placement Manager"
Studio.AdPlacementManager.Label.AdPlacementManagerTooltip,"This string is shown as a tooltip when hovering over the ""Ad Placement Manager"" button in the UI tab of the Ribbon in Studio, which helps to indicate to the user that they can click the button to view the Ad Placement Manager plugin.","View Ad Placement Manager","View Ad Placement Manager"
Studio.App.Actions.AudioDiscovery,"Name of the action to display the Audio Discovery plugin","Audio Discovery","Audio Discovery"
Studio.App.Actions.BillboardGui,,"BillboardGui","BillboardGui"
Studio.App.Actions.CanvasGroup,,"CanvasGroup","CanvasGroup"
Studio.App.Actions.EventEmulator,"Name of the action to display the Event Emulator plugin","Event Emulator","Event Emulator"
Studio.App.Actions.ExitClient,"Exit the client in a multi-client testing session","Exit Client","Exit Client"
Studio.App.Actions.Highlight,"Name of the action to insert a Highlight into the workspace","Highlight","Highlight"
Studio.App.Actions.ImageButton,"An ImageButton behaves similarly to an ImageLabel in regards to rendering with the additional behaviors of a GuiButton.","ImageButton","ImageButton"
Studio.App.Actions.ImageLabel,"An ImageLabel renders a rectangle, like a Frame does, with an image.","ImageLabel","ImageLabel"
Studio.App.Actions.Inspector,"Name of the action to display the Inspector plugin","Inspector","Inspector"
Studio.App.Actions.LocalizationTools,"Name of the action to display the Localization Tools plugin","Localization Tool","Localization Tool"
Studio.App.Actions.LogoutMenu,,"Username","Username"
