Key,Context,Source,en-us
Studio.App.BreakpointEditDialog.AllContext,,All Context,All Context
Studio.App.BreakpointEditDialog.CurrentContext,,Current Context,Current Context
Studio.App.BreakpointEditDialog.ConditionRevertedMessage1,,Invalid breakpoint condition '%1' entered previously has been reverted. Please edit again if required.,Invalid breakpoint condition '%1' entered previously has been reverted. Please edit again if required.
Studio.App.BreakpointEditDialog.LogExpressionRevertedMessage1,,Invalid log expression '%1' entered previously has been reverted. Please edit again if required.,Invalid log expression '%1' entered previously has been reverted. Please edit again if required.
Studio.App.DebuggerUIUtilities.BreakpointsDisabledLinkedSource,,Breakpoints are currently disabled for LinkedSource.,Breakpoints are currently disabled for LinkedSource.
Studio.FontSelection.Action.CopyID.ToolTip,Tooltip for context menu item for copying a font family's asset ID to the clipboard,Copy the asset ID of the family to the clipboard,Copy the asset ID of the family to the clipboard
Studio.App.StartPage.Activating,,activating,activating
Studio.App.StartPage.Deactivating,,deactivating,deactivating
Studio.App.ListView.LastModified,,Last Modified,Last Modified
Studio.App.Deployment.CSBFailure,Internal feature. Text in output window.,Failed to initialize CoreScriptBuilder with: %1,Failed to initialize CoreScriptBuilder with: %1
Studio.App.FileType.Meshes,,Meshes,Meshes
Studio.App.IdeDoc.AllRobloxPlaceFilesFileFilter,"Roblox IDE Doc. NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx)
Studio.App.IdeDoc.RobloxPlaceSaveFileFilter,"Roblox IDE Doc. NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx)
Studio.App.IdeDoc.AllRobloxFilesFileFilter,"Roblox IDE Doc. NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",All Roblox Files(*rbxl *rbxlx *%1);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx);; Roblox Project File(*.%1),All Roblox Files(*rbxl *rbxlx *%1);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx);; Roblox Project File(*.%1)
Studio.App.IdeDoc.Break,Roblox IDE Doc,Break,Break
Studio.App.IdeDoc.CannotFindMesh,Roblox IDE Doc,Cannot find mesh,Cannot find mesh
Studio.App.IdeDoc.Cleanup,Roblox IDE Doc (Team Test Server),Cleanup,Cleanup
Studio.App.IdeDoc.ConstraintObjectsWillNotWorkPhysicsSolverOverrideTrue,Roblox IDE Doc,Constraint objects will not function correctly because Workspace.TemporaryLegacyPhysicsSolverOverride is true,Constraint objects will not function correctly because Workspace.TemporaryLegacyPhysicsSolverOverride is true
Studio.App.IdeDoc.CouldNotLoadPlaceDueToPermissionError,Roblox IDE Doc,"<b>Sorry, we could not load this place due to a permission error</b>","<b>Sorry, we could not load this place due to a permission error</b>"
