Key,Context,Source,en-us
Studio.App.AssetManagerService.AliasNameInvalid,,Alias name is invalid,Alias name is invalid
Studio.App.AssetManagerService.AssetIdInvalid,,AssetId is invalid,AssetId is invalid
Studio.App.AssetManagerService.DataModelInvalid,,DataModel is invalid,DataModel is invalid
Studio.App.AssetManagerService.DataModelNotInEditMode,,Datamodel is not in edit mode,Datamodel is not in edit mode
Studio.App.AssetManagerService.IdFromMeshPartAssetTypeInvalid,,Id from mesh part is invalid for asset type,Id from mesh part is invalid for asset type
Studio.App.AssetManagerService.IdFromMeshPartNotFound,,Id from mesh part not found for content id: %1,Id from mesh part not found for content id: %1
Studio.App.AssetManagerService.InsertInstanceExceptionArg1,,Exception while inserting instance into datamodel: %1,Exception while inserting instance into datamodel: %1
Studio.App.AssetManagerService.InvalidArgumentExceptionArg1,,Exception while converting string to id: %1,Exception while converting string to id: %1
Studio.App.AssetManagerService.MessageFieldNotFound,,"'success' is false, 'message' field not found","'success' is false, 'message' field not found"
Studio.App.AssetManagerService.ModelIdInvalid,,ModelId is invalid,ModelId is invalid
Studio.App.AssetManagerService.NoModificationsForPublish,,No modifications available for Publish,No modifications available for Publish
Studio.App.AssetManagerService.PackageIdInvalid,,PackageId is invalid,PackageId is invalid
Studio.App.AssetManagerService.PackageInsertErrorArg1,,Error while inserting package: %1,Error while inserting package: %1
Studio.App.AssetManagerService.PlaceIdInvalid,,PlaceId is invalid,PlaceId is invalid
Studio.App.AssetManagerService.ResponseInvalid,,Http response is invalid,Http response is invalid
Studio.App.AssetManagerService.ReturnedIdMalformed,,Id returned for mesh part is malformed,Id returned for mesh part is malformed
