Key,Context,Source,en-us
Studio.App.BulkVideoImportErrors.BitrateTooHigh,,The bitrate of the file is too high.,The bitrate of the file is too high.
Studio.App.BulkVideoImportErrors.ContentModerated,,The video is moderated.,The video is moderated.
Studio.App.BulkVideoImportErrors.DurationTooLong,,The duration of the file is too long.,The duration of the file is too long.
Studio.App.BulkVideoImportErrors.FileCorrupted,,The file is corrupted.,The file is corrupted.
Studio.App.BulkVideoImportErrors.IdVerificationError,,Age ID verification is required.,Age ID verification is required.
Studio.App.BulkVideoImportErrors.InsufficientFunds,,Insufficient Robux.,Insufficient Robux.
Studio.App.BulkVideoImportErrors.NoVideoStream,,No video stream is found in the file.,No video stream is found in the file.
Studio.App.BulkVideoImportErrors.PermissionDenied,,Permission is denied.,Permission is denied.
Studio.App.BulkVideoImportErrors.ProcessError,,An error occurred during video processing.,An error occurred during video processing.
Studio.App.BulkVideoImportErrors.ProcessProgress1,Display the video processing progress in percent.,Processing: %1%,Processing: %1%
Studio.App.BulkVideoImportErrors.ResourceExhausted,,Video upload limit is reached.,Video upload limit is reached.
Studio.App.BulkVideoImportErrors.TooManyAudioStreams,,Too many audio streams are found in the file.,Too many audio streams are found in the file.
Studio.App.BulkVideoImportErrors.TooManyVideoStreams,,Too many video streams are found in the file.,Too many video streams are found in the file.
Studio.App.BulkVideoImportErrors.UnsupportedAudioChannelCount,,Unsupported audio channel count.,Unsupported audio channel count.
Studio.App.BulkVideoImportErrors.UnsupportedAudioCodec,,Unsupported audio codec.,Unsupported audio codec.
Studio.App.BulkVideoImportErrors.UnsupportedAudioSampleFormat,,Unsupported audio sample format.,Unsupported audio sample format.
Studio.App.BulkVideoImportErrors.UnsupportedAudioSampleRate,,Unsupported audio sample rate.,Unsupported audio sample rate.
Studio.App.BulkVideoImportErrors.UnsupportedFileType,,Unsupported file type.,Unsupported file type.
Studio.App.BulkVideoImportErrors.UnsupportedVideoCodec,,Unsupported video codec.,Unsupported video codec.
Studio.App.BulkVideoImportErrors.UnsupportedVideoColorSpace,,Unsupported video color space.,Unsupported video color space.
Studio.App.BulkVideoImportErrors.UnsupportedVideoFrameRate,,Unsupported video frame rate.,Unsupported video frame rate.
Studio.App.BulkVideoImportErrors.UnsupportedVideoPixelFormat,,Unsupported video pixel format.,Unsupported video pixel format.
Studio.App.BulkVideoImportErrors.UnsupportedVideoResolution,,Unsupported video resolution.,Unsupported video resolution.
Studio.App.BulkVideoImportErrors.UploadError,,An error occurred during video uploading.,An error occurred during video uploading.
Studio.App.BulkVideoImportErrors.UploadProgress1,Display the video uploading progress in percent.,Uploading: %1%,Uploading: %1%
Studio.App.BulkVideoImportErrors.ValidationError,Deprecated. Will remove soon.,The file does not meet our requirement.,The file does not meet our requirement.
