Key,Context,Source,en-us
Studio.App.Category.Advanced,,Advanced,Advanced
Studio.App.Category.Appearance,,Appearance,Appearance
Studio.App.Category.Audio,,Audio,Audio
Studio.App.Category.AutoRecovery,,Auto-Recovery,Auto-Recovery
Studio.App.Category.AutoSave,,Auto-Save,Auto-Save
Studio.App.Category.Benchmarking,,Benchmarking,Benchmarking
Studio.App.Category.Browsing,,Browsing,Browsing
Studio.App.Category.Cache,,Cache,Cache
Studio.App.Category.Camera,,Camera,Camera
Studio.App.Category.Configuration,,Configuration,Configuration
Studio.App.Category.Data,,Data,Data
Studio.App.Category.Debug,,Debug,Debug
Studio.App.Category.DeviceDeployment,,Device Deployment,Device Deployment
Studio.App.Category.Diagnostics,,Diagnostics,Diagnostics
Studio.App.Category.Directories,,Directories,Directories
Studio.App.Category.Display,,Display,Display
Studio.App.Category.Errors,,Errors,Errors
Studio.App.Category.Explorer,,Explorer,Explorer
Studio.App.Category.GarbageCollection,,Garbage Collection,Garbage Collection
Studio.App.Category.General,,General,General
Studio.App.Category.Input,,Input,Input
Studio.App.Category.Limits,,Limits,Limits
Studio.App.Category.LuaDebugger,,Lua Debugger,Lua Debugger
Studio.App.Category.Network,,Network,Network
Studio.App.Category.Online,,Online,Online
Studio.App.Category.Output,,Output,Output
Studio.App.Category.Performance,,Performance,Performance
Studio.App.Category.Physics,,Physics,Physics
Studio.App.Category.PrimaryPart,,Primary Part,Primary Part
Studio.App.Category.Profile,,Profile,Profile
Studio.App.Category.ProxySettings,,Proxy Settings,Proxy Settings
Studio.App.Category.Script,,Script,Script
Studio.App.Category.ScriptEditor,,Script Editor,Script Editor
Studio.App.Category.ScriptEditorColors,,Script Editor Colors,Script Editor Colors
Studio.App.Category.Settings,,Settings,Settings
Studio.App.Category.Sound,,Sound,Sound
Studio.App.Category.Test,,Test,Test
Studio.App.Category.Tools,,Tools,Tools
Studio.App.Category.Undo,,Undo,Undo
Studio.App.Category.Video,,Video,Video
Studio.App.Category.Visualization,,Visualization,Visualization
