Key,Context,Source,en-us
Studio.App.ContextMenuDropdown.Archive,Archive a game,Archive,Archive
Studio.App.ContextMenuDropdown.ConfigureGame,,Configure game,Configure game
Studio.App.ContextMenuDropdown.ConfigurePlace,,Configure place,Configure place
Studio.App.ContextMenuDropdown.DisableTeamCreate,,Disable Team Create,Disable Team Create
Studio.App.ContextMenuDropdown.EnableTeamCreate,,Enable Team Create,Enable Team Create
Studio.App.ContextMenuDropdown.MakePrivate,,Make private,Make private
Studio.App.ContextMenuDropdown.MakePublic,,Make public,Make public
Studio.App.ContextMenuDropdown.OpenPlacePage,,Open place page,Open place page
Studio.App.ContextMenuDropdown.RemoveFromList,,Remove from list,Remove from list
Studio.App.ContextMenuDropdown.Restore,,Restore,Restore
