Key,Context,Source,en-us
Studio.App.EmulatorMainWidget.ActualResolution,,Actual Resolution,Actual Resolution
Studio.App.EmulatorMainWidget.AmazonFire102019,Emulation devices,Amazon Fire HD 10 (2019),Amazon Fire HD 10 (2019)
Studio.App.EmulatorMainWidget.Android,,Android,Android
Studio.App.EmulatorMainWidget.AndroidTV,,AndroidTV,AndroidTV
Studio.App.EmulatorMainWidget.AverageLaptop,Emulation devices,Average Laptop,Average Laptop
Studio.App.EmulatorMainWidget.BeOS,,BeOS,BeOS
Studio.App.EmulatorMainWidget.CalibratePhysicalScaling,,Calibrate Physical Scaling,Calibrate Physical Scaling
Studio.App.EmulatorMainWidget.Chromecast,,Chromecast,Chromecast
Studio.App.EmulatorMainWidget.ConsoleSectionName,,Console,Console
Studio.App.EmulatorMainWidget.CustomDeviceSectionName,,Custom Device,Custom Device
Studio.App.EmulatorMainWidget.CustomDevicesSectionName,,Custom Devices,Custom Devices
Studio.App.EmulatorMainWidget.DOS,,DOS,DOS
Studio.App.EmulatorMainWidget.Default,Emulation devices,Default,Default
Studio.App.EmulatorMainWidget.DesktopSectionName,,Desktop,Desktop
Studio.App.EmulatorMainWidget.FitToWindow,,Fit to Window,Fit to Window
Studio.App.EmulatorMainWidget.HD1080,"Emulation devices, an average high definition (HD) 1920x1080 screen",HD 1080,HD 1080
Studio.App.EmulatorMainWidget.HD720,"Emulation devices, an average high definition (HD) 1280x720 screen",HD 720,HD 720
Studio.App.EmulatorMainWidget.IPad2,Emulation devices,iPad 2,iPad 2
Studio.App.EmulatorMainWidget.IPad6thGeneration,Emulation devices,iPad 6th Generation,iPad 6th Generation
Studio.App.EmulatorMainWidget.IPad7thGeneration,Emulation devices,iPad 7th Generation,iPad 7th Generation
Studio.App.EmulatorMainWidget.IPadMini1stGeneration,Emulation devices,iPad Mini 1st Generation,iPad Mini 1st Generation
Studio.App.EmulatorMainWidget.IPadPro3rdGeneration,Emulation devices,iPad Pro 3rd Generation,iPad Pro 3rd Generation
