Key,Context,Source,en-us
Studio.App.GameExplorer.AddAssets,,Add Assets,Add Assets
Studio.App.GameExplorer.AddNewPlace,,Add New Place,Add New Place
Studio.App.GameExplorer.ConfigureBadge,,Configure,Configure
Studio.App.GameExplorer.CopyIdToClipboard,,Copy ID to Clipboard,Copy ID to Clipboard
Studio.App.GameExplorer.CopyTextureIdToClipboard,,Copy Texture ID to Clipboard,Copy Texture ID to Clipboard
Studio.App.GameExplorer.CreateBadge,,Create Badge,Create Badge
Studio.App.GameExplorer.ErrorRetrievingMeshContent1,,Error while retrieving mesh content: %1,Error while retrieving mesh content: %1
Studio.App.GameExplorer.ErrorRetrievingModelContent1,,Error while retrieving model content: %1,Error while retrieving model content: %1
Studio.App.GameExplorer.FailedToLoadResource1,"NOTE TO LOCALIZERS: Do not translate the numbers inside the single quotes. For whatever is inside the single quotes, please use ASCII instead.",Failed to load resource : '%1',Failed to load resource : '%1'
Studio.App.GameExplorer.GameSettings,,Game Settings...,Game Settings...
Studio.App.GameExplorer.InsertAsLocalScript,,Insert as LocalScript,Insert as LocalScript
Studio.App.GameExplorer.InsertAsModuleScript,,Insert as ModuleScript,Insert as ModuleScript
Studio.App.GameExplorer.InsertAsScript,,InsertAsScript,InsertAsScript
Studio.App.GameExplorer.InsertDecals,,Insert Decals,Insert Decals
Studio.App.GameExplorer.InsertWithLocation,,Insert with location,Insert with location
Studio.App.GameExplorer.MarkAsStartPlace,,Mark as Start Place,Mark as Start Place
Studio.App.GameExplorer.MassUpdateCurrentPlacePackages,,Update this Package in Current Place,Update this Package in Current Place
Studio.App.GameExplorer.MassUpdatePackage,,Update All,Update All
Studio.App.GameExplorer.ProductSettings,,Product Settings...,Product Settings...
Studio.App.GameExplorer.PublishLinkedSource,,Publish this LinkedSource,Publish this LinkedSource
Studio.App.GameExplorer.RefreshScript,,Refresh Script,Refresh Script
Studio.App.GameExplorer.RemoveFromGame,,Remove From Game,Remove From Game
Studio.App.GameExplorer.RevertToLastPublishedVersion,,Revert to Last Published Version,Revert to Last Published Version
Studio.App.GameExplorer.UnpublishedScriptMessageBoxMessage,,RobloxStudio is using unpublished changes in linked scripts for this universe. You can revert these changes to the last published version using Game Explorer.,RobloxStudio is using unpublished changes in linked scripts for this universe. You can revert these changes to the last published version using Game Explorer.
Studio.App.GameExplorer.UnpublishedScriptMessageBoxTitle,,Unpublished Scripts,Unpublished Scripts
Studio.App.GameExplorer.ViewOnWebsite,,View on website,View on website
