Key,Context,Source,en-us
Studio.App.GameExplorerUtils.AliasNameInvalid,,Alias name is invalid,Alias name is invalid
Studio.App.GameExplorerUtils.DataModelInvalid,,DataModel is invalid,DataModel is invalid
Studio.App.GameExplorerUtils.FailedToCreateImage1,,Failed to create image: %1,Failed to create image: %1
Studio.App.GameExplorerUtils.MessageFieldNotFound,,"'success' is false, 'message' field not found","'success' is false, 'message' field not found"
Studio.App.GameExplorerUtils.NameAlreadyTakenNotCaseSensitive,,Name already taken (not case sensitive),Name already taken (not case sensitive)
Studio.App.GameExplorerUtils.NameCannotBeEmpty,,Name cannot be empty,Name cannot be empty
Studio.App.GameExplorerUtils.NameCannotContain,,Name cannot include '\' or '/',Name cannot include '\' or '/'
Studio.App.GameExplorerUtils.NameInappropriate,,The name or description contains inappropriate text.,The name or description contains inappropriate text.
Studio.App.GameExplorerUtils.ResponseInvalid,,Http response is invalid,Http response is invalid
Studio.App.GameExplorerUtils.TryAgainLater,,Try again later.,Try again later.
