Key,Context,Source,en-us
Studio.App.IdeDoc.AllRobloxFilesFileFilter,"Roblox IDE Doc. NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",All Roblox Files(*rbxl *rbxlx *%1);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx);; Roblox Project File(*.%1),All Roblox Files(*rbxl *rbxlx *%1);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx);; Roblox Project File(*.%1)
Studio.App.IdeDoc.AllRobloxPlaceFilesFileFilter,"Roblox IDE Doc. NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.",All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx),All Roblox Place Files(*rbxl *rbxlx);; Roblox Place Files(*.rbxl);; Roblox XML Place Files(*.rbxlx)
Studio.App.IdeDoc.AnimationFilesFBX,Roblox IDE Doc,Animation Files (*fbx),Animation Files (*fbx)
Studio.App.IdeDoc.Archive,Roblox IDE Doc,Discard,Discard
Studio.App.IdeDoc.AreYouSureYouWantToExit1,Message prompt for when user exits a Team Create place,Are you sure you want to exit '%1'?,Are you sure you want to exit '%1'?
Studio.App.IdeDoc.AudioDisabledGoToServerAudioBehaviorToChange,Roblox IDE Doc,Audio has been disabled. Please go to File->Settings->Studio and then Server Audio Behavior to change this.,Audio has been disabled. Please go to File->Settings->Studio and then Server Audio Behavior to change this.
Studio.App.IdeDoc.AutoRecoveryFileCreated1,Roblox IDE Doc,%1 auto-recovery file was created,%1 auto-recovery file was created
Studio.App.IdeDoc.AutoSaveFailure1,Message displayed when auto-save for a place fails.,Auto-Save Error: %1,Auto-Save Error: %1
Studio.App.IdeDoc.AutoSaveFailure2,Message displayed when auto-save for a place fails.,Auto-Save Error HTTP %1: %2,Auto-Save Error HTTP %1: %2
Studio.App.IdeDoc.AutoSavePublishFailure1,Message displayed when auto-save publish for a place fails.,Auto-Save Publish Error: %1,Auto-Save Publish Error: %1
Studio.App.IdeDoc.AutoSavePublishFailure2,Message displayed when auto-save publish for a place fails.,Auto-Save Publish Error HTTP %1: %2,Auto-Save Publish Error HTTP %1: %2
Studio.App.IdeDoc.AutoSaving,Roblox IDE Doc,Auto-Saving,Auto-Saving
Studio.App.IdeDoc.Break,Roblox IDE Doc,Break,Break
Studio.App.IdeDoc.Cancel,Roblox IDE Doc,Cancel,Cancel
Studio.App.IdeDoc.CannotFindMesh,Roblox IDE Doc,Cannot find mesh,Cannot find mesh
Studio.App.IdeDoc.CannotLoadPublishedPlace,Roblox IDE Doc,Cannot load published place,Cannot load published place
Studio.App.IdeDoc.CannotOpenFileForRead,Roblox IDE Doc,Cannot open place file for read.,Cannot open place file for read.
Studio.App.IdeDoc.Cleanup,Roblox IDE Doc (Team Test Server),Cleanup,Cleanup
Studio.App.IdeDoc.ClickLiveErrorReports,Message clickable to direct users to creator dashboard analytics website for experience live errors.,Click to view live error reports.,Click to view live error reports.
Studio.App.IdeDoc.ClickRealTimeMetrics,Message clickable to direct users to creator dashboard analytics website for experience real-time metrics.,Click to see real time usage metrics.,Click to see real time usage metrics.
Studio.App.IdeDoc.CloudTestFailed,Roblox IDE Doc,Request to connect to team test failed.,Request to connect to team test failed.
