Key,Context,Source,en-us
Studio.App.ImportCostVerificationDialog.AudioUpload,,Audio Upload,Audio Upload
Studio.App.ImportCostVerificationDialog.BalanceAfterImport,,Balance after import:,Balance after import:
Studio.App.ImportCostVerificationDialog.CopyrightDescription,,"By uploading this content, you certify that you have the rights to put this on Roblox and that the content does not infringe on anyone else's intellectual property rights.","By uploading this content, you certify that you have the rights to put this on Roblox and that the content does not infringe on anyone else's intellectual property rights."
Studio.App.ImportCostVerificationDialog.CopyrightDescriptionOld,,"By uploading this content, you certify that you have the rights to put this on Roblox.","By uploading this content, you certify that you have the rights to put this on Roblox."
Studio.App.ImportCostVerificationDialog.CostVerificationDescription,,Click 'Show Details' to view the files to be imported. You will not be charged for imports that fail due to not meeting import requirements.,Click 'Show Details' to view the files to be imported. You will not be charged for imports that fail due to not meeting import requirements.
Studio.App.ImportCostVerificationDialog.CostVerificationMainText1,,Would you like to import the selected files for %1 Robux?,Would you like to import the selected files for %1 Robux?
Studio.App.ImportCostVerificationDialog.CostVerificationTitle,,File Import Cost,File Import Cost
Studio.App.ImportCostVerificationDialog.CurrentBalance,,Your current balance:,Your current balance:
Studio.App.ImportCostVerificationDialog.DetailsCostTitle,,Cost,Cost
Studio.App.ImportCostVerificationDialog.DetailsErrorTitle,,Error,Error
Studio.App.ImportCostVerificationDialog.DetailsNameTitle,,Name,Name
Studio.App.ImportCostVerificationDialog.GrantExperiencePermissionDescription,,You also allow this experience to use these assets.,You also allow this experience to use these assets.
Studio.App.ImportCostVerificationDialog.LoadingFileData,,Loading file data...,Loading file data...
Studio.App.ImportCostVerificationDialog.LuobuVerificationDescription,,Click 'Show Details' to view the files to be imported.,Click 'Show Details' to view the files to be imported.
Studio.App.ImportCostVerificationDialog.LuobuVerificationMainText,,Would you like to import the selected files?,Would you like to import the selected files?
Studio.App.ImportCostVerificationDialog.LuobuVerificationTitle,,File Import,File Import
Studio.App.ImportCostVerificationDialog.PurchaseRobux,,Purchase more Robux.,Purchase more Robux.
