Key,Context,Source,en-us
Studio.App.Login.AddAccount,,Add Account,Add Account
Studio.App.Login.AddNewUser,,Add new user,Add new user
Studio.App.Login.AreYouSureLogoutDetails,,Logging out will remove all existing credentials for this account. All instances of Studio under this account will be closed.,Logging out will remove all existing credentials for this account. All instances of Studio under this account will be closed.
Studio.App.Login.EnterPassword,,Please enter your password.,Please enter your password.
Studio.App.Login.EnterUsername,,Please enter your username.,Please enter your username.
Studio.App.Login.EnterUsernameAndPassword,,Please enter your username and password.,Please enter your username and password.
Studio.App.Login.GeneralFailureOnInitialization,This error is shown to users when Studio fails to initialize the login component,Trouble logging in. Try again.,Trouble logging in. Try again.
Studio.App.Login.IncorrectUsernamePassword,,Incorrect username or password. Please try again.,Incorrect username or password. Please try again.
Studio.App.Login.LogOutOf1,,Log out of @%1?,Log out of @%1?
Studio.App.Login.LoginThroughBrowser,,Log in through browser,Log in through browser
Studio.App.Login.StudioVersion1,,Roblox Studio Version %1,Roblox Studio Version %1
Studio.App.Login.TooManyLogins,,Too many logins were attempted from this network. You must log in through a web browser.,Too many logins were attempted from this network. You must log in through a web browser.
Studio.App.Login.UnableToConnect,This error is shown to users when Studio fails to initialize the login component due to no internet connection,Studio is unable to connect. Check your network connection and try again.,Studio is unable to connect. Check your network connection and try again.
Studio.App.Login.UnableToLogin,,Unable to log in,Unable to log in
Studio.App.Login.UnableToLogout,,Unable to log out. Please save modified places in other Studio instances and then proceed with log out.,Unable to log out. Please save modified places in other Studio instances and then proceed with log out.
Studio.App.Login.UserModerated,,"User is moderated, please check website for more details.","User is moderated, please check website for more details."
